open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1641168000000,0.6969,0.7513,0.5071,0.5454,52920306.47,1641772799999,33902909.727176,149251,25978347.71,16644666.1872,0
1641772800000,0.5442,0.6076,0.4931,0.576,53465043.0,1642377599999,29485544.8675,114663,26503674.0,14628822.5941,0
1642377600000,0.5767,0.5778,0.3547,0.4097,55268590.59,1642982399999,24547625.559746,109861,26423077.67,11707435.9313,0
1642982400000,0.4099,0.4263,0.3454,0.3769,45294862.98,1643587199999,17247640.1647,84635,21977279.0,8380144.4463,0
1643587200000,0.3774,0.4485,0.3577,0.4422,37208230.0,1644191999999,14779323.8059,73600,18658555.0,7425253.7114,0
1644192000000,0.4429,0.479,0.3756,0.3762,144878932.0,1644796799999,63390068.7229,221705,73625647.0,32252855.3654,0
1644796800000,0.3766,0.4148,0.3198,0.3249,70249245.0,1645401599999,26250175.2296,105514,33976383.0,12685743.202,0
1645401600000,0.3251,0.345,0.2626,0.3061,107296222.3,1646006399999,32888985.524704,136641,52675270.0,16144710.3286,0
1646006400000,0.3066,0.3572,0.2938,0.2947,40332262.0,1646611199999,13267117.2096,65007,18619548.0,6131973.5016,0
1646611200000,0.2943,0.326,0.2565,0.2568,67653465.0,1647215999999,19087425.8698,97070,32275229.0,9100250.3721,0
1647216000000,0.2567,0.3102,0.2514,0.2843,105918947.0,1647820799999,29823645.6933,112614,53767735.0,15179309.9015,0
1647820800000,0.2842,0.3915,0.2761,0.3839,369842229.0,1648425599999,118198038.3506,375409,194887831.0,62205024.4711,0
1648425600000,0.3842,0.6964,0.3225,0.5418,874159448.0,1649030399999,462674833.3616,1358979,434215760.0,230217660.1073,0
1649030400000,0.5418,0.59,0.3896,0.3925,288966106.0,1649635199999,138465295.3674,345819,142091026.0,68213420.7922,0
1649635200000,0.3923,0.4134,0.3408,0.3552,182582994.0,1650239999999,68931315.9413,194302,90477381.0,34131503.1131,0
1650240000000,0.3551,0.427,0.3335,0.3544,211506127.0,1650844799999,81453088.0559,242412,101293246.0,39028646.9039,0
1650844800000,0.3542,0.3637,0.2474,0.287,140735813.0,1651449599999,44370801.346386,148484,68644856.14,21636527.44324,0
1651449600000,0.2871,0.3167,0.2458,0.2541,133437325.0,1652054399999,36711612.7117,120413,65487762.0,18013937.9018,0
1652054400000,0.2541,0.3157,0.1332,0.1654,283649847.08,1652659199999,55479561.070003,292395,139404022.0,27211085.9959,0
1652659200000,0.1653,0.1728,0.14,0.1647,161999449.0,1653263999999,25304850.5228,98960,79993643.0,12492615.6551,0
1653264000000,0.1642,0.1905,0.1363,0.1452,291156743.0,1653868799999,47017489.5996,194476,136303959.0,22073466.1667,0
1653868800000,0.1452,0.1732,0.1417,0.1504,187024986.0,1654473599999,29374417.3209,108041,88531572.0,13912093.107,0
1654473600000,0.1505,0.1816,0.1211,0.1215,270682346.0,1655078399999,42934436.8101,145986,132695763.0,21101657.305,0
1655078400000,0.1215,0.1231,0.0939,0.1101,115006537.0,1655683199999,12336002.463401,57842,55612249.0,5961965.0011,0
