open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,0.069,0.0691,0.069,0.0691,59597.0,1672503299999,4114.1298,19,19368.0,1338.3288,0
1672503300000,0.069,0.0693,0.069,0.0692,210712.0,1672504199999,14595.4624,69,183709.0,12724.3899,0
1672504200000,0.0692,0.0693,0.0691,0.0692,31733.0,1672505099999,2195.4341,17,23733.0,1642.6341,0
1672505100000,0.0692,0.0693,0.0691,0.0691,79647.0,1672505999999,5511.5287,21,2028.0,140.4698,0
1672506000000,0.0691,0.0691,0.069,0.0691,46692.0,1672506899999,3225.996,24,36649.0,2532.4459,0
1672506900000,0.0691,0.0691,0.0689,0.069,70480.0,1672507799999,4861.2336,33,31537.0,2175.1408,0
1672507800000,0.0689,0.0689,0.0683,0.0684,267751.0,1672508699999,18348.659,94,85248.0,5834.7493,0
1672508700000,0.0685,0.0686,0.0684,0.0686,93677.0,1672509599999,6416.4041,43,26531.0,1818.0056,0
1672509600000,0.0685,0.0685,0.0681,0.0683,113774.0,1672510499999,7766.0314,63,76086.0,5196.1484,0
1672510500000,0.0683,0.0683,0.0681,0.0682,86637.0,1672511399999,5908.3535,52,31729.0,2165.431,0
1672511400000,0.0683,0.0684,0.0678,0.068,201181.0,1672512299999,13687.1206,108,68582.0,4678.6032,0
1672512300000,0.068,0.068,0.0672,0.0673,305727.0,1672513199999,20658.283,209,134850.0,9109.8742,0
1672513200000,0.0674,0.0676,0.0673,0.0673,191469.0,1672514099999,12926.2517,89,146513.0,9895.7799,0
1672514100000,0.0673,0.0675,0.0669,0.0672,551643.0,1672514999999,37037.861,187,321733.0,21607.9487,0
1672515000000,0.0672,0.0676,0.0672,0.0673,359253.0,1672515899999,24211.2799,110,190106.0,12820.1957,0
1672515900000,0.0673,0.0674,0.0672,0.0673,132269.0,1672516799999,8906.8749,38,99108.0,6678.0737,0
1672516800000,0.0671,0.0675,0.067,0.0675,136029.0,1672517699999,9135.5583,64,81439.0,5470.9387,0
1672517700000,0.0675,0.0678,0.0675,0.0678,152175.0,1672518599999,10292.753,70,127811.0,8644.341,0
1672518600000,0.0676,0.0678,0.0676,0.0677,47227.0,1672519499999,3196.6653,31,30885.0,2091.2912,0
1672519500000,0.0677,0.0678,0.0677,0.0677,16604.0,1672520399999,1125.4317,14,3592.0,243.5376,0
1672520400000,0.0677,0.0678,0.0675,0.0675,78783.0,1672521299999,5326.71,49,15935.0,1077.4503,0
1672521300000,0.0677,0.0677,0.0674,0.0676,79094.0,1672522199999,5341.1856,42,57187.0,3862.1362,0
1672522200000,0.0675,0.0675,0.067,0.067,98197.0,1672523099999,6601.4979,74,25398.0,1709.7414,0
1672523100000,0.067,0.067,0.0666,0.0667,444917.0,1672523999999,29736.3167,157,220806.0,14776.6389,0
1672524000000,0.0667,0.067,0.0666,0.067,172191.0,1672524899999,11490.5145,85,122415.0,8169.1613,0
1672524900000,0.067,0.067,0.0667,0.0669,38930.0,1672525799999,2602.3511,30,20192.0,1350.3497,0
1672525800000,0.0668,0.0669,0.0665,0.0667,78242.0,1672526699999,5213.9708,54,29507.0,1967.6361,0
1672526700000,0.0667,0.0667,0.0664,0.0666,110911.0,1672527599999,7385.149,58,75012.0,4996.5784,0
1672527600000,0.0665,0.0667,0.0664,0.0667,134226.0,1672528499999,8925.0919,59,37506.0,2496.673,0
1672528500000,0.0667,0.0668,0.0664,0.0665,126232.0,1672529399999,8402.4712,54,81010.0,5394.0592,0
1672529400000,0.0665,0.0667,0.0664,0.0667,83543.0,1672530299999,5557.3733,50,49823.0,3315.9632,0
1672530300000,0.0667,0.0668,0.0666,0.0667,54332.0,1672531199999,3623.8229,24,51415.0,3429.5507,0
1672531200000,0.0667,0.0667,0.0662,0.0663,162302.0,1672532099999,10780.2545,122,27259.0,1810.6309,0
1672532100000,0.0662,0.0662,0.0658,0.0661,151409.0,1672532999999,9988.3439,132,70184.0,4631.4251,0
1672533000000,0.0661,0.0662,0.0653,0.0654,359227.0,1672533899999,23580.7595,230,185328.0,12179.0014,0
1672533900000,0.0654,0.0656,0.0651,0.0652,324286.0,1672534799999,21164.1109,164,106865.0,6983.6479,0
1672534800000,0.0652,0.0656,0.0652,0.0654,136915.0,1672535699999,8956.4095,69,95995.0,6282.6534,0
1672535700000,0.0653,0.0654,0.0651,0.0653,621359.0,1672536599999,40522.1735,250,117680.0,7685.0793,0
1672536600000,0.0653,0.0655,0.0651,0.0653,88509.0,1672537499999,5781.2453,61,38395.0,2508.5425,0
1672537500000,0.0653,0.0657,0.0652,0.0655,363773.0,1672538399999,23831.2146,132,303920.0,19915.7925,0
1672538400000,0.0655,0.0655,0.0653,0.0655,199054.0,1672539299999,13027.8313,80,132286.0,8663.2463,0
1672539300000,0.0656,0.0656,0.0654,0.0656,172365.0,1672540199999,11292.7982,59,47728.0,3130.6227,0
1672540200000,0.0656,0.0659,0.0656,0.0657,44337.0,1672541099999,2916.0341,25,40771.0,2681.9342,0
1672541100000,0.0657,0.0657,0.0654,0.0656,146357.0,1672541999999,9585.2219,60,22150.0,1454.0246,0
1672542000000,0.0655,0.0657,0.0654,0.0655,114447.0,1672542899999,7503.307,62,78315.0,5137.3421,0
1672542900000,0.0655,0.0655,0.0653,0.0655,56861.0,1672543799999,3719.0588,30,19127.0,1251.6488,0
1672543800000,0.0655,0.0656,0.0653,0.0653,99923.0,1672544699999,6535.9984,50,23475.0,1534.4608,0
1672544700000,0.0652,0.0654,0.065,0.0654,315931.0,1672545599999,20605.5375,124,169382.0,11055.3895,0
1672545600000,0.0652,0.0656,0.0651,0.0656,175879.0,1672546499999,11504.81,68,121822.0,7973.3914,0
1672546500000,0.0655,0.0657,0.0654,0.0655,44269.0,1672547399999,2901.2737,22,15958.0,1046.0928,0
1672547400000,0.0656,0.0657,0.0656,0.0656,24162.0,1672548299999,1586.4535,19,23318.0,1531.0871,0
1672548300000,0.0656,0.0656,0.0653,0.0653,117513.0,1672549199999,7698.0604,30,40517.0,2654.7003,0
1672549200000,0.0654,0.0655,0.0652,0.0653,95280.0,1672550099999,6226.4548,29,46828.0,3063.7205,0
1672550100000,0.0652,0.0654,0.0651,0.0653,110239.0,1672550999999,7196.1827,36,59889.0,3916.2973,0
1672551000000,0.0653,0.0653,0.0646,0.0649,285045.0,1672551899999,18503.607,115,75536.0,4908.5299,0
1672551900000,0.0649,0.065,0.0643,0.0644,225314.0,1672552799999,14567.0779,142,101758.0,6584.9837,0
1672552800000,0.0644,0.065,0.0644,0.065,92308.0,1672553699999,5974.9048,64,62405.0,4039.0035,0
1672553700000,0.0648,0.065,0.0645,0.0646,120147.0,1672554599999,7772.1921,71,18754.0,1213.9759,0
1672554600000,0.0647,0.0647,0.0645,0.0647,47616.0,1672555499999,3076.5468,38,32952.0,2130.2361,0
1672555500000,0.0647,0.0648,0.0645,0.0646,138034.0,1672556399999,8932.8199,58,109668.0,7100.2144,0
1672556400000,0.0645,0.0646,0.0641,0.0643,448561.0,1672557299999,28904.1452,155,199393.0,12854.6982,0
1672557300000,0.0643,0.0643,0.0638,0.0638,1317809.0,1672558199999,84222.2647,185,231292.0,14804.5883,0
