open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672531200000,0.0667,0.095,0.0622,0.0783,240937281.0,1672790399999,18720876.2714,112747,122136780.0,9500923.1232,0
1672790400000,0.0783,0.0821,0.0741,0.0786,74177701.0,1673049599999,5847948.4977,28927,36544719.0,2881894.3724,0
1673049600000,0.0786,0.0876,0.0754,0.0829,56527423.0,1673308799999,4628204.081,23105,26318663.0,2155979.2352,0
1673308800000,0.0829,0.0934,0.0805,0.0912,85700365.0,1673567999999,7415528.0945,32738,43037930.0,3726704.0587,0
1673568000000,0.0912,0.1142,0.0902,0.1082,143715680.0,1673827199999,14745277.4234,56795,71269564.0,7316102.1755,0
1673827200000,0.1084,0.127,0.1019,0.1155,188744099.0,1674086399999,22097467.5943,98879,89483487.0,10466834.4113,0
1674086400000,0.1152,0.132,0.1104,0.1201,84168359.0,1674345599999,9934494.9158,46449,39974197.0,4720061.264,0
1674345600000,0.1199,0.1666,0.1185,0.1529,219578720.0,1674604799999,31772519.4383,152226,109635215.0,15866613.2913,0
1674604800000,0.153,0.1567,0.1424,0.1519,95246214.0,1674863999999,14298384.9538,70529,45859743.0,6883065.359,0
1674864000000,0.152,0.1631,0.1291,0.1357,90835268.0,1675123199999,13831944.279,63317,44004251.0,6709913.2293,0
1675123200000,0.1359,0.1399,0.1241,0.1319,57959494.0,1675382399999,7742453.0995,42228,28556159.0,3816553.9571,0
1675382400000,0.132,0.1395,0.1213,0.1297,45393588.0,1675641599999,6039461.7209,31001,21910681.0,2913169.5227,0
1675641600000,0.1299,0.1439,0.1277,0.135,39278095.0,1675900799999,5339633.0473,30282,19060454.0,2589604.969,0
1675900800000,0.1351,0.138,0.1168,0.124,37648027.0,1676159999999,4749777.6323,31302,18314126.0,2309147.3899,0
1676160000000,0.1238,0.1259,0.1139,0.1254,26279292.0,1676419199999,3167504.0335,22435,12885256.0,1554211.8884,0
1676419200000,0.1255,0.1404,0.1235,0.1361,52880996.0,1676678399999,7048889.0076,39679,24953482.0,3330467.6149,0
1676678400000,0.1362,0.1648,0.1273,0.1492,184120983.0,1676937599999,26513053.3245,150210,95603134.0,13816628.1735,0
1676937600000,0.1492,0.184,0.1429,0.1478,279126346.0,1677196799999,44431865.8952,211501,156673109.0,25067289.8,0
1677196800000,0.1479,0.1484,0.1314,0.1414,48896420.0,1677455999999,6882929.4307,39037,25199224.0,3550078.5732,0
1677456000000,0.1414,0.1415,0.1301,0.1399,31402958.0,1677715199999,4304109.9928,24920,15258220.0,2092048.1336,0
1677715200000,0.1399,0.141,0.1024,0.1049,58290840.0,1677974399999,6920470.2184,41753,30530739.0,3629793.1707,0
1677974400000,0.1049,0.1138,0.1028,0.1057,65618689.0,1678233599999,7069334.6198,45265,33833988.0,3645342.0287,0
1678233600000,0.1059,0.1059,0.0866,0.0945,39049394.0,1678492799999,3767479.1942,26208,17699971.0,1707374.4002,0
1678492800000,0.0944,0.1103,0.0877,0.1075,41232567.0,1678751999999,4124593.5598,29030,20516459.0,2049816.0945,0
1678752000000,0.1075,0.1179,0.1012,0.1057,45148712.0,1679011199999,4930142.3692,35390,23045356.0,2513792.4719,0
1679011200000,0.1057,0.1213,0.1043,0.1174,51550481.0,1679270399999,5934666.9781,35107,23013112.0,2644791.8681,0
1679270400000,0.1175,0.119,0.1014,0.104,44022364.0,1679529599999,4873549.3987,30785,21332854.0,2361722.3424,0
1679529600000,0.1041,0.1114,0.1017,0.1033,22049799.0,1679788799999,2353084.2253,15743,10389050.0,1108221.7105,0
1679788800000,0.1034,0.1068,0.097,0.1027,17845026.0,1680047999999,1809808.9201,13975,8504381.0,863292.7704,0
1680048000000,0.1028,0.1108,0.1026,0.1098,25913411.0,1680307199999,2785760.9098,18670,11374172.0,1223222.126,0
1680307200000,0.1098,0.1133,0.1045,0.1107,32665408.0,1680566399999,3587729.3799,24114,15875494.0,1744333.7275,0
1680566400000,0.1108,0.1145,0.1085,0.1126,29845121.0,1680825599999,3324777.7351,23320,13978044.0,1558669.6188,0
1680825600000,0.1125,0.1156,0.1091,0.115,22964452.0,1681084799999,2588269.6588,15633,11215542.0,1264993.4642,0
1681084800000,0.1149,0.1204,0.1128,0.1169,38656029.0,1681343999999,4540669.1948,26279,19148240.0,2249418.0053,0
1681344000000,0.1172,0.1247,0.1154,0.1233,25423879.0,1681603199999,3080573.4302,22563,12041380.0,1459114.3905,0
1681603200000,0.1232,0.129,0.1206,0.1282,34915102.0,1681862399999,4358464.5045,27450,16638151.0,2079219.3646,0
1681862400000,0.1281,0.1326,0.1004,0.1025,110420156.0,1682121599999,13089402.6782,82225,52628538.0,6243147.6006,0
1682121600000,0.1023,0.1055,0.1003,0.1038,17475060.0,1682380799999,1808310.4271,12779,8768162.0,907848.5873,0
1682380800000,0.1037,0.1243,0.0986,0.1157,88146381.0,1682639999999,10134177.3328,71164,41606087.0,4777191.1864,0
1682640000000,0.1158,0.2211,0.1151,0.1489,610725009.0,1682899199999,94226286.2931,491647,316015865.0,48735853.2286,0
