open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1679529600000,0.5,1.6,0.5,1.2178,1321143056.8,1679788799999,1771975998.74377,3603570,628973911.6,845207885.22312,0
1679788800000,1.2179,1.3499,1.11,1.2204,700446869.8,1680047999999,856683343.85677,1297283,338980273.9,415328803.96123,0
1680048000000,1.2202,1.445,1.1957,1.3897,862822910.3,1680307199999,1145637988.0663,1608685,438354982.6,582543203.96172,0
1680307200000,1.3897,1.4028,1.1,1.153,688441760.0,1680566399999,845605849.00389,1342260,330681198.6,406074774.64439,0
1680566400000,1.1527,1.2905,1.1479,1.2149,416878272.2,1680825599999,510395154.04477,874402,211391483.6,258897470.27198,0
1680825600000,1.2151,1.2469,1.1431,1.1815,193148272.8,1681084799999,229710593.78252,472143,91092383.9,108434419.26002,0
1681084800000,1.1815,1.259,1.1528,1.1934,287814676.4,1681343999999,346985663.60275,550767,141403387.2,170607575.34995,0
1681344000000,1.1935,1.745,1.1777,1.6531,1009627721.0,1681603199999,1541542840.79274,2150890,521697268.0,796194937.21125,0
1681603200000,1.6531,1.82,1.572,1.6731,665040724.3,1681862399999,1111401052.96958,1441191,334539020.6,559816474.43704,0
1681862400000,1.6726,1.6966,1.4036,1.4719,757357359.9,1682121599999,1137256865.20627,1668248,368886925.6,553718112.20834,0
1682121600000,1.4717,1.5003,1.28,1.3385,484620603.8,1682380799999,673195893.90114,953640,244333830.6,339726265.88514,0
1682380800000,1.3382,1.5052,1.2933,1.4232,569217754.2,1682639999999,792131772.32205,1077525,279732377.0,389238064.36613,0
1682640000000,1.4232,1.4439,1.33,1.3394,127156970.2,1682899199999,177437407.15771,261267,59719319.4,83350315.93667,0
