open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,9.404,9.408,9.341,9.349,105089.38,1672516799999,985452.76559,3250,43759.74,410399.71544,0
1672516800000,9.348,9.374,9.264,9.353,174740.64,1672531199999,1630496.09841,4313,63596.82,593665.01232,0
1672531200000,9.355,9.428,9.302,9.383,169514.87,1672545599999,1588341.64247,4392,72689.7,680964.58765,0
1672545600000,9.386,9.393,9.311,9.38,121215.6,1672559999999,1133736.69976,3294,57812.55,540639.17061,0
1672560000000,9.38,9.425,9.351,9.397,105212.16,1672574399999,987803.92099,3640,47454.74,445676.12144,0
1672574400000,9.398,9.423,9.36,9.415,80972.36,1672588799999,760461.67908,3233,36967.95,347201.51566,0
1672588800000,9.416,9.479,9.394,9.452,170916.53,1672603199999,1613636.13703,4724,87663.09,827508.15306,0
1672603200000,9.454,9.479,9.406,9.462,122234.62,1672617599999,1154406.35045,3807,61473.06,580424.43076,0
1672617600000,9.46,9.697,9.383,9.631,433608.14,1672631999999,4124957.20591,11570,224462.54,2136111.65785,0
1672632000000,9.63,9.997,9.572,9.888,734305.76,1672646399999,7191962.64235,18269,376070.7,3682978.79533,0
1672646400000,9.889,10.055,9.867,9.975,455207.62,1672660799999,4525343.51355,13195,219339.4,2181335.58834,0
1672660800000,9.977,10.02,9.871,9.908,348891.62,1672675199999,3465698.74923,9470,163476.84,1624065.13607,0
1672675200000,9.906,9.958,9.862,9.891,238306.44,1672689599999,2362072.78631,6887,111606.86,1106604.65591,0
1672689600000,9.89,9.938,9.784,9.818,206940.8,1672703999999,2038035.14064,7492,94961.78,935350.16921,0
1672704000000,9.818,9.922,9.755,9.918,210708.29,1672718399999,2074587.85937,7057,113473.4,1117151.56178,0
1672718400000,9.919,9.998,9.884,9.904,252686.56,1672732799999,2510038.82688,7971,114647.05,1139023.04036,0
1672732800000,9.904,10.369,9.839,10.113,1375106.62,1672747199999,13926630.55577,26689,582167.19,5893021.30553,0
1672747200000,10.117,10.267,10.05,10.156,438749.82,1672761599999,4456326.01579,12645,213781.38,2172139.16222,0
1672761600000,10.156,10.256,10.081,10.107,286289.11,1672775999999,2907325.6427,10065,139287.91,1414470.31893,0
1672776000000,10.108,10.452,10.064,10.157,462548.53,1672790399999,4686428.6905,11194,245093.17,2485243.05782,0
1672790400000,10.157,10.46,10.128,10.348,758596.67,1672804799999,7800991.761,20866,392873.2,4039881.71781,0
1672804800000,10.351,10.379,10.166,10.324,385308.43,1672819199999,3978879.55345,10296,151494.79,1565100.9879,0
1672819200000,10.323,10.331,10.198,10.206,282916.5,1672833599999,2901961.86704,8651,129920.78,1332659.88971,0
1672833600000,10.205,10.271,10.131,10.257,353622.34,1672847999999,3612822.14422,10814,160439.32,1639380.20267,0
1672848000000,10.256,10.487,10.107,10.183,479385.33,1672862399999,4911227.22327,14028,253305.13,2596577.16487,0
1672862400000,10.181,10.235,10.047,10.196,235815.62,1672876799999,2392685.48069,8309,111290.76,1129369.11144,0
1672876800000,10.197,10.235,10.103,10.152,278465.15,1672891199999,2829532.10876,9227,124883.09,1268718.86567,0
1672891200000,10.153,10.214,10.06,10.112,210013.28,1672905599999,2132599.46185,7848,94110.03,955774.9799,0
1672905600000,10.113,10.126,9.989,10.107,290968.24,1672919999999,2925493.50961,9929,129647.86,1303829.59787,0
1672920000000,10.108,10.122,9.997,10.066,277951.96,1672934399999,2794987.18043,9919,117100.73,1177564.9679,0
1672934400000,10.066,10.148,10.039,10.146,130915.43,1672948799999,1320991.2529,6385,61146.45,617215.77381,0
1672948800000,10.147,10.171,10.032,10.085,186607.81,1672963199999,1885824.40679,7181,71283.25,720169.96649,0
1672963200000,10.086,10.184,10.068,10.092,171276.67,1672977599999,1734609.71602,7448,75424.32,763886.17708,0
1672977600000,10.093,10.115,9.95,9.957,265211.12,1672991999999,2658240.89863,9393,99181.5,994035.81814,0
1672992000000,9.958,10.026,9.911,10.001,290918.07,1673006399999,2897408.03667,9985,157434.46,1567945.99594,0
1673006400000,10.002,10.095,9.91,10.089,329084.35,1673020799999,3287757.00899,12150,150577.79,1505321.68584,0
1673020800000,10.089,10.149,10.019,10.127,255266.55,1673035199999,2570499.07508,8902,129235.18,1301503.20502,0
1673035200000,10.13,10.295,10.115,10.251,297832.27,1673049599999,3041183.32043,10595,149529.05,1526661.00045,0
1673049600000,10.254,10.371,10.201,10.315,262684.66,1673063999999,2708461.29522,9302,130047.5,1340831.44572,0
1673064000000,10.315,10.319,10.17,10.254,140548.72,1673078399999,1438604.82944,7157,56597.64,579302.34255,0
1673078400000,10.254,10.262,10.139,10.162,121269.23,1673092799999,1234712.31715,6016,57145.43,581750.4276,0
1673092800000,10.162,10.238,10.149,10.21,117270.44,1673107199999,1196109.76444,5686,55976.6,571016.26711,0
1673107200000,10.209,10.246,10.167,10.24,78477.93,1673121599999,801319.39659,5023,32620.33,333065.75051,0
1673121600000,10.239,10.245,10.166,10.196,72299.66,1673135999999,737679.68945,4994,28387.52,289649.33258,0
1673136000000,10.196,10.206,10.032,10.097,198545.85,1673150399999,2003361.33564,8304,91267.07,920650.26183,0
1673150400000,10.098,10.1,10.044,10.091,89190.31,1673164799999,898716.96677,5241,43161.36,434920.29352,0
1673164800000,10.091,10.106,10.043,10.063,123794.07,1673179199999,1247096.82412,5536,51614.51,520043.86645,0
1673179200000,10.064,10.517,9.988,10.488,843919.6,1673193599999,8663154.29205,23211,456535.05,4682456.51445,0
1673193600000,10.49,10.497,10.331,10.413,286198.42,1673207999999,2979264.15509,8710,134900.51,1404328.18032,0
1673208000000,10.41,10.605,10.4,10.549,366043.65,1673222399999,3837711.87778,11835,177623.05,1862164.75054,0
1673222400000,10.549,11.231,10.52,11.053,1360296.07,1673236799999,14904156.66196,41823,627009.96,6858757.83102,0
1673236800000,11.054,11.507,11.011,11.276,721497.57,1673251199999,8091981.90549,24461,358427.59,4023613.33257,0
1673251200000,11.275,11.508,11.23,11.279,549780.65,1673265599999,6244969.72404,17685,249738.2,2837368.81975,0
