open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,9.404,9.408,9.401,9.404,2758.29,1672502699999,25941.40848,76,1462.89,13758.75414,0
1672502700000,9.402,9.402,9.399,9.399,793.17,1672502999999,7456.62664,52,222.93,2095.86797,0
1672503000000,9.398,9.398,9.38,9.38,5520.28,1672503299999,51828.84595,131,1089.19,10228.77096,0
1672503300000,9.38,9.383,9.351,9.373,9108.66,1672503599999,85334.73777,254,4835.25,45312.6019,0
1672503600000,9.375,9.388,9.373,9.388,789.94,1672503899999,7411.08691,97,556.14,5217.56778,0
1672503900000,9.389,9.389,9.373,9.385,2578.54,1672504199999,24186.67293,67,1423.63,13349.64556,0
1672504200000,9.385,9.397,9.384,9.395,1827.85,1672504499999,17167.83156,67,1105.58,10385.16834,0
1672504500000,9.397,9.397,9.388,9.388,1805.9,1672504799999,16964.28493,52,740.68,6958.80202,0
1672504800000,9.388,9.396,9.386,9.395,944.38,1672505099999,8870.30267,43,532.96,5006.4592,0
1672505100000,9.394,9.396,9.39,9.393,517.47,1672505399999,4860.5058,34,201.35,1891.32482,0
1672505400000,9.39,9.403,9.39,9.403,1292.8,1672505699999,12149.79956,48,1143.76,10748.79011,0
1672505700000,9.404,9.404,9.4,9.402,3379.8,1672505999999,31777.68645,50,2039.78,19179.16872,0
1672506000000,9.402,9.402,9.393,9.393,1955.55,1672506299999,18379.47543,59,98.21,922.90333,0
1672506300000,9.392,9.399,9.392,9.399,280.04,1672506599999,2631.6085,28,188.29,1769.41667,0
1672506600000,9.399,9.4,9.388,9.389,6814.4,1672506899999,64025.56115,149,2538.74,23854.72501,0
1672506900000,9.388,9.394,9.372,9.374,6811.7,1672507199999,63928.12236,195,2000.49,18771.88943,0
1672507200000,9.374,9.378,9.364,9.365,2498.1,1672507499999,23410.77826,102,1382.35,12953.84082,0
1672507500000,9.364,9.376,9.364,9.376,1056.23,1672507799999,9897.28533,37,918.41,8605.27675,0
1672507800000,9.374,9.374,9.362,9.368,2430.2,1672508099999,22768.13293,78,667.97,6256.61062,0
1672508100000,9.369,9.38,9.368,9.375,883.43,1672508399999,8282.18944,41,309.99,2905.30497,0
1672508400000,9.375,9.38,9.373,9.38,376.85,1672508699999,3533.955,30,123.08,1154.16407,0
1672508700000,9.379,9.38,9.374,9.377,763.55,1672508999999,7159.40426,29,641.91,6018.88886,0
1672509000000,9.377,9.382,9.373,9.374,2507.69,1672509299999,23517.57191,82,907.89,8514.80494,0
1672509300000,9.373,9.379,9.373,9.379,1213.4,1672509599999,11376.15245,32,883.79,8285.44685,0
1672509600000,9.38,9.386,9.38,9.383,1841.98,1672509899999,17282.86102,76,1268.91,11905.78046,0
1672509900000,9.38,9.4,9.38,9.399,3353.83,1672510199999,31496.21137,71,3080.12,28925.22593,0
1672510200000,9.399,9.4,9.387,9.393,2316.54,1672510499999,21762.43888,72,498.28,4679.79265,0
1672510500000,9.393,9.395,9.39,9.391,983.51,1672510799999,9238.63252,59,563.67,5294.79157,0
1672510800000,9.391,9.394,9.383,9.383,1772.8,1672511099999,16644.3093,66,536.59,5038.16832,0
1672511100000,9.384,9.387,9.375,9.378,1795.34,1672511399999,16840.50307,48,100.97,947.33543,0
