open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1600732800000,0.85,7.0,0.85,4.6411,51170335.03,1600991999999,248783069.6118,649026,25326089.0,123745968.611563,0
1600992000000,4.6366,5.0234,4.1068,4.6484,7201164.24,1601251199999,32841117.285205,138264,3612872.68,16501817.832053,0
1601251200000,4.6485,4.705,3.9607,4.3293,3183843.22,1601510399999,13482786.315702,56629,1589916.42,6733160.309483,0
1601510400000,4.3293,4.53,3.6332,4.0168,4004701.23,1601769599999,16152555.31658,51778,1940265.77,7823557.336579,0
1601769600000,4.0202,4.0798,3.5,3.5424,2077918.6,1602028799999,7921120.392027,34192,990144.74,3789057.908667,0
1602028800000,3.5401,4.3252,3.207,4.2491,2462702.52,1602287999999,8969065.107062,38683,1234665.28,4502778.928011,0
1602288000000,4.2427,4.71,3.9333,4.41,2215563.99,1602547199999,9328077.9055,32866,1096612.77,4626504.326902,0
1602547200000,4.4099,4.5636,3.9985,4.1269,1595842.65,1602806399999,6890023.141247,26971,771329.39,3336677.499206,0
1602806400000,4.1266,4.2461,3.8755,4.1195,934986.33,1603065599999,3794779.274313,18605,421322.9,1710885.25892,0
1603065600000,4.1371,4.1748,3.6925,3.9585,1183819.57,1603324799999,4659494.012779,25119,559848.17,2201146.39935,0
1603324800000,3.9574,4.4904,3.9511,4.1821,1284994.2,1603583999999,5554335.553835,26060,619707.18,2679229.651711,0
1603584000000,4.1803,4.4897,4.0141,4.1217,1163573.44,1603843199999,4897588.637842,21559,552862.91,2331522.84308,0
1603843200000,4.1214,4.1792,3.5781,3.7224,1631829.91,1604102399999,6220881.750957,30334,828009.02,3150640.804671,0
1604102400000,3.7116,3.8775,3.5521,3.617,964187.4,1604361599999,3541234.262615,14956,426510.76,1568064.624975,0
1604361600000,3.6174,3.6513,3.0,3.3348,1775794.46,1604620799999,5828824.306556,29317,779979.26,2551453.792577,0
1604620800000,3.335,3.9193,3.3194,3.4754,2285697.71,1604879999999,8137326.975212,39477,1100715.12,3924178.860171,0
1604880000000,3.4674,3.82,3.2619,3.4842,1407010.18,1605139199999,4932786.339245,29832,687390.01,2413540.205145,0
1605139200000,3.4918,3.7042,3.32,3.4894,1342770.22,1605398399999,4700715.111279,31258,659302.1,2315815.668682,0
1605398400000,3.484,3.9333,3.4101,3.8355,1587189.85,1605657599999,5846600.911635,39276,793045.52,2922693.94969,0
1605657600000,3.8476,4.0111,3.55,3.715,1575251.78,1605916799999,5892240.625163,43831,750934.52,2812814.705066,0
1605916800000,3.7124,4.2575,3.67,4.0747,1731516.52,1606175999999,6857437.32459,48909,881221.29,3494976.717074,0
1606176000000,4.0748,4.3989,3.28,3.5447,2630786.32,1606435199999,10331571.336989,67257,1305812.49,5155862.088047,0
1606435200000,3.5399,3.7662,3.4178,3.7013,861439.97,1606694399999,3103870.680374,24516,446959.27,1611762.560095,0
1606694400000,3.7124,3.8458,3.4501,3.74,975116.6,1606953599999,3597932.170765,28448,468985.86,1732697.223821,0
1606953600000,3.7384,3.8966,3.5059,3.6382,700870.51,1607212799999,2597284.325372,22771,336876.85,1250857.325013,0
1607212800000,3.6384,3.6733,3.085,3.1172,1466511.3,1607471999999,4859241.473272,45374,622680.31,2066455.24203,0
1607472000000,3.1185,3.4411,2.8001,3.2375,3353967.33,1607731199999,10598148.239959,89000,1675048.41,5298793.58859,0
1607731200000,3.232,3.45,3.1357,3.1433,2335148.65,1607990399999,7722885.171024,58130,1078347.29,3565107.352367,0
1607990400000,3.1439,3.5441,3.06,3.2079,2194536.69,1608249599999,7133991.086478,45549,1134667.47,3691084.140531,0
1608249600000,3.2068,3.6076,3.1424,3.304,1564900.07,1608508799999,5333021.482961,37087,736406.36,2516127.752418,0
1608508800000,3.3041,3.6937,2.7501,2.9465,4190517.94,1608767999999,13366203.203664,73329,2134350.39,6851852.782296,0
1608768000000,2.9525,3.1301,2.7679,2.9178,2257139.82,1609027199999,6691220.768327,41016,1212322.02,3597484.420831,0
1609027200000,2.9223,3.0759,2.8322,2.9248,2330754.62,1609286399999,6842377.14361,42865,1155295.57,3393199.729101,0
1609286400000,2.925,3.86,2.78,3.6497,5121306.08,1609545599999,17167893.554582,90537,2728981.19,9158948.524604,0
1609545600000,3.6544,3.939,3.2283,3.5999,4000215.68,1609804799999,14257826.854413,84574,2051401.14,7312347.330379,0
1609804800000,3.5999,4.9773,3.4703,4.4707,6800047.82,1610063999999,29774562.259527,148522,3500986.01,15338166.898192,0
1610064000000,4.4728,7.4969,4.0,6.5416,8963673.05,1610323199999,55228374.629435,219719,4824294.05,29767983.515702,0
1610323200000,6.541,8.5,5.72,8.4695,6916045.03,1610582399999,50045236.086706,172065,3616799.55,26272793.265328,0
1610582400000,8.4693,13.4991,8.21,12.8421,8439961.65,1610841599999,87740984.18596,262748,4381077.54,45733577.169769,0
1610841600000,12.8222,14.69,11.3433,11.7367,6733151.0,1611100799999,87800144.577814,263773,3370636.64,44092149.75776,0
1611100800000,11.7346,13.3899,10.673,12.7097,5483171.28,1611359999999,66493101.640194,202569,2795822.2,33981996.431694,0
1611360000000,12.7153,13.48,12.0598,12.1816,2745401.87,1611619199999,35138403.924769,122230,1387334.4,17782452.117364,0
1611619200000,12.1816,12.7524,10.77,11.9615,2705712.48,1611878399999,32290786.924978,129775,1325042.65,15820373.093958,0
1611878400000,11.9596,15.3728,11.293,13.4704,7610969.21,1612137599999,98735474.822108,274860,4055408.21,52712594.718227,0
1612137600000,13.4704,14.9409,12.5741,14.84,3837083.43,1612396799999,51420437.004357,142502,1925039.08,25851962.621586,0
1612396800000,14.84,18.6228,13.7978,18.1216,4851483.24,1612655999999,79466501.387432,219972,2523220.37,41401187.027848,0
1612656000000,18.1232,33.8167,17.8802,31.9194,13323995.38,1612915199999,353301102.476995,699327,6928377.8,183460980.591643,0
1612915200000,31.8487,60.3035,31.3408,48.2978,17236486.6,1613174399999,839732250.846899,1280054,8779812.57,427736184.85806,0
1613174400000,48.2961,51.9,33.5,38.309,8653802.06,1613433599999,359842980.36376,725527,4333271.85,180121049.724889,0
1613433600000,38.3362,44.4907,34.1386,40.9656,8730640.72,1613692799999,339156829.034786,664668,4564976.08,177424443.822699,0
1613692800000,41.023,42.8463,31.9376,36.1855,6965131.4,1613951999999,267741890.077645,473166,3440625.63,132433504.540851,0
1613952000000,36.1932,36.2941,22.51,29.7396,9862026.14,1614211199999,288877215.622325,562685,4918323.91,144088549.024885,0
1614211200000,29.732,32.1836,24.7703,25.7616,5926204.17,1614470399999,164676907.903503,361183,3144579.11,87499311.950782,0
1614470400000,25.7423,31.99,22.1237,27.1101,9290902.7,1614729599999,249476138.112108,490081,4828617.74,129565899.432008,0
1614729600000,27.1144,29.4503,23.5269,24.2414,8296787.9,1614988799999,219943055.983361,425501,4400966.87,116741250.511849,0
1614988800000,24.2708,27.95,23.8267,25.6179,6677772.95,1615247999999,173470703.827182,361800,3343262.87,86888736.304796,0
1615248000000,25.6178,35.8,23.4102,30.8005,24222177.15,1615507199999,733116906.611668,1207943,12424326.12,376305013.190551,0
1615507200000,30.798,33.2249,26.7837,28.8423,11573175.31,1615766399999,346388635.008933,596894,5814914.68,174273520.346436,0
1615766400000,28.8383,33.9899,27.0,32.6789,10853818.72,1616025599999,331750985.979024,606623,5497674.25,168259028.516449,0
1616025600000,32.6789,39.3,31.3409,34.2022,10891220.17,1616284799999,386087019.264234,683382,5591170.56,198372564.38382,0
1616284800000,34.1783,35.4516,28.1111,28.4704,7844967.81,1616543999999,248353670.477357,523049,3887781.19,123393080.758552,0
1616544000000,28.4541,30.4914,24.3291,28.2527,7660812.33,1616803199999,209642778.622228,442689,3886288.84,106426899.942807,0
1616803200000,28.2744,30.3702,26.789,29.5,5750288.32,1617062399999,164944202.642661,336333,2936387.73,84295833.751454,0
