open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,109.43,112.0,108.42,109.07,565852.24,1641038399999,62286438.6258,147006,310376.85,34177455.2876,0
1641038400000,109.09,114.5,109.0,114.13,645275.74,1641081599999,72338854.4891,183573,316651.23,35505103.8736,0
1641081600000,114.12,117.53,113.38,115.77,619771.78,1641124799999,71779905.9458,185287,304621.21,35274080.9005,0
1641124800000,115.75,116.33,112.0,113.03,537553.79,1641167999999,61401391.4861,164404,267285.67,30524294.3995,0
1641168000000,113.02,114.13,110.05,111.78,587473.09,1641211199999,65644740.8767,143616,294550.41,32925245.7885,0
1641211200000,111.79,113.35,106.01,108.11,930638.82,1641254399999,101870957.1465,202219,454969.78,49822187.1289,0
1641254400000,108.11,108.41,105.0,107.48,674605.48,1641297599999,71707371.4565,130222,344086.57,36577340.5249,0
1641297600000,107.48,109.28,102.78,103.33,972124.31,1641340799999,103171762.2015,198552,475119.07,50446929.8524,0
1641340800000,103.33,106.66,102.48,104.93,550422.48,1641383999999,57938834.4971,103097,274907.4,28943269.6175,0
1641384000000,104.93,105.46,90.4,97.42,1727107.27,1641427199999,171067318.7175,329859,830685.25,82402387.6663,0
1641427200000,97.42,97.97,91.34,91.79,932428.28,1641470399999,87800771.3146,200150,458516.94,43200545.9229,0
1641470400000,91.78,97.0,91.04,95.11,700605.77,1641513599999,66299614.28,135715,370636.03,35062600.4109,0
1641513600000,95.1,95.54,85.0,90.03,1469064.51,1641556799999,130961452.5851,266924,744128.84,66304627.1918,0
1641556800000,90.02,91.82,85.67,86.74,1133020.05,1641599999999,100160564.1355,218330,582082.4,51483219.1026,0
1641600000000,86.74,89.64,85.85,86.85,920722.88,1641643199999,80805941.8321,132582,466454.18,40920122.923,0
1641643200000,86.87,87.33,79.18,83.9,1548339.6,1641686399999,128051856.9162,232870,777137.38,64298564.7912,0
1641686400000,83.87,86.39,82.46,85.48,612577.99,1641729599999,51815433.8269,101044,304753.53,25776189.3989,0
1641729600000,85.51,91.88,83.4,89.33,1195901.58,1641772799999,105834547.4258,208563,599605.83,53033202.4546,0
1641772800000,89.32,92.4,86.5,86.98,882545.35,1641815999999,78419545.4091,148037,415408.25,36952113.0482,0
1641816000000,86.98,87.21,80.1,84.36,1953548.82,1641859199999,163129645.3724,289817,981413.37,81943427.5108,0
1641859200000,84.42,87.37,83.21,85.42,635141.77,1641902399999,54371575.8222,100655,311017.19,26632612.5052,0
1641902400000,85.43,91.0,84.56,89.59,796176.12,1641945599999,70290507.6366,152554,413282.08,36503621.2532,0
1641945600000,89.57,95.25,88.8,94.88,818227.6,1641988799999,75142951.4724,157566,422589.07,38807952.8001,0
1641988800000,94.89,96.89,93.6,95.94,938853.96,1642031999999,89435269.6513,182237,492779.33,46943360.3637,0
1642032000000,95.95,96.4,92.71,93.87,467865.94,1642075199999,44146870.4747,108545,231854.61,21884830.8795,0
1642075200000,93.87,97.26,89.08,89.65,962022.49,1642118399999,89440356.0092,189777,449576.82,41867732.9287,0
1642118400000,89.65,91.77,87.23,88.34,558420.27,1642161599999,50050909.6273,108351,280740.46,25182693.7116,0
1642161600000,88.32,90.85,87.26,90.39,641648.33,1642204799999,57618350.4005,100216,340390.31,30566395.1745,0
1642204800000,90.4,91.77,89.82,90.6,334146.04,1642247999999,30288099.6241,58852,171873.07,15576950.6112,0
1642248000000,90.59,94.44,89.47,92.98,580543.64,1642291199999,53698068.3843,117758,312728.96,28937296.2255,0
1642291200000,92.98,94.29,91.8,93.28,469053.81,1642334399999,43621536.2255,84669,241882.53,22503793.6763,0
1642334400000,93.28,94.9,92.0,92.24,498365.06,1642377599999,46513252.5131,94346,265917.04,24834450.9846,0
1642377600000,92.25,92.5,88.35,88.61,589897.43,1642420799999,52995672.2846,109239,306032.92,27484802.6124,0
