open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,109.43,117.53,52.95,69.87,61854215.54,1643673599999,4911458840.6999,9774826,31321768.18,2485133798.2239,0
1643673600000,69.9,98.77,64.45,84.54,75906195.7,1646092799999,6077282626.0804,10979946,37966444.35,3039787607.701,0
1646092800000,84.54,101.98,65.55,97.41,89740080.06,1648771199999,7410080510.8323,11041914,44468010.0,3674457421.2283,0
1648771200000,97.43,103.62,55.05,56.98,57402328.2,1651363199999,4710992659.4425,7733973,27407020.34,2252984271.7759,0
1651363200000,56.98,69.52,21.35,26.42,151650261.802,1654041599999,5331373946.503943,11168705,74659779.65,2621273368.6827,0
1654041600000,26.43,27.79,13.71,16.99,158579366.758,1656633599999,3039691250.99771,6409603,78513763.38,1505011706.1308,0
1656633600000,16.98,26.38,15.8,23.72,119695686.82,1659311999999,2528023525.9395,5167735,59260843.43,1251518047.8454,0
1659312000000,23.72,30.89,17.48,19.14,92005523.69,1661990399999,2253244914.7971,4773090,44934827.62,1101057108.8842,0
1661990400000,19.14,21.91,16.19,17.2,65461800.15,1664582399999,1223667562.1387,2646032,31493349.84,589798757.6036,0
1664582400000,17.21,19.83,14.42,19.28,45153891.34,1667260799999,753629903.8817,1767440,20805767.83,347795556.5054,0
1667260800000,19.28,20.63,11.44,13.15,63684778.257,1669852799999,943539348.388544,3032325,30444081.95,451324245.3174,0
1669852800000,13.15,14.4,10.54,10.9,31962716.351,1672531199999,406717047.189885,1071477,14988799.85,190853175.9466,0
1672531200000,10.9,21.81,10.64,19.8,108887889.49,1675209599999,1808050908.9897,3922738,52489264.39,872201706.6151,0
1675209600000,19.8,22.79,16.84,17.09,73675792.64,1677628799999,1458047773.9302,3173674,35718371.84,707361240.0835,0
1677628800000,17.1,18.25,13.88,17.7,64130218.35,1680307199999,1055597014.268,2856373,31569322.26,520003719.0877,0
1680307200000,17.7,21.56,16.27,17.65,52179036.51,1682899199999,963474609.3414,2222973,25356721.87,468690552.4457,0
