open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609430400000,37.0881,37.1,36.5157,37.0011,53397.339,1609432199999,1971300.2311713,7464,21512.174,794757.9780532,0
1609432200000,37.0133,37.0699,36.8159,36.889,30884.714,1609433999999,1141785.4066775,4523,15094.033,557925.6925101,0
1609434000000,36.8935,37.3288,36.8169,37.2941,41985.782,1609435799999,1558111.3611813,5280,21069.635,781683.6635761,0
1609435800000,37.2941,37.3339,37.0886,37.1184,26024.761,1609437599999,968010.1247443,4184,11753.23,437289.7147496,0
1609437600000,37.1279,37.149,36.9138,37.006,20935.611,1609439399999,774970.404449,3633,8653.654,320410.4624037,0
1609439400000,37.0061,37.1416,37.0008,37.1045,10874.462,1609441199999,403266.1753562,2624,5667.761,210187.2847169,0
1609441200000,37.1045,37.1602,37.072,37.1312,11856.003,1609442999999,440111.6155698,2206,6728.384,249770.6248492,0
1609443000000,37.1273,37.1733,37.0755,37.1399,15184.497,1609444799999,563687.697515,2504,6705.307,248884.8163892,0
1609444800000,37.14,37.2,37.0885,37.1501,13067.473,1609446599999,485467.4374897,2493,6975.189,259142.5990825,0
1609446600000,37.1543,37.2282,37.1446,37.1855,8952.001,1609448399999,332925.6653005,2041,4860.294,180762.0039123,0
1609448400000,37.1707,37.2063,37.0281,37.0471,14401.194,1609450199999,534454.600652,2826,6606.801,245177.2406314,0
1609450200000,37.047,37.0973,36.9729,37.0441,13180.3,1609451999999,488005.5903473,2532,6747.025,249800.9594719,0
1609452000000,37.0449,37.0899,36.9195,36.9911,9960.545,1609453799999,368833.1256789,1897,4773.925,176794.2639352,0
1609453800000,36.993,37.32,36.9759,37.1971,25397.181,1609455599999,944401.4462598,3312,14516.66,539604.3782077,0
1609455600000,37.2113,37.2914,37.0743,37.2157,17327.328,1609457399999,644419.0120894,2963,7693.811,286140.8817893,0
1609457400000,37.2157,37.4231,37.1756,37.3588,21804.985,1609459199999,813064.314127,3614,12462.401,464822.3772669,0
1609459200000,37.3596,37.4221,36.9636,37.061,52273.957,1609460999999,1941056.658731,6287,26270.679,975599.9814139,0
1609461000000,37.0653,37.4423,37.0,37.3764,42839.869,1609462799999,1595655.6531185,4880,22894.351,852971.1216043,0
1609462800000,37.3765,37.7993,37.3353,37.719,74942.169,1609464599999,2813779.2715527,7467,35407.41,1329514.3472805,0
1609464600000,37.7194,37.939,37.5112,37.6134,77394.713,1609466399999,2920634.569147,7342,40540.767,1530322.9754368,0
1609466400000,37.6134,37.727,37.5758,37.69,41496.373,1609468199999,1562021.9694324,3448,20031.513,754012.0845499,0
1609468200000,37.6874,37.973,37.601,37.96,66159.271,1609469999999,2500422.7651743,4536,24015.643,908097.4020306,0
