open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640966400000,521.9,522.9,506.0,511.4,208336.333,1640995199999,106901395.0691,144332,94182.601,48323810.3419,0
1640995200000,511.5,521.8,511.4,515.8,144783.606,1641023999999,74843316.4464,94971,73304.58,37886122.4812,0
1641024000000,515.9,521.0,512.3,518.7,133289.128,1641052799999,68820889.8033,108763,66760.202,34474670.6447,0
1641052800000,518.7,527.9,517.5,527.3,168098.807,1641081599999,88031915.0499,125804,88681.278,46434737.9671,0
1641081600000,527.4,527.8,518.0,522.1,111207.554,1641110399999,58153475.8095,91848,53754.189,28115959.9578,0
1641110400000,522.1,526.8,519.8,525.9,117438.297,1641139199999,61470997.0965,113326,60249.796,31540055.9805,0
1641139200000,526.0,533.9,523.4,531.0,175829.69,1641167999999,93069355.0316,141078,87211.704,46165731.0199,0
1641168000000,531.0,531.1,522.7,525.5,118540.099,1641196799999,62356444.8526,92378,57178.805,30073253.8795,0
1641196800000,525.5,532.8,524.0,527.2,164526.543,1641225599999,87038856.9321,137111,83531.625,44193654.1371,0
1641225600000,527.3,528.4,510.0,511.9,380774.379,1641254399999,196501209.4931,233842,166537.888,85951683.7046,0
1641254400000,511.9,512.7,502.0,512.4,255288.594,1641283199999,129773545.3157,168181,117362.313,59675030.6618,0
1641283200000,512.4,520.0,509.9,515.6,239767.367,1641311999999,123513049.6641,166959,127909.752,65902343.4551,0
1641312000000,515.6,516.9,505.7,506.9,192380.677,1641340799999,98422558.052,146665,94345.981,48277456.2209,0
1641340800000,506.9,514.4,505.5,513.3,120721.006,1641369599999,61699370.3339,93339,61208.514,31284787.3782,0
1641369600000,513.3,516.0,508.7,512.4,174292.854,1641398399999,89298630.8094,134543,87497.127,44832810.5305,0
1641398400000,512.5,512.8,457.0,474.1,690138.144,1641427199999,336041057.6437,401517,319558.816,155550119.8588,0
1641427200000,474.2,475.9,461.6,472.1,426657.111,1641455999999,199993428.9269,202192,203943.742,95592198.5158,0
1641456000000,472.0,472.9,458.8,472.2,340861.122,1641484799999,158660703.1101,196196,168978.171,78667468.6069,0
1641484800000,472.3,481.3,470.0,472.6,219151.667,1641513599999,104305734.6299,144853,110650.623,52667483.7791,0
1641513600000,472.6,473.9,437.5,447.3,572076.279,1641542399999,258570932.5439,246623,270734.134,122336653.8298,0
1641542400000,447.3,457.7,438.2,445.1,500909.765,1641571199999,225378477.1894,225779,249909.405,112453353.1286,0
1641571200000,445.0,454.6,440.7,448.1,258273.986,1641599999999,116079274.4613,143446,130441.826,58623184.2222,0
1641600000000,448.1,456.8,445.9,456.4,158702.124,1641628799999,71799332.3592,100859,81931.217,37075972.2387,0
1641628800000,456.4,459.7,445.9,448.0,187943.627,1641657599999,85312562.6783,125273,90817.102,41230557.9062,0
1641657600000,448.0,450.2,415.0,429.9,716142.838,1641686399999,306970837.7734,286336,339369.803,145551680.2672,0
1641686400000,429.8,438.4,427.1,433.8,206756.686,1641715199999,89549660.9748,104433,106035.799,45925961.7404,0
1641715200000,433.8,436.8,427.0,429.9,248022.215,1641743999999,107165163.4204,127537,123438.753,53343694.753,0
1641744000000,429.9,444.5,429.4,438.7,233998.446,1641772799999,102799461.0299,135922,120776.828,53056494.2022,0
1641772800000,438.8,445.5,435.8,441.9,200905.638,1641801599999,88537458.2947,101962,99587.987,43898485.4618,0
1641801600000,441.9,442.2,405.6,416.1,639878.902,1641830399999,269479075.7402,271945,305290.046,128567337.8563,0
1641830400000,416.1,428.3,411.6,424.7,380720.198,1641859199999,160127112.4731,176976,194104.013,81628887.2235,0
1641859200000,424.8,442.4,421.3,442.1,209148.047,1641887999999,90233456.9194,122624,104245.355,44987995.8677,0
1641888000000,442.2,455.5,442.1,452.5,606861.186,1641916799999,273471842.2108,265938,300193.292,135260771.3019,0
1641916800000,452.6,467.7,452.1,463.6,450083.586,1641945599999,207630368.6625,282431,229245.542,105725313.944,0
1641945600000,463.6,465.9,456.6,459.0,215136.73,1641974399999,99097028.9727,128006,107658.379,49589669.4451,0
1641974400000,459.0,484.9,458.3,482.2,405129.672,1642003199999,191550296.6686,252880,208013.068,98319511.0081,0
1642003200000,482.2,489.9,480.2,487.8,215858.526,1642031999999,104747901.3454,161867,108015.408,52417453.8414,0
1642032000000,487.8,489.8,476.4,483.0,213078.452,1642060799999,102688998.2364,144738,107330.444,51723243.9078,0
1642060800000,483.1,487.8,469.8,474.0,386690.061,1642089599999,186044184.4648,236042,185485.126,89262024.936,0
1642089600000,474.0,479.9,466.5,475.2,308284.424,1642118399999,146122073.8289,193377,151830.65,71982220.591,0
1642118400000,475.1,490.0,472.5,484.3,253823.647,1642147199999,122384030.1731,166639,127876.78,61653029.2232,0
1642147200000,484.3,484.5,467.6,481.4,315394.788,1642175999999,150058319.3529,206235,153947.375,73245121.7326,0
1642176000000,481.5,492.3,479.0,490.0,227803.746,1642204799999,110628212.6243,159991,117448.457,57042444.5362,0
