open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1568966400000,238.7,306.0963,33.8143,33.8143,31.79,1568966579999,2873.32101,32,0.06,17.9025,0
1568966580000,33.8142,33.8142,29.9999,29.9999,4.38,1568966759999,145.474329,3,4.38,145.474329,0
1568966760000,16.7,16.7835,0.0005,1.0,3753.98,1568966939999,7124.40574,8,1714.51,6750.581494,0
1568966940000,1.0,1.0,1.0,1.0,3966.19,1568967119999,3966.19,13,3966.19,3966.19,0
1568967120000,1.0,1.0,0.999,0.999,815.97,1568967299999,815.65403,3,500.0,500.0,0
1568967300000,1.0,1.0,1.0,1.0,96.57,1568967479999,96.57,3,96.57,96.57,0
1568967480000,1.0,1.0,0.9991,1.0,11011.06,1568967659999,11010.885706,4,10817.4,10817.4,0
1568967660000,1.0,1.0,1.0,1.0,488.79,1568967839999,488.79,5,488.79,488.79,0
1568967840000,1.0,1.0,0.999,0.999,754.65,1568968019999,753.999877,4,38.72,38.72,0
1568968020000,0.999,0.999,0.999,0.999,8495.61,1568968199999,8487.11439,1,0.0,0.0,0
1568968200000,1.0,1.0,1.0,1.0,36.95,1568968379999,36.95,1,36.95,36.95,0
1568968380000,1.0,1.0,1.0,1.0,0.0,1568968559999,0.0,0,0.0,0.0,0
1568968560000,1.0,1.0,1.0,1.0,1215.0,1568968739999,1215.0,2,1215.0,1215.0,0
1568968740000,1.0,1.0,1.0,1.0,102.29,1568968919999,102.29,2,102.29,102.29,0
1568968920000,1.0,1.0,1.0,1.0,0.0,1568969099999,0.0,0,0.0,0.0,0
1568969100000,1.0,1.0,0.9991,0.9991,389.83,1568969279999,389.489407,11,22.54,22.529968,0
1568969280000,0.9991,0.9992,0.9991,0.9991,1634.83,1568969459999,1633.366852,42,7.47,7.464024,0
1568969460000,0.9991,0.9991,0.9991,0.9991,338.57,1568969639999,338.265287,5,0.0,0.0,0
1568969640000,1.0,1.0,1.0,1.0,4000.0,1568969819999,4000.0,1,4000.0,4000.0,0
1568969820000,1.0,1.0,1.0,1.0,0.0,1568969999999,0.0,0,0.0,0.0,0
1568970000000,1.0,1.0,0.9991,1.0,1387.58,1568970179999,1387.497974,5,1296.44,1296.44,0
1568970180000,1.0,1.0,1.0,1.0,328.31,1568970359999,328.31,2,328.31,328.31,0
1568970360000,1.0,1.0,1.0,1.0,0.0,1568970539999,0.0,0,0.0,0.0,0
1568970540000,1.0,1.0,1.0,1.0,0.0,1568970719999,0.0,0,0.0,0.0,0
1568970720000,0.9991,1.0,0.9991,1.0,427.47,1568970899999,427.385922,4,334.05,334.05,0
1568970900000,1.0,1.0,1.0,1.0,30.55,1568971079999,30.55,1,30.55,30.55,0
1568971080000,1.0,1.0,1.0,1.0,0.0,1568971259999,0.0,0,0.0,0.0,0
1568971260000,0.9999,0.9999,0.9999,0.9999,205.89,1568971439999,205.869411,1,205.89,205.869411,0
1568971440000,0.9993,0.9993,0.9992,0.9992,30.51,1568971619999,30.486692,2,0.0,0.0,0
1568971620000,0.9992,0.9992,0.9992,0.9992,131.67,1568971799999,131.564664,4,0.0,0.0,0
