open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609430400000,0.9996,0.9996,0.9986,0.9987,74962963.62,1609459199999,74894600.012099,73577,27814489.09,27790993.355233,0
1609459200000,0.9987,0.9987,0.9982,0.9982,74675012.66,1609487999999,74550697.43951,85697,24847349.03,24807416.703135,0
1609488000000,0.9982,0.9983,0.9973,0.9978,99596428.6,1609516799999,99387314.843088,96905,37399524.7,37321527.93585,0
1609516800000,0.9977,0.9981,0.9971,0.9973,72348674.54,1609545599999,72178224.039325,92116,33992570.16,33912747.342125,0
1609545600000,0.9973,0.9976,0.9969,0.9976,84401424.97,1609574399999,84177702.944965,81353,34159455.39,34069657.198484,0
1609574400000,0.9975,0.9988,0.9974,0.9979,139531806.3,1609603199999,139275696.98764,117260,65781778.77,65661370.82098,0
1609603200000,0.9979,0.9995,0.9976,0.9989,184744952.86,1609631999999,184468361.191459,153635,85754169.03,85630557.383538,0
1609632000000,0.9989,0.9992,0.9987,0.9989,98525029.26,1609660799999,98427351.297624,96918,48596933.42,48549943.208109,0
1609660800000,0.9988,0.9992,0.9977,0.9986,150295912.82,1609689599999,150104132.310282,174630,76060012.68,75965535.373763,0
1609689600000,0.9985,1.0,0.9977,0.9979,172802273.36,1609718399999,172635485.661783,179360,86485664.53,86404572.760031,0
1609718400000,0.9979,0.9988,0.9914,0.998,191320762.02,1609747199999,190778802.084945,187025,85444632.1,85203984.899632,0
1609747200000,0.998,1.0003,0.9965,0.999,239803288.33,1609775999999,239691453.183429,212919,123672507.75,123618430.138027,0
1609776000000,0.999,0.9998,0.999,0.9993,95572288.92,1609804799999,95518683.375757,129493,49032273.58,49005712.058349,0
1609804800000,0.9993,0.9996,0.9986,0.9996,133631133.57,1609833599999,133517231.661979,158734,67727676.67,67673829.669404,0
1609833600000,0.9996,0.9997,0.9985,0.9985,94377925.6,1609862399999,94302922.102969,129440,34562168.25,34537827.691484,0
1609862400000,0.9986,0.9986,0.996,0.9969,115734995.04,1609891199999,115445670.343386,125554,44568490.36,44456390.711527,0
1609891200000,0.997,0.9986,0.9954,0.9971,134614553.5,1609919999999,134226897.176971,129079,54451400.37,54294450.294837,0
