open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1613714400000,9.55,30.0,9.55,19.599,208770.755,1613714579999,4009321.290167,7595,129592.26,2516064.947092,0
1613714580000,19.599,19.697,16.96,18.0,140015.623,1613714759999,2576114.566815,5902,58032.909,1078614.767263,0
1613714760000,18.0,19.0,17.881,18.001,73875.218,1613714939999,1354340.418906,4145,35036.796,645746.691114,0
1613714940000,18.001,19.2,17.12,17.699,68492.789,1613715119999,1237557.899645,2862,41881.439,763919.112387,0
1613715120000,17.591,17.699,17.3,17.5,36415.005,1613715299999,637944.756817,1994,18006.866,315591.076468,0
1613715300000,17.5,17.55,16.102,16.59,83218.006,1613715479999,1387273.477584,2703,55795.583,927331.360417,0
1613715480000,16.561,18.299,16.51,17.615,60293.116,1613715659999,1061271.14879,3170,29956.156,524217.584294,0
1613715660000,17.615,17.801,16.963,17.075,28038.705,1613715839999,488220.516242,2016,10711.233,187554.921791,0
1613715840000,17.075,17.25,16.79,16.982,28201.812,1613716019999,477361.638168,1567,14225.397,241221.948878,0
1613716020000,16.981,17.037,15.547,15.962,65899.657,1613716199999,1083881.909791,2377,23292.372,381308.102441,0
1613716200000,15.9,16.762,15.51,16.472,55337.783,1613716379999,889384.315411,2527,34247.168,551245.111937,0
1613716380000,16.607,16.9,16.5,16.9,24652.01,1613716559999,410696.165281,1204,13332.91,222508.429415,0
1613716560000,16.9,17.0,16.589,16.6,22275.105,1613716739999,375188.873168,1300,10174.975,171764.122988,0
1613716740000,16.597,17.324,16.5,16.685,38525.459,1613716919999,640604.634688,1269,29161.256,485822.060186,0
1613716920000,16.771,17.65,16.674,17.65,32616.729,1613717099999,560882.111034,1515,21622.523,371949.136505,0
1613717100000,17.65,18.0,17.5,17.6,41202.368,1613717279999,726492.238433,1919,16023.402,283831.007598,0
1613717280000,17.551,17.664,16.65,16.844,34704.106,1613717459999,591336.962109,2189,13653.782,232201.58608,0
1613717460000,16.82,17.0,16.2,17.0,25526.897,1613717639999,423686.090841,1574,8418.876,139773.800506,0
1613717640000,16.999,17.22,16.767,16.8,18793.175,1613717819999,317779.747919,1113,10110.361,171412.253165,0
1613717820000,16.808,17.141,16.774,16.999,14589.073,1613717999999,247720.104484,1094,6621.524,112343.098265,0
1613718000000,17.01,17.097,16.321,16.67,25951.877,1613718179999,434001.051126,1281,12605.092,210839.951684,0
1613718180000,16.67,17.05,16.625,17.0,18245.776,1613718359999,308507.288122,775,6736.666,113837.002324,0
1613718360000,17.0,17.35,16.963,17.348,20517.161,1613718539999,352151.78517,1010,10210.604,175055.265216,0
1613718540000,17.345,18.2,17.289,17.902,52801.423,1613718719999,937613.447279,2366,36151.553,643003.438974,0
1613718720000,17.902,18.514,17.872,18.277,69113.567,1613718899999,1256012.965172,2700,37495.952,683390.065343,0
1613718900000,18.282,18.3,17.76,18.061,52914.386,1613719079999,956306.28331,2472,20489.094,370709.540779,0
1613719080000,18.112,18.14,17.813,17.913,24076.051,1613719259999,433522.154928,1190,12196.482,219699.523276,0
1613719260000,17.916,18.2,17.915,18.173,24132.272,1613719439999,435950.354818,1275,13235.431,239293.401838,0
1613719440000,18.13,18.5,18.13,18.402,21151.766,1613719619999,387355.302186,1274,13053.908,239297.645992,0
1613719620000,18.467,19.0,18.406,18.95,54353.499,1613719799999,1018499.020271,2281,28629.882,537110.682203,0
1613719800000,18.953,19.6,18.171,18.5,109912.674,1613719979999,2093949.743821,3774,56221.572,1075152.016432,0
1613719980000,18.587,19.6,18.5,19.398,89261.309,1613720159999,1715920.81111,3521,53934.478,1035253.914544,0
1613720160000,19.398,19.5,19.0,19.024,60038.334,1613720339999,1156444.265952,2682,20521.982,395565.445584,0
1613720340000,19.032,19.227,18.6,18.69,36976.232,1613720519999,703597.490946,1967,16354.25,311825.099689,0
1613720520000,18.664,18.698,17.79,18.344,92052.856,1613720699999,1670615.101784,3637,30307.364,550272.570207,0
1613720700000,18.344,18.738,18.038,18.066,55005.636,1613720879999,1015840.24629,2591,26318.88,487409.754322,0
1613720880000,18.179,18.417,17.54,17.615,57527.158,1613721059999,1028445.549413,2787,19581.531,351038.568939,0
1613721060000,17.692,17.734,17.302,17.382,55490.953,1613721239999,970063.013224,1950,13526.865,236896.140837,0
1613721240000,17.381,17.769,17.359,17.405,77965.508,1613721419999,1365960.379387,2357,43687.218,766153.708143,0
1613721420000,17.432,17.746,17.165,17.64,42714.914,1613721599999,742615.582942,1759,27830.635,483995.883354,0
1613721600000,17.647,18.388,17.556,17.875,79459.598,1613721779999,1431232.320406,2941,45679.619,822904.379392,0
1613721780000,17.876,18.148,17.815,17.949,28169.989,1613721959999,507655.823611,1546,11572.298,208719.732729,0
1613721960000,17.949,18.0,17.531,17.851,29186.753,1613722139999,521767.571245,1540,10482.847,187639.181932,0
1613722140000,17.897,18.1,17.525,18.1,29107.037,1613722319999,521516.225657,1307,14133.419,253693.190131,0
1613722320000,18.025,18.507,18.0,18.475,66840.686,1613722499999,1222120.058089,2072,29238.803,534281.398023,0
1613722500000,18.473,18.606,17.943,18.026,33742.63,1613722679999,616108.420286,2049,13851.893,253761.195604,0
1613722680000,18.019,18.515,17.944,18.11,31973.081,1613722859999,584456.732184,1623,17655.694,322527.770309,0
1613722860000,18.167,18.638,17.9,17.988,66833.909,1613723039999,1215240.271883,2046,19726.207,359846.118812,0
1613723040000,17.919,18.201,17.7,18.0,27706.641,1613723219999,496828.994651,1524,14478.934,260131.378059,0
1613723220000,17.997,18.435,17.987,18.299,46376.856,1613723399999,846600.368708,1793,18003.977,328515.800437,0
1613723400000,18.299,18.777,18.24,18.359,57639.535,1613723579999,1067189.112927,2180,17322.783,320973.898444,0
1613723580000,18.375,18.411,18.114,18.266,17545.853,1613723759999,320727.32448,1390,6631.883,121426.366988,0
1613723760000,18.25,18.3,18.187,18.3,9066.964,1613723939999,165404.043798,757,4345.905,79363.955597,0
1613723940000,18.254,18.5,18.201,18.28,36400.985,1613724119999,666239.098568,1295,9157.764,167993.431902,0
1613724120000,18.255,18.369,18.201,18.232,9881.617,1613724299999,180394.743756,887,3904.78,71446.696462,0
1613724300000,18.23,18.3,18.075,18.149,12950.219,1613724479999,235555.563614,1111,4605.424,83937.557114,0
1613724480000,18.104,18.15,17.602,17.699,26425.257,1613724659999,473180.443222,1961,8822.388,158115.054628,0
1613724660000,17.65,17.8,17.433,17.501,41891.305,1613724839999,737730.032124,1801,8457.769,149235.380851,0
1613724840000,17.558,17.562,17.3,17.328,20525.744,1613725019999,357688.723604,1169,10818.935,188639.127115,0
1613725020000,17.328,17.614,17.15,17.577,56049.243,1613725199999,973274.709644,1750,25437.074,441534.22871,0
1613725200000,17.5,17.858,17.223,17.668,41043.144,1613725379999,723646.067822,1682,20259.385,357954.704176,0
1613725380000,17.7,17.855,17.49,17.577,48175.589,1613725559999,848122.723512,1163,31366.848,551505.507279,0
1613725560000,17.557,17.78,17.501,17.581,18435.626,1613725739999,324546.720704,750,7748.149,136562.013239,0
1613725740000,17.55,17.6,17.001,17.072,25344.654,1613725919999,438208.319737,1206,7350.575,127481.837563,0
1613725920000,17.072,17.965,17.0,17.007,49724.009,1613726099999,852799.237857,2267,20784.578,359802.910816,0
1613726100000,17.05,17.3,17.003,17.3,23898.633,1613726279999,409869.732466,1284,9076.232,155752.110866,0
1613726280000,17.3,17.35,16.694,16.9,35839.992,1613726459999,607591.704029,1703,15031.18,254983.284068,0
1613726460000,16.895,17.188,16.85,17.05,12525.112,1613726639999,212803.532313,839,8516.106,144736.933133,0
1613726640000,17.049,17.159,16.9,16.947,14638.184,1613726819999,249281.94207,775,4945.236,84404.33035,0
1613726820000,16.947,17.277,16.791,17.209,15012.907,1613726999999,255966.432568,955,8747.988,149451.256085,0
1613727000000,17.214,17.415,17.147,17.315,14585.176,1613727179999,251456.659194,784,7328.063,126720.534547,0
1613727180000,17.314,17.5,17.26,17.499,22394.187,1613727359999,389972.270327,919,9561.518,166675.35411,0
1613727360000,17.451,17.54,17.3,17.3,16383.437,1613727539999,286144.955829,904,6769.02,118373.191561,0
1613727540000,17.402,17.402,17.187,17.223,10301.124,1613727719999,177694.159398,784,3993.123,68996.839124,0
1613727720000,17.223,17.267,17.0,17.017,11479.574,1613727899999,196733.376627,829,3793.074,65099.621929,0
1613727900000,17.041,17.082,16.901,16.935,18809.986,1613728079999,319249.580547,958,8689.793,147532.485048,0
1613728080000,16.936,17.152,16.924,17.08,13394.612,1613728259999,228452.248779,930,6612.356,112786.824124,0
1613728260000,17.099,17.1,17.006,17.048,10956.397,1613728439999,186759.368038,692,6351.52,108328.364308,0
1613728440000,17.058,17.098,17.006,17.006,17786.125,1613728619999,302640.926061,533,5847.641,99587.142147,0
1613728620000,17.006,17.02,16.63,16.707,18202.435,1613728799999,307221.364199,1263,4992.147,84252.306552,0
1613728800000,16.704,16.72,16.5,16.6,44623.33,1613728979999,739793.056858,1685,20303.174,336946.503968,0
1613728980000,16.6,17.05,16.5,16.746,29497.518,1613729159999,490556.798025,1344,13028.018,217604.241667,0
1613729160000,16.77,16.974,16.708,16.901,18192.346,1613729339999,306930.735579,1035,7337.979,123904.490237,0
1613729340000,16.902,17.6,16.9,17.149,36222.269,1613729519999,619781.980234,1617,18625.447,320511.170479,0
1613729520000,17.156,17.5,17.02,17.179,19544.33,1613729699999,335232.0217,1345,12026.622,206537.337272,0
1613729700000,17.198,17.645,17.153,17.559,27826.782,1613729879999,486301.551311,1863,13383.794,234235.718997,0
1613729880000,17.571,17.65,17.5,17.647,37091.68,1613730059999,651379.709754,794,21754.006,382651.212781,0
1613730060000,17.644,17.65,17.5,17.537,27022.076,1613730239999,473548.920392,1126,6828.935,119924.583894,0
1613730240000,17.5,17.55,17.5,17.544,33479.107,1613730419999,586294.80791,655,9483.875,166282.528756,0
1613730420000,17.54,17.6,17.5,17.53,22001.622,1613730599999,386367.221468,829,8581.636,150901.2391,0
1613730600000,17.532,17.59,17.5,17.535,30034.335,1613730779999,525827.011361,640,5211.065,91349.828582,0
1613730780000,17.535,17.75,17.5,17.515,11139.083,1613730959999,195480.362484,502,7730.198,135807.346987,0
1613730960000,17.516,17.655,17.5,17.512,26898.755,1613731139999,471175.913976,567,4129.626,72440.629575,0
1613731140000,17.512,17.536,17.186,17.307,34755.288,1613731319999,606872.062177,1159,5228.57,90995.21576,0
1613731320000,17.307,17.349,17.2,17.232,8189.954,1613731499999,141510.697833,478,2043.704,35361.940614,0
1613731500000,17.232,17.277,16.965,17.049,17096.999,1613731679999,291424.896567,866,6797.501,115897.948124,0
1613731680000,17.048,17.25,16.988,17.168,10985.551,1613731859999,188171.970741,607,7319.095,125486.804497,0
1613731860000,17.222,17.425,17.181,17.423,10845.318,1613732039999,187615.757345,433,8007.792,138631.282655,0
1613732040000,17.42,17.549,17.387,17.49,9723.833,1613732219999,170039.944707,470,7087.311,124008.32355,0
1613732220000,17.49,17.55,17.141,17.536,16426.068,1613732399999,286803.361508,826,11861.776,207479.631726,0
1613732400000,17.55,18.0,17.537,17.879,39506.981,1613732579999,702271.903026,1284,29761.857,529373.096505,0
1613732580000,17.88,18.014,17.705,17.902,61306.362,1613732759999,1099773.64705,1905,27975.667,502805.450472,0
1613732760000,17.918,18.001,17.557,17.955,28690.327,1613732939999,510521.967494,1508,16132.72,287747.446948,0
1613732940000,17.956,18.005,17.693,17.844,14768.236,1613733119999,263263.662093,860,8398.524,149968.450115,0
1613733120000,17.844,18.199,17.74,18.198,20022.652,1613733299999,360501.856308,1166,10477.755,188948.1589,0
1613733300000,18.195,18.199,17.782,17.92,21197.3,1613733479999,383110.483829,907,10505.856,190060.696325,0
1613733480000,17.872,18.1,17.694,17.857,22867.692,1613733659999,408363.632193,1091,14910.934,266610.555083,0
1613733660000,17.875,18.178,17.753,17.8,26011.087,1613733839999,466387.64385,1478,16078.966,288942.611686,0
1613733840000,17.775,17.9,17.727,17.795,11121.758,1613734019999,197879.567379,637,6426.647,114455.188188,0
1613734020000,17.769,17.852,17.729,17.786,7731.705,1613734199999,137554.934928,553,3013.596,53674.114194,0
1613734200000,17.786,17.877,17.777,17.859,15681.143,1613734379999,279546.152223,591,5082.036,90683.667187,0
1613734380000,17.862,18.05,17.753,18.004,15121.976,1613734559999,271325.026946,687,6887.265,123605.06677,0
1613734560000,18.05,18.08,18.0,18.029,34754.205,1613734739999,626012.291671,939,5546.705,100064.425846,0
1613734740000,18.06,18.141,17.918,17.92,24767.307,1613734919999,446557.272425,970,6057.402,109400.188827,0
1613734920000,17.998,17.999,17.752,17.9,7801.893,1613735099999,139614.467691,573,5892.815,105521.109013,0
1613735100000,17.9,17.9,17.65,17.652,8563.109,1613735279999,152085.853496,547,3164.778,56253.014437,0
1613735280000,17.699,17.82,17.531,17.82,10293.151,1613735459999,181678.85366,767,5549.978,98094.986194,0
1613735460000,17.794,17.9,17.51,17.696,24182.43,1613735639999,427535.815182,749,15629.816,276034.872902,0
1613735640000,17.62,17.8,17.45,17.787,17813.131,1613735819999,313633.352014,941,9993.462,176294.945333,0
1613735820000,17.734,17.8,17.6,17.751,6679.021,1613735999999,118368.838132,416,3503.449,62209.312388,0
1613736000000,17.753,17.941,17.75,17.874,7976.615,1613736179999,142431.633781,473,3838.358,68506.733907,0
1613736180000,17.872,17.88,17.625,17.643,5636.909,1613736359999,100452.517704,672,2921.149,52129.338406,0
1613736360000,17.739,17.816,17.52,17.586,8322.32,1613736539999,146370.223536,627,2381.6,42013.931232,0
1613736540000,17.586,17.989,17.522,17.676,12440.991,1613736719999,220427.645044,880,8203.135,145683.98931,0
1613736720000,17.676,17.677,17.52,17.58,7802.779,1613736899999,137321.74147,518,2838.856,50009.318984,0
1613736900000,17.586,17.8,17.52,17.789,6510.317,1613737079999,115292.51222,527,4284.045,75987.773898,0
1613737080000,17.789,17.93,17.5,17.723,17243.081,1613737259999,305484.887866,975,4534.73,80713.853601,0
