open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,11.74,11.98,11.72,11.88,506851.87,1641038399999,6029367.2086,12999,260620.75,3100480.7157,0
1641038400000,11.88,12.09,11.87,12.04,486041.16,1641081599999,5830456.6086,14553,242216.44,2906048.9835,0
1641081600000,12.05,12.07,11.8,12.0,356105.18,1641124799999,4249279.8352,12669,177626.28,2120096.6337,0
1641124800000,11.99,12.6,11.93,12.34,986554.71,1641167999999,12166017.5895,44614,479351.72,5906210.3053,0
1641168000000,12.34,12.42,12.11,12.37,526279.52,1641211199999,6448983.5923,17557,247675.05,3036267.3462,0
1641211200000,12.37,12.57,12.01,12.14,1024963.45,1641254399999,12554497.157,33552,441320.79,5411885.9673,0
1641254400000,12.14,12.22,11.87,12.2,631244.69,1641297599999,7588961.5691,19949,282259.06,3394446.8715,0
1641297600000,12.22,12.33,11.95,12.01,1120014.16,1641340799999,13641272.5842,32207,559689.13,6814305.3019,0
1641340800000,12.02,12.2,11.94,12.03,641531.99,1641383999999,7744307.8333,19232,293106.33,3539579.9958,0
1641384000000,12.03,12.05,11.0,11.28,1792191.8,1641427199999,20770096.3019,53279,804572.02,9338979.699,0
1641427200000,11.26,11.46,10.77,10.83,1375766.13,1641470399999,15302742.522,37302,609837.04,6780832.9259,0
1641470400000,10.84,11.21,10.75,11.08,837182.99,1641513599999,9233762.2508,22927,436288.14,4812673.614,0
1641513600000,11.07,11.1,10.21,10.62,1459233.78,1641556799999,15419412.0337,41338,667496.19,7057365.2907,0
1641556800000,10.62,10.68,10.11,10.44,1323527.73,1641599999999,13808068.2818,32884,608419.21,6347880.5794,0
1641600000000,10.44,11.15,10.42,10.8,950400.31,1641643199999,10156626.7814,24510,472789.53,5053302.4942,0
1641643200000,10.81,10.88,10.02,10.22,1596549.47,1641686399999,16568930.6719,37149,655605.2,6803561.7337,0
1641686400000,10.22,10.48,10.13,10.48,583069.74,1641729599999,6024925.9835,14584,300624.28,3106426.9557,0
1641729600000,10.48,10.97,10.33,10.75,943699.52,1641772799999,10091335.2062,28424,490854.5,5249479.016,0
1641772800000,10.75,10.94,10.55,10.58,641827.75,1641815999999,6919984.1333,17098,337338.01,3639267.7038,0
1641816000000,10.59,10.59,10.0,10.38,1647777.48,1641859199999,16926400.3408,44278,773397.72,7945100.978,0
1641859200000,10.38,11.04,10.27,10.8,974805.94,1641902399999,10452645.3348,30251,529750.56,5676692.9869,0
1641902400000,10.8,11.14,10.64,10.9,1100861.16,1641945599999,12017028.3507,32920,541967.21,5917392.1895,0
1641945600000,10.9,11.0,10.66,10.97,940129.31,1641988799999,10192300.1085,25005,490540.75,5318970.7636,0
1641988800000,10.97,11.36,10.93,11.32,1077562.73,1642031999999,12106789.665,34385,576685.03,6478784.6919,0
1642032000000,11.32,11.38,10.97,11.01,893162.03,1642075199999,9971437.8225,27578,442952.93,4948588.9584,0
1642075200000,11.01,11.25,10.75,10.91,1033385.0,1642118399999,11350942.6698,29378,508575.2,5582076.4927,0
1642118400000,10.91,11.26,10.81,10.89,678949.29,1642161599999,7494791.5748,24631,333071.47,3679428.352,0
1642161600000,10.89,11.4,10.81,11.29,851775.33,1642204799999,9483771.5035,28044,452358.79,5038094.4468,0
1642204800000,11.3,11.65,11.2,11.5,875195.36,1642247999999,10016720.4455,33286,435529.1,4982101.2012,0
1642248000000,11.49,11.91,11.38,11.72,1014230.77,1642291199999,11863965.7874,36065,493517.71,5760080.5015,0
1642291200000,11.73,11.95,11.61,11.86,740380.14,1642334399999,8729451.451,24823,367666.49,4336546.4107,0
1642334400000,11.86,12.18,11.77,12.05,1021373.25,1642377599999,12275112.4763,39301,525338.97,6312197.1256,0
1642377600000,12.04,12.13,11.53,11.64,1153919.13,1642420799999,13626311.2796,47612,554362.65,6545613.6715,0
1642420800000,11.65,11.68,11.05,11.28,1478890.83,1642463999999,16650920.2929,38288,777411.77,8744536.8592,0
1642464000000,11.28,11.42,10.73,10.91,942279.03,1642507199999,10430136.3937,30268,438369.75,4847466.2648,0
1642507200000,10.91,11.14,10.53,10.9,1264485.26,1642550399999,13583257.774,33491,630799.22,6779784.5245,0
1642550400000,10.91,10.91,10.25,10.6,926505.35,1642593599999,9812273.9457,25148,436248.31,4628822.2398,0
1642593600000,10.59,10.83,10.56,10.57,716757.17,1642636799999,7676822.7621,19615,349969.14,3747933.256,0
1642636800000,10.58,11.0,10.56,10.77,1104292.37,1642679999999,11898094.664,26213,600203.32,6472473.0066,0
1642680000000,10.76,11.1,10.23,10.27,1213779.55,1642723199999,13010093.4193,38490,527087.45,5663962.3504,0
1642723200000,10.26,10.39,10.0,10.05,1725356.49,1642766399999,17508933.2883,37368,713340.41,7243915.4432,0
1642766400000,10.06,10.07,8.72,8.92,3113354.578,1642809599999,29559056.711388,73065,1399709.828,13275125.74938,0
1642809600000,8.93,9.06,6.81,7.46,6733579.546,1642852799999,51531781.374798,107822,3071214.679,23416986.44324,0
1642852800000,7.46,8.05,7.25,7.52,2753345.29,1642895999999,20869749.5193,54755,1364761.26,10353545.7204,0
1642896000000,7.53,8.67,7.47,8.15,2114569.2,1642939199999,17067813.7376,41679,1095475.85,8840425.4042,0
1642939200000,8.14,8.29,7.7,8.17,1538683.31,1642982399999,12231902.1057,32553,772646.18,6147553.9493,0
1642982400000,8.17,8.17,6.94,7.07,2293920.22,1643025599999,17189469.759,40612,1095181.0,8261666.5074,0
1643025600000,7.07,7.84,6.81,7.63,3347219.5,1643068799999,24131968.7739,56287,1692831.54,12182356.8659,0
1643068800000,7.63,7.66,7.24,7.58,1116961.7,1643111999999,8327311.3845,21450,534092.03,3982365.2825,0
1643112000000,7.59,7.88,7.38,7.66,1402996.41,1643155199999,10706194.1675,27516,700512.57,5349070.2326,0
1643155200000,7.66,7.87,7.51,7.85,1094515.66,1643198399999,8412683.2698,21508,532253.04,4092400.2464,0
1643198400000,7.86,8.03,7.23,7.46,2682727.49,1643241599999,20674887.41,50687,1339145.38,10326965.044,0
1643241600000,7.46,7.53,7.03,7.27,1500450.57,1643284799999,10858633.9654,26064,632854.92,4574614.2949,0
1643284800000,7.26,7.42,6.86,7.2,2413296.72,1643327999999,17194379.8762,40013,1115421.75,7956775.0925,0
1643328000000,7.2,7.3,6.94,7.0,1651699.68,1643371199999,11726232.6581,27298,848741.88,6030660.5267,0
1643371200000,7.0,7.22,6.87,7.14,1789807.07,1643414399999,12627088.0678,28790,860118.99,6076290.8107,0
1643414400000,7.15,7.39,7.07,7.26,867416.5,1643457599999,6267067.6641,19327,472252.73,3410564.5702,0
1643457600000,7.26,7.42,7.1,7.23,1082688.13,1643500799999,7835670.2246,24462,522231.45,3781251.4304,0
1643500800000,7.24,7.57,7.14,7.5,1056192.29,1643543999999,7653484.0365,20096,582499.13,4223132.0709,0
1643544000000,7.49,7.63,7.28,7.39,1431288.75,1643587199999,10634248.7991,32825,761396.37,5661424.1391,0
1643587200000,7.39,7.41,7.08,7.31,996803.57,1643630399999,7223165.1804,19741,481550.56,3493246.6011,0
1643630400000,7.32,7.6,7.22,7.39,1260119.35,1643673599999,9387203.1246,25052,641845.22,4784961.7722,0
1643673600000,7.39,7.72,7.37,7.67,1068169.29,1643716799999,8098462.1721,25274,542210.24,4109698.9962,0
1643716800000,7.66,7.78,7.55,7.69,1030581.41,1643759999999,7917550.1683,21791,541573.92,4161807.1141,0
1643760000000,7.69,7.72,7.56,7.62,582742.63,1643803199999,4450583.6185,11384,271032.72,2071069.4745,0
1643803200000,7.63,7.7,7.2,7.24,1493576.12,1643846399999,11056850.6226,25028,698500.92,5170840.4858,0
1643846400000,7.24,7.29,7.0,7.12,938666.54,1643889599999,6721596.6642,16125,444791.66,3185572.367,0
1643889600000,7.11,7.26,7.03,7.24,918730.51,1643932799999,6565144.7617,19603,443617.36,3170754.6713,0
1643932800000,7.25,7.41,7.16,7.35,710666.16,1643975999999,5185860.3736,13182,367974.97,2686315.8234,0
1643976000000,7.35,7.87,7.23,7.84,1666166.61,1644019199999,12673110.51,36230,855562.14,6511471.2036,0
1644019200000,7.85,8.33,7.74,7.96,2126343.64,1644062399999,17042686.8197,50736,1097890.23,8805447.655,0
1644062400000,7.95,8.1,7.76,7.91,1264056.06,1644105599999,10054144.3272,25547,612009.67,4870881.2387,0
1644105600000,7.91,8.11,7.88,8.05,973754.72,1644148799999,7788163.9802,19370,512136.43,4096530.1237,0
1644148800000,8.05,8.37,7.82,8.26,1261971.25,1644191999999,10134076.0478,35136,622326.26,5006719.9049,0
1644192000000,8.26,8.43,8.07,8.29,1507500.1,1644235199999,12468021.5335,32631,802406.7,6639790.4676,0
1644235200000,8.3,8.58,8.26,8.49,1573894.25,1644278399999,13342694.0364,37420,808533.28,6854384.9491,0
1644278400000,8.48,8.72,8.09,8.24,1597273.64,1644321599999,13471328.844,46071,775255.54,6545185.4727,0
1644321600000,8.23,8.24,7.82,7.96,1738508.62,1644364799999,13893706.2341,32197,780511.96,6237511.7954,0
1644364800000,7.97,8.23,7.94,8.22,1169537.87,1644407999999,9439579.2971,21122,606431.05,4896396.1849,0
1644408000000,8.22,8.4,8.16,8.21,1317050.63,1644451199999,10906006.05,28322,644185.97,5333659.0324,0
1644451200000,8.2,8.41,8.08,8.33,967451.35,1644494399999,7957563.626,20834,503012.73,4141545.5616,0
1644494400000,8.34,8.46,7.93,8.06,1955859.21,1644537599999,16030573.251,43491,931540.56,7640135.2546,0
1644537600000,8.05,8.2,7.96,8.07,918920.89,1644580799999,7417094.179,17868,425647.41,3438545.4798,0
1644580800000,8.08,8.3,7.64,7.76,1456977.04,1644623999999,11644326.7997,33401,675530.47,5408013.9149,0
1644624000000,7.76,7.92,7.65,7.82,925847.22,1644667199999,7217372.183,18072,443290.11,3455549.8448,0
1644667200000,7.83,7.89,7.68,7.81,688868.87,1644710399999,5366167.1217,12513,350295.52,2730583.5385,0
1644710400000,7.82,7.97,7.75,7.89,506680.83,1644753599999,3985502.2734,9561,268094.06,2108721.08,0
1644753600000,7.88,8.19,7.77,8.01,948800.34,1644796799999,7522664.9511,21870,482339.04,3827267.3188,0
1644796800000,8.0,8.03,7.79,7.86,925966.58,1644839999999,7308831.6692,18095,439825.52,3474179.637,0
1644840000000,7.87,8.07,7.85,8.03,793505.91,1644883199999,6338896.5208,15917,393197.66,3142417.8639,0
1644883200000,8.03,8.59,8.0,8.32,1402856.94,1644926399999,11625650.0966,38016,766062.31,6351331.3754,0
1644926400000,8.31,8.38,8.14,8.31,798708.86,1644969599999,6610731.2424,17759,379475.49,3142173.3305,0
1644969600000,8.31,8.32,8.18,8.25,632003.89,1645012799999,5218054.1155,11656,338862.38,2799171.1283,0
1645012800000,8.25,8.27,8.08,8.22,791142.55,1645055999999,6471349.6096,16532,372466.45,3047999.168,0
1645056000000,8.22,8.3,8.11,8.21,646035.59,1645099199999,5311528.4605,13837,331358.26,2725471.8319,0
1645099200000,8.2,8.23,7.76,7.84,969191.46,1645142399999,7721295.2621,23317,429855.66,3424964.2923,0
1645142400000,7.84,8.04,7.75,7.8,687241.47,1645185599999,5428640.922,15645,328374.8,2595042.8465,0
1645185600000,7.8,8.0,7.63,7.71,987097.11,1645228799999,7663669.1506,21625,477937.08,3711821.026,0
1645228800000,7.72,7.86,7.55,7.57,802382.02,1645271999999,6211295.0631,14534,372489.15,2883534.5784,0
1645272000000,7.58,7.79,7.46,7.77,671134.52,1645315199999,5114605.6539,15168,331274.3,2526528.7509,0
1645315200000,7.76,7.77,7.29,7.38,911671.36,1645358399999,6795739.971,17575,418283.55,3114836.0018,0
1645358400000,7.38,7.47,7.26,7.35,605588.64,1645401599999,4462322.2269,13178,294558.6,2171302.9244,0
1645401600000,7.35,7.78,7.2,7.22,1162492.93,1645444799999,8768974.1922,25444,588049.37,4439333.1132,0
1645444800000,7.23,7.4,6.85,6.87,1650651.18,1645487999999,11803714.5889,35129,707871.64,5070684.4552,0
1645488000000,6.87,7.01,6.66,6.94,1379216.927,1645531199999,9444891.91252,29868,675324.69,4628029.209,0
1645531200000,6.94,7.2,6.88,7.18,1007111.56,1645574399999,7068208.2472,24276,488872.11,3433362.4107,0
1645574400000,7.17,7.23,6.99,7.14,906378.89,1645617599999,6452024.4988,17707,466547.56,3323038.1398,0
1645617600000,7.14,7.25,6.81,6.83,1049333.65,1645660799999,7396524.2994,24523,484778.29,3424191.9004,0
1645660800000,6.83,6.88,5.57,5.82,3763451.248,1645703999999,22754935.274814,67376,1651930.91,9976834.4083,0
1645704000000,5.82,6.52,5.7,6.31,2031569.31,1645747199999,12372868.081,44904,1037245.12,6317532.375,0
1645747200000,6.31,6.45,6.26,6.39,840366.34,1645790399999,5339463.1567,21124,424428.12,2697435.0064,0
1645790400000,6.4,6.68,6.39,6.61,1102395.36,1645833599999,7173648.7113,26277,565011.59,3677008.5654,0
1645833600000,6.61,6.8,6.46,6.49,932991.88,1645876799999,6173729.7475,19875,471984.33,3126060.1298,0
1645876800000,6.48,6.57,6.42,6.49,750096.99,1645919999999,4869485.4197,15104,400636.28,2601801.0849,0
1645920000000,6.5,6.63,6.31,6.63,703388.43,1645963199999,4549460.5972,15425,370911.31,2402134.1855,0
1645963200000,6.63,6.71,6.15,6.21,1228459.85,1646006399999,7898180.0109,25745,619431.72,3989597.2759,0
1646006400000,6.22,6.47,6.15,6.4,883221.46,1646049599999,5603192.101,17450,459703.18,2917983.6972,0
1646049600000,6.4,6.86,6.31,6.85,1298523.08,1646092799999,8592572.4526,31211,682177.06,4515279.3615,0
1646092800000,6.85,7.12,6.66,6.85,1623973.64,1646135999999,11173833.2749,37481,826349.18,5692073.4504,0
1646136000000,6.84,7.01,6.69,6.77,1859388.15,1646179199999,12660992.393,32004,969309.24,6596538.4059,0
1646179200000,6.77,6.79,6.61,6.73,1124384.82,1646222399999,7532605.7246,21332,554755.05,3717033.9331,0
1646222400000,6.73,6.91,6.67,6.83,1327822.77,1646265599999,9003095.7727,26657,629418.58,4265076.9023,0
1646265600000,6.83,6.9,6.7,6.75,806120.64,1646308799999,5470218.6819,15126,391593.15,2656342.5624,0
1646308800000,6.76,6.83,6.49,6.58,991282.84,1646351999999,6565910.5113,19772,449989.2,2981706.7215,0
1646352000000,6.58,6.59,6.3,6.42,855744.7,1646395199999,5481517.9475,17697,385863.6,2472457.1225,0
1646395200000,6.42,6.44,5.9,5.99,1317978.64,1646438399999,8154180.0251,26858,560320.02,3472550.3218,0
1646438400000,5.99,6.14,5.87,6.11,715328.41,1646481599999,4292912.545,13297,356343.16,2140534.65,0
1646481600000,6.12,6.25,6.06,6.2,488899.25,1646524799999,3005311.4297,10790,238324.13,1465845.1113,0
1646524800000,6.2,6.26,6.0,6.05,651526.39,1646567999999,3989929.3441,12377,317776.66,1946913.2005,0
1646568000000,6.05,6.25,5.96,6.08,916595.24,1646611199999,5591325.3299,17202,485749.9,2964889.3782,0
1646611200000,6.09,6.1,5.89,6.02,872990.92,1646654399999,5237877.2986,16322,449250.17,2696550.0402,0
1646654400000,6.01,6.2,5.85,6.04,1143293.27,1646697599999,6913010.7922,25676,588437.74,3559691.0288,0
1646697600000,6.04,6.09,5.9,6.04,714707.61,1646740799999,4304215.7486,15079,368072.72,2217407.6155,0
1646740800000,6.05,6.09,5.92,5.98,823049.75,1646783999999,4939297.3615,16555,411859.29,2472791.6621,0
1646784000000,5.98,6.42,5.96,6.28,1618203.2,1646827199999,10023097.5319,29440,775526.13,4804011.1537,0
1646827200000,6.28,6.33,6.19,6.24,812110.32,1646870399999,5086682.5735,15537,404148.67,2532644.1781,0
1646870400000,6.23,6.27,5.94,6.02,991045.43,1646913599999,6004000.5239,18467,471429.04,2856693.7175,0
1646913600000,6.02,6.24,5.87,6.15,1514925.52,1646956799999,9117888.8043,26186,745357.03,4490884.9054,0
1646956800000,6.14,6.16,5.96,6.05,993333.01,1646999999999,5994976.8508,15272,524530.59,3170050.9987,0
1647000000000,6.05,6.12,5.86,5.92,1062829.37,1647043199999,6353306.5202,18235,539275.88,3224887.8175,0
1647043200000,5.92,6.05,5.89,6.0,444915.41,1647086399999,2658380.5717,10095,243812.64,1457377.0128,0
1647086400000,6.01,6.05,5.95,5.96,345164.1,1647129599999,2070102.8101,7424,187662.77,1126371.3381,0
1647129600000,5.96,6.0,5.86,5.87,525525.37,1647172799999,3112553.3699,10177,236285.95,1400772.6738,0
1647172800000,5.88,5.98,5.73,5.75,899224.41,1647215999999,5266542.3904,17955,443970.96,2605734.0634,0
1647216000000,5.74,5.91,5.7,5.74,780724.38,1647259199999,4529629.7044,13439,355524.82,2064900.708,0
1647259200000,5.73,5.79,5.55,5.73,1024112.38,1647302399999,5801027.0227,18397,477374.71,2705608.3131,0
1647302400000,5.73,5.75,5.35,5.36,1156282.661,1647345599999,6399694.557604,17729,478599.98,2651489.52617,0
1647345600000,5.37,5.57,5.31,5.51,1638513.4,1647388799999,8914334.5552,23801,835352.86,4544751.0357,0
1647388800000,5.5,5.63,5.3,5.56,1560997.39,1647431999999,8571039.5412,23513,739940.12,4069423.0168,0
1647432000000,5.55,5.63,5.35,5.59,2264508.44,1647475199999,12383956.7609,31063,1088802.95,5963470.4982,0
1647475200000,5.58,5.94,5.53,5.89,1995063.96,1647518399999,11355173.3406,27581,958800.92,5450390.2171,0
