open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672531200000,3.175,3.224,3.128,3.2,985057.83,1672790399999,3135076.06753,30011,492596.55,1568691.24689,0
1672790400000,3.2,3.326,3.189,3.315,1895014.3,1673049599999,6212607.95662,40013,962930.13,3157389.97595,0
1673049600000,3.315,3.507,3.283,3.383,2131688.82,1673308799999,7213942.64427,45397,1093823.78,3695210.4454,0
1673308800000,3.382,3.521,3.359,3.504,2383089.08,1673567999999,8196682.45355,53932,1202652.26,4138584.00242,0
1673568000000,3.504,3.931,3.466,3.728,4216236.14,1673827199999,15668140.07876,85620,2103625.8,7817231.98721,0
1673827200000,3.729,3.811,3.446,3.542,4392272.01,1674086399999,16185812.74279,78010,2314706.49,8522117.6194,0
1674086400000,3.541,3.88,3.523,3.743,4501959.65,1674345599999,16607499.56752,89808,2300493.69,8488114.71182,0
1674345600000,3.745,4.202,3.744,3.889,5561816.13,1674604799999,22074587.74202,117981,2798419.4,11107520.46842,0
1674604800000,3.889,4.048,3.81,4.022,3833410.04,1674863999999,15108688.67331,81766,1925466.97,7590034.37458,0
1674864000000,4.022,4.182,3.853,3.969,3533684.16,1675123199999,14267204.25628,69213,1758672.68,7105218.36157,0
1675123200000,3.971,4.321,3.926,4.145,4465197.26,1675382399999,18323914.67807,98344,2332247.45,9578919.31887,0
1675382400000,4.147,4.659,4.058,4.424,6466326.71,1675641599999,28359233.7079,140307,3294162.21,14447376.79135,0
1675641600000,4.424,4.719,4.301,4.69,6112704.54,1675900799999,27708640.61744,134654,3125229.2,14167803.5645,0
1675900800000,4.692,4.738,3.998,4.196,8309865.58,1676159999999,36626702.45106,188342,4262209.7,18789238.00077,0
1676160000000,4.196,4.304,3.793,3.961,4436660.2,1676419199999,17819904.63972,113109,2285388.41,9191161.32502,0
1676419200000,3.962,4.376,3.909,4.174,5882665.93,1676678399999,24076011.45029,139474,3058856.36,12508537.37361,0
1676678400000,4.175,4.302,4.133,4.223,3078309.18,1676937599999,12998261.43188,84634,1594049.93,6731650.48193,0
1676937600000,4.225,4.277,4.008,4.068,3298618.58,1677196799999,13628783.60562,89696,1647927.44,6811953.93868,0
1677196800000,4.068,4.121,3.886,4.053,2432105.86,1677455999999,9748909.31866,59457,1270297.15,5091567.62294,0
1677456000000,4.052,4.073,3.904,3.972,2015199.83,1677715199999,8009748.04004,54337,1014202.43,4030628.65864,0
1677715200000,3.97,3.984,3.715,3.803,1919243.22,1677974399999,7294177.49829,55129,967128.11,3673412.79094,0
1677974400000,3.803,3.846,3.694,3.751,1460206.46,1678233599999,5489220.38944,40591,725446.0,2727343.10493,0
1678233600000,3.75,3.8,3.414,3.563,2980898.78,1678492799999,10776984.35023,74941,1499301.05,5422983.32894,0
1678492800000,3.561,3.9,3.427,3.792,3925097.38,1678751999999,14456027.93585,93961,2094344.48,7728983.41858,0
1678752000000,3.793,3.952,3.662,3.834,4569603.23,1679011199999,17388233.72768,108944,2336188.96,8892569.1417,0
1679011200000,3.834,3.988,3.754,3.833,3911055.86,1679270399999,15134185.08353,86723,1934099.44,7484751.91515,0
1679270400000,3.835,3.89,3.653,3.708,2835983.68,1679529599999,10795484.02472,73495,1399201.49,5328048.04457,0
1679529600000,3.708,3.795,3.635,3.69,1928371.07,1679788799999,7160165.80315,45135,958551.76,3559319.39322,0
1679788800000,3.689,3.775,3.535,3.629,2220359.46,1680047999999,8110352.92765,53006,1103198.95,4032015.85609,0
1680048000000,3.628,3.741,3.607,3.704,2234166.74,1680307199999,8220849.70862,49491,1065339.22,3920342.1028,0
1680307200000,3.704,3.802,3.605,3.686,2935389.22,1680566399999,10950326.86817,58902,1427883.01,5326199.67187,0
1680566400000,3.686,4.0,3.632,3.662,5739858.74,1680825599999,21469932.34026,94077,2666923.29,9976510.86827,0
1680825600000,3.661,3.711,3.602,3.67,2154735.24,1681084799999,7876607.68505,43694,974991.66,3562271.56335,0
1681084800000,3.669,3.798,3.576,3.614,3807714.42,1681343999999,13995033.65154,74301,1928280.42,7091398.77591,0
1681344000000,3.615,3.694,3.542,3.64,7077030.63,1681603199999,25719096.56223,100228,3536287.71,12838962.36077,0
1681603200000,3.64,3.738,3.563,3.631,6345235.13,1681862399999,23103393.03704,89252,3062843.8,11164054.51534,0
1681862400000,3.63,3.654,3.301,3.347,7014494.48,1682121599999,24266874.84874,99792,3315745.95,11461395.23765,0
1682121600000,3.348,3.45,2.811,2.881,10926943.34,1682380799999,33474494.79065,156142,5197964.77,15988870.12848,0
1682380800000,2.881,2.909,2.545,2.629,30403925.19,1682639999999,81634991.18959,374249,14411475.35,38694204.90106,0
1682640000000,2.629,2.825,2.6,2.69,11123926.62,1682899199999,30310275.8563,130923,5386660.82,14694235.73658,0
