open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1616976000000,1.289,1.85,1.1,1.117,64500388.954,1617235199999,87689394.517741,318467,28425814.673,39036353.481455,0
1617235200000,1.118,1.191,1.001,1.029,31796223.005,1617494399999,34925478.510723,131956,14125332.774,15619257.439033,0
1617494400000,1.024,1.277,1.021,1.142,24620844.909,1617753599999,28884775.32044,109285,11479193.748,13471369.546476,0
1617753600000,1.142,1.371,1.074,1.266,25974887.906,1618012799999,31715095.152291,107207,12257451.117,14989880.07895,0
1618012800000,1.266,1.33,1.172,1.202,14155569.471,1618271999999,17487646.737283,62650,6129614.571,7574325.683329,0
1618272000000,1.202,1.209,1.069,1.108,18129050.566,1618531199999,20513405.281967,74563,8000936.471,9072933.053695,0
1618531200000,1.107,1.137,0.8,0.972,22826376.826,1618790399999,22824130.272077,81035,8992021.822,9056834.227263,0
1618790400000,0.97,1.2,0.937,0.942,27928901.083,1619049599999,29569191.88893,101562,12379692.113,13133917.731741,0
1619049600000,0.942,1.034,0.779,0.851,14641809.737,1619308799999,13096358.78066,49691,7160245.041,6436541.677244,0
1619308800000,0.849,1.076,0.812,1.014,12566141.919,1619567999999,11912088.72778,49435,5755285.501,5431711.434139,0
1619568000000,1.014,1.13,0.95,1.0,29502228.958,1619827199999,29859019.387668,78406,13756589.429,13934918.848491,0
1619827200000,1.0,1.028,0.912,0.957,23216182.124,1620086399999,22659683.67991,86756,10370201.75,10152594.389247,0
1620086400000,0.956,0.96,0.85,0.876,17757267.261,1620345599999,15941364.537479,77264,7411518.251,6655589.692654,0
1620345600000,0.875,1.07,0.845,0.884,30796503.467,1620604799999,28670121.90729,124432,14351132.632,13434341.642922,0
1620604800000,0.884,0.991,0.782,0.8,30345447.325,1620863999999,25948950.120677,91758,12200587.249,10493139.312745,0
1620864000000,0.8,0.849,0.714,0.724,17449106.279,1621123199999,13974918.012712,52549,6477674.868,5216139.29418,0
1621123200000,0.723,0.76,0.587,0.617,16623035.494,1621382399999,10987545.718457,51164,7302480.728,4828177.429165,0
1621382400000,0.614,0.624,0.185,0.405,32650620.642,1621641599999,14712898.305512,69213,15372934.891,7026109.297225,0
1621641600000,0.406,0.43,0.281,0.395,18474959.495,1621900799999,6518937.738438,37406,8722678.276,3094208.004387,0
1621900800000,0.393,0.429,0.345,0.382,12803658.599,1622159999999,4955663.01258,32442,6074968.408,2347908.280509,0
1622160000000,0.381,0.39,0.295,0.326,10884285.601,1622419199999,3608311.811444,23835,4769386.574,1580999.671423,0
1622419200000,0.326,0.468,0.309,0.442,42739136.575,1622678399999,17808823.942843,100628,20981953.846,8762067.290199,0
1622678400000,0.442,0.522,0.412,0.421,19621205.08,1622937599999,8918014.774925,48646,9331246.183,4244180.061934,0
1622937600000,0.42,0.435,0.309,0.343,17016913.843,1623196799999,6545129.766749,37729,7967315.711,3068973.236019,0
