open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,0.0223,0.0223,0.022,0.0221,902456.0,1672516799999,19927.6706,137,246468.0,5458.9409,0
1672516800000,0.0221,0.0221,0.0219,0.0219,384697.0,1672531199999,8457.4324,120,250998.0,5526.4233,0
1672531200000,0.022,0.022,0.0218,0.022,576308.0,1672545599999,12597.3349,82,257663.0,5646.5102,0
1672545600000,0.022,0.0223,0.0219,0.0221,1294036.0,1672559999999,28708.3282,179,946353.0,20989.2409,0
1672560000000,0.0222,0.0222,0.0219,0.0221,1319897.0,1672574399999,29084.9524,280,781626.0,17238.6527,0
1672574400000,0.0221,0.0221,0.0217,0.0219,3564082.0,1672588799999,78010.1621,398,1036270.0,22732.7953,0
1672588800000,0.0219,0.0221,0.0218,0.0221,1980628.0,1672603199999,43568.6491,239,1598817.0,35197.2111,0
1672603200000,0.022,0.0222,0.0219,0.0221,825677.0,1672617599999,18194.1482,154,333627.0,7368.3131,0
1672617600000,0.0221,0.0222,0.0219,0.0222,1029653.0,1672631999999,22700.009,140,490229.0,10823.2601,0
1672632000000,0.0222,0.0224,0.0219,0.0223,2560376.0,1672646399999,56775.1511,362,1861591.0,41323.4762,0
1672646400000,0.0223,0.0226,0.0222,0.0224,2298004.0,1672660799999,51503.7077,342,1359396.0,30490.3319,0
1672660800000,0.0225,0.0229,0.0223,0.0227,3413983.0,1672675199999,77267.3631,571,2024768.0,45891.0977,0
1672675200000,0.0227,0.023,0.0225,0.0227,1529697.0,1672689599999,34783.4097,323,926971.0,21095.8707,0
1672689600000,0.0227,0.024,0.0224,0.0225,13275610.0,1672703999999,306993.6857,1873,6941265.0,161376.4029,0
1672704000000,0.0225,0.0228,0.0224,0.0226,1428495.0,1672718399999,32251.0714,217,681820.0,15419.2887,0
1672718400000,0.0226,0.0232,0.0226,0.0229,1788262.0,1672732799999,40994.0674,379,1125539.0,25830.1082,0
1672732800000,0.023,0.023,0.0225,0.0226,4486203.0,1672747199999,101589.9757,685,2340327.0,53063.9801,0
1672747200000,0.0226,0.023,0.0223,0.0225,2506831.0,1672761599999,56837.9149,493,1610385.0,36564.5178,0
1672761600000,0.0224,0.0225,0.0222,0.0223,1771613.0,1672775999999,39575.994,309,780550.0,17459.9203,0
1672776000000,0.0223,0.0225,0.0223,0.0225,782788.0,1672790399999,17524.4118,155,581422.0,13031.5887,0
1672790400000,0.0224,0.0231,0.0224,0.023,1825969.0,1672804799999,41540.5473,339,1185867.0,26990.6737,0
1672804800000,0.023,0.0231,0.0227,0.0229,2003465.0,1672819199999,45978.3117,330,1138518.0,26186.0583,0
1672819200000,0.023,0.0231,0.0226,0.0229,2216538.0,1672833599999,50709.1292,406,958681.0,21957.2426,0
1672833600000,0.0229,0.023,0.0224,0.0228,3674116.0,1672847999999,83631.7575,520,2221093.0,50671.7124,0
1672848000000,0.0227,0.023,0.0225,0.0227,3079400.0,1672862399999,70291.8579,423,1740648.0,39767.1978,0
1672862400000,0.0227,0.0229,0.0224,0.0228,1307320.0,1672876799999,29691.7096,207,698043.0,15886.1328,0
1672876800000,0.0229,0.023,0.0226,0.0229,1528157.0,1672891199999,34896.6587,234,840430.0,19231.8916,0
1672891200000,0.023,0.0231,0.0227,0.0228,826744.0,1672905599999,18940.5795,162,352347.0,8087.6932,0
1672905600000,0.0228,0.0228,0.0225,0.0226,1511532.0,1672919999999,34200.9181,174,819178.0,18536.6961,0
1672920000000,0.0227,0.0229,0.0224,0.0228,2442081.0,1672934399999,55223.8435,364,1342523.0,30391.2419,0
1672934400000,0.0228,0.0229,0.0225,0.0227,1442887.0,1672948799999,32707.8784,226,597799.0,13570.6852,0
1672948800000,0.0227,0.0231,0.0227,0.0229,1587889.0,1672963199999,36330.2729,256,896962.0,20545.3836,0
1672963200000,0.0228,0.023,0.0227,0.0228,841735.0,1672977599999,19235.4801,148,374180.0,8566.8016,0
