open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672531200000,0.5018,0.5064,0.4983,0.5051,446659.0,1672617599999,224171.8571,2041,226231.0,113614.6115,0
1672617600000,0.5045,0.5153,0.5008,0.5082,589200.0,1672703999999,299198.5171,2470,288920.0,146782.9042,0
1672704000000,0.5081,0.5168,0.5025,0.5072,692380.0,1672790399999,352103.2935,3536,314006.0,159829.0951,0
1672790400000,0.5072,0.5219,0.5061,0.5156,983242.0,1672876799999,505200.5948,4333,451849.0,232399.9522,0
1672876800000,0.5156,0.5489,0.5127,0.5187,1898874.0,1672963199999,1006606.5568,8765,923723.0,489969.7543,0
1672963200000,0.519,0.54,0.5153,0.5202,1518078.0,1673049599999,795616.5508,6165,667985.0,350696.7279,0
1673049600000,0.5203,0.535,0.5196,0.5272,1149351.0,1673135999999,605740.3527,3919,556232.0,293352.4453,0
1673136000000,0.5275,0.5342,0.5235,0.5335,840761.0,1673222399999,443084.1837,3383,369645.0,195105.0765,0
1673222400000,0.5334,0.5659,0.5299,0.5416,2178962.0,1673308799999,1188246.8327,8407,1045203.0,570575.5458,0
1673308800000,0.5416,0.5564,0.5338,0.5447,1443443.0,1673395199999,783253.8603,5920,691789.0,375573.2729,0
1673395200000,0.5447,0.727,0.5355,0.6125,15000823.0,1673481599999,9641192.1042,63261,7295169.0,4682787.9855,0
1673481600000,0.6133,0.6345,0.5787,0.6018,7108096.0,1673567999999,4297221.4727,30911,3292007.0,1993760.5627,0
1673568000000,0.6017,0.623,0.594,0.6069,2855687.0,1673654399999,1720828.4258,12653,1419727.0,855861.452,0
1673654400000,0.6072,0.6461,0.6058,0.621,3663007.0,1673740799999,2278396.1303,16339,1847261.0,1150524.5966,0
1673740800000,0.6208,0.624,0.6007,0.6157,1401980.0,1673827199999,859389.8314,7516,665017.0,407906.475,0
1673827200000,0.6157,0.664,0.6081,0.6263,3410217.0,1673913599999,2155950.325,14307,1761411.0,1115985.0607,0
1673913600000,0.6263,0.645,0.6182,0.62,1622979.0,1673999999999,1019601.7273,7759,689086.0,433854.2285,0
1674000000000,0.62,0.6268,0.5529,0.5624,1921963.0,1674086399999,1138831.9801,8196,785534.0,463261.5096,0
1674086400000,0.5618,0.625,0.5618,0.586,1946862.0,1674172799999,1165019.1978,8542,909950.0,546149.9413,0
1674172800000,0.5853,0.6193,0.5807,0.6159,2573558.0,1674259199999,1553147.1531,12280,1219538.0,735701.2473,0
1674259200000,0.6163,0.638,0.6091,0.6201,2289813.0,1674345599999,1430793.3205,10617,1194338.0,746642.8303,0
1674345600000,0.6203,0.6405,0.6055,0.6218,1711054.0,1674431999999,1070217.4626,8022,830434.0,519345.9711,0
1674432000000,0.6211,0.6481,0.6205,0.6293,1993713.0,1674518399999,1260168.5364,8076,1022226.0,646732.7622,0
1674518400000,0.629,0.648,0.607,0.6086,2008504.0,1674604799999,1268596.0603,7593,882719.0,558528.5156,0
1674604800000,0.6098,0.6418,0.5951,0.6261,1950220.0,1674691199999,1205879.017,8472,951913.0,589100.6485,0
1674691200000,0.6263,0.6403,0.6186,0.6323,1511299.0,1674777599999,952576.9558,6111,712409.0,449167.1358,0
1674777600000,0.6314,0.6499,0.6257,0.6419,1698412.0,1674863999999,1081752.6217,7819,785185.0,500310.6324,0
1674864000000,0.6424,0.6957,0.6368,0.6456,3934303.0,1674950399999,2594082.0362,15846,1964778.0,1298317.6837,0
1674950400000,0.645,0.7534,0.6403,0.6729,8354610.0,1675036799999,5854510.7833,30150,4017548.0,2818070.7012,0
1675036800000,0.673,0.7323,0.6495,0.6563,5190221.0,1675123199999,3531652.4636,17231,2319903.0,1583956.3799,0
1675123200000,0.6572,0.724,0.6532,0.6921,7218081.0,1675209599999,5002873.2226,26685,3392533.0,2354123.2457,0
1675209600000,0.6925,0.7007,0.6563,0.6861,2736732.0,1675295999999,1852189.5721,9523,1161312.0,787496.8371,0
1675296000000,0.6862,0.7015,0.67,0.6785,2131206.0,1675382399999,1474379.5254,8283,1008686.0,698429.3935,0
