open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,0.0020136,0.002039,0.0020001,0.0020245,31462868.0,1577923199999,63641.7243588,594,15348147.0,31023.0570235,0
1577923200000,0.0020245,0.00204,0.0019485,0.0019951,191887309.0,1578009599999,383678.683621,3047,102172168.0,204688.967802,0
1578009600000,0.0019986,0.0020359,0.0019675,0.0020236,109005714.0,1578095999999,219205.8720154,1585,56166206.0,112959.6802205,0
1578096000000,0.0020185,0.0021035,0.002015,0.0020579,123468609.0,1578182399999,252973.4196484,1739,70521098.0,144561.8982931,0
1578182400000,0.0020589,0.0020922,0.0020361,0.0020696,66437147.0,1578268799999,137479.8748634,1381,31852955.0,65947.573882,0
1578268800000,0.0020722,0.0021345,0.0020692,0.0021344,108507039.0,1578355199999,228574.117152,2069,59217977.0,124803.5767535,0
1578355200000,0.0021333,0.0021847,0.0020777,0.002175,121470207.0,1578441599999,260701.1627782,2594,56593615.0,121419.3090671,0
1578441600000,0.0021687,0.0022263,0.0020701,0.0020886,205791636.0,1578527999999,445699.4791268,3049,92466492.0,200579.3611742,0
1578528000000,0.0020934,0.0021633,0.0020642,0.0021282,80515080.0,1578614399999,170069.0357442,1607,36239021.0,76549.006783,0
1578614400000,0.0021323,0.0022024,0.0020983,0.0021973,222205607.0,1578700799999,479342.4052965,2424,112086291.0,241673.1072134,0
1578700800000,0.0022007,0.002225,0.0021651,0.0021754,94223943.0,1578787199999,206824.576257,1601,52429060.0,115152.8045705,0
1578787200000,0.0021671,0.0022133,0.002155,0.0021963,49775170.0,1578873599999,109076.8642685,959,30275936.0,66456.3537814,0
1578873600000,0.0022026,0.0022049,0.0021652,0.0021704,66668055.0,1578959999999,145441.6378037,1120,34594026.0,75431.8615618,0
1578960000000,0.0021656,0.0023955,0.0021653,0.0023581,297610208.0,1579046399999,673174.5182545,6853,121254002.0,274763.0204674,0
1579046400000,0.0023493,0.0024913,0.0023204,0.0023669,262905054.0,1579132799999,629428.8752113,5310,141875440.0,339257.066242,0
1579132800000,0.002376,0.0023768,0.0022871,0.0023276,98583989.0,1579219199999,229189.4602076,2232,54289576.0,126127.9139599,0
1579219200000,0.0023343,0.0025035,0.0023159,0.0024868,280388650.0,1579305599999,674329.9143101,6904,128793395.0,309884.6327333,0
