open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1597791600000,2.09,4.44,2.0,3.0465,1205837.63,1597791779999,3744464.641116,4806,535315.54,1727557.456873,0
1597791780000,3.05,3.1841,2.944,3.0007,524646.75,1597791959999,1594479.312074,2011,276587.55,842663.572092,0
1597791960000,3.03,3.07,2.811,2.8879,317988.27,1597792139999,928298.690213,1621,182618.54,534603.990358,0
1597792140000,2.8877,3.0638,2.8,3.02,395493.37,1597792319999,1171088.055614,1683,288451.42,856160.034598,0
1597792320000,3.02,3.0896,2.975,2.9999,457711.68,1597792499999,1378768.68601,1196,232886.02,702220.003409,0
1597792500000,2.9999,3.03,2.91,2.99,255169.4,1597792679999,763839.910849,944,165057.91,494999.074978,0
1597792680000,2.99,3.0,2.8665,2.8827,179639.34,1597792859999,530572.68807,1028,92841.25,274593.334087,0
1597792860000,2.8827,2.98,2.88,2.9756,180444.31,1597793039999,527496.282576,742,124044.62,361998.818558,0
1597793040000,2.9782,3.0215,2.9782,2.9824,196458.5,1597793219999,588989.125908,820,151661.12,454738.967198,0
1597793220000,2.9951,3.01,2.9725,2.9791,171620.71,1597793399999,513661.649492,597,132555.03,396940.056351,0
1597793400000,2.9791,3.0749,2.961,3.0749,501498.38,1597793579999,1512392.098986,1013,250774.57,757242.620741,0
1597793580000,3.0749,3.18,3.0111,3.1721,332037.41,1597793759999,1038447.160997,878,232823.81,728138.683611,0
1597793760000,3.172,3.1799,3.115,3.1436,186841.59,1597793939999,587584.081655,719,145539.67,457807.197906,0
1597793940000,3.1436,3.15,3.0922,3.0922,202863.23,1597794119999,635256.578397,694,138667.98,434823.668907,0
1597794120000,3.1,3.125,3.0231,3.1,210096.04,1597794299999,650114.951232,1067,135988.22,421567.36429,0
1597794300000,3.1044,3.1082,3.08,3.1014,107451.84,1597794479999,332481.431528,546,74026.49,229150.192204,0
1597794480000,3.0993,3.1,2.9902,3.0419,256776.66,1597794659999,776093.83263,670,45590.98,139150.304073,0
1597794660000,3.0356,3.0918,3.02,3.0799,81145.23,1597794839999,247181.506535,429,47984.46,146196.782922,0
1597794840000,3.0799,3.1,3.0323,3.0999,95637.51,1597795019999,295640.841279,595,72881.02,225545.772309,0
1597795020000,3.0999,3.11,3.0406,3.1,180524.12,1597795199999,558521.867175,534,132656.3,410644.099239,0
1597795200000,3.1,3.1082,3.0855,3.1075,78147.71,1597795379999,242215.376205,432,58495.36,181366.339057,0
1597795380000,3.1075,3.128,3.0742,3.0948,115162.89,1597795559999,357015.981124,550,70733.87,219752.438327,0
1597795560000,3.09,3.1001,3.03,3.0991,132953.57,1597795739999,409630.654836,351,81685.43,252005.08563,0
1597795740000,3.0993,3.1,3.0801,3.0928,53104.59,1597795919999,164212.639162,176,21837.32,67526.270748,0
1597795920000,3.0806,3.095,3.0612,3.068,133982.7,1597796099999,413216.644414,383,59300.63,182777.540798,0
1597796100000,3.068,3.0937,3.04,3.0444,60348.38,1597796279999,184450.717071,241,32466.65,99331.514215,0
1597796280000,3.045,3.045,3.02,3.026,42586.56,1597796459999,129033.606073,228,16656.67,50522.087097,0
1597796460000,3.026,3.0345,3.02,3.0345,41517.63,1597796639999,125647.475731,233,34886.81,105597.768664,0
1597796640000,3.0329,3.045,3.0329,3.0422,33599.91,1597796819999,102021.608214,258,22516.37,68382.266547,0
1597796820000,3.0422,3.0695,3.0422,3.0509,46800.54,1597796999999,142864.248164,217,32492.6,99161.076438,0
1597797000000,3.0535,3.065,3.0487,3.055,36921.12,1597797179999,112841.342943,276,18567.11,56758.610231,0
1597797180000,3.055,3.0565,3.0008,3.0008,57176.01,1597797359999,173553.669543,281,22954.86,69705.096622,0
1597797360000,3.0008,3.01,2.9738,2.982,66018.32,1597797539999,197462.768123,340,21493.24,64311.399199,0
1597797540000,2.9821,3.0,2.9821,2.9902,32650.59,1597797719999,97580.438636,135,22761.62,68008.312247,0
1597797720000,2.9943,3.035,2.9943,3.0267,94909.07,1597797899999,285130.635484,240,39099.02,117604.142713,0
