open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1597766400000,2.09,4.44,2.0,3.1,6039881.97,1597795199999,18375373.392336,22593,3458952.5,10596741.994704,0
1597795200000,3.1,3.1999,2.64,3.195,9987727.33,1597823999999,29986664.189284,42120,6069416.35,18319324.847602,0
1597824000000,3.195,3.195,2.9,2.9401,3654984.97,1597852799999,10979391.777524,17664,1728357.41,5189548.338522,0
1597852800000,2.9425,3.035,2.72,2.95,2253062.62,1597881599999,6592265.666446,15291,1239608.23,3643499.041676,0
1597881600000,2.9449,2.999,2.6759,2.835,2635138.57,1597910399999,7388112.796335,14271,1278830.18,3586965.262507,0
1597910400000,2.8311,3.03,2.7803,3.0117,3113706.84,1597939199999,8974063.188487,14270,1745544.5,5036508.504526,0
1597939200000,3.0072,3.1111,2.6,2.9,5292018.19,1597967999999,15095234.881995,25256,2165221.16,6266612.105312,0
1597968000000,2.8978,2.957,2.6826,2.9512,3677379.86,1597996799999,10495876.016683,15207,2048240.22,5845066.395862,0
1597996800000,2.951,3.09,2.8311,2.9116,3445048.39,1598025599999,10206853.176743,17546,1745656.56,5179877.731126,0
1598025600000,2.9106,3.028,2.82,2.833,2642725.49,1598054399999,7690806.660058,17625,1370128.4,4005116.767749,0
1598054400000,2.8387,3.6868,2.782,3.41,6861721.14,1598083199999,22421683.088312,37822,4258996.11,13982780.904482,0
1598083200000,3.4122,4.0313,3.211,3.8226,21137219.2,1598111999999,78874595.599329,139756,11677166.3,43734097.487754,0
1598112000000,3.8226,4.55,3.7815,4.4546,13612536.17,1598140799999,56742620.077451,111601,7491097.74,31251717.723117,0
1598140800000,4.4756,4.4864,4.01,4.2083,7415215.08,1598169599999,31223737.994232,69481,3566386.18,15008364.021688,0
1598169600000,4.2093,4.2255,3.7032,3.91,10952514.82,1598198399999,42701099.389924,67282,5195152.54,20224662.809651,0
1598198400000,3.91,4.1285,3.724,3.9779,5477579.75,1598227199999,21504148.877509,38728,2998215.33,11780662.109591,0
1598227200000,3.9805,4.14,3.78,3.9634,6395883.38,1598255999999,25293482.705107,42154,3697556.77,14622680.381693,0
1598256000000,3.9638,4.3197,3.9001,4.2105,8111184.84,1598284799999,33543472.879454,57472,4802521.22,19846128.946899,0
1598284800000,4.2105,4.7983,4.1755,4.5759,11336884.9,1598313599999,51009633.071152,89415,6101254.14,27417641.926816,0
1598313600000,4.5759,4.9947,4.48,4.7081,11365075.37,1598342399999,54323356.429788,94135,6336287.11,30322102.536848,0
1598342400000,4.7108,4.98,4.525,4.7883,9815038.52,1598371199999,46685314.983789,80854,5094984.76,24249138.751504,0
1598371200000,4.7895,5.77,4.77,5.5412,18277256.1,1598399999999,97620393.046514,160908,10157332.47,54293179.645867,0
1598400000000,5.5412,5.685,5.1015,5.3761,10147660.47,1598428799999,55026045.367875,81514,5950072.85,32322229.055625,0
1598428800000,5.3751,6.35,5.282,6.3285,13314397.04,1598457599999,76183848.579938,111032,7894321.91,45161052.421941,0
1598457600000,6.3285,6.57,5.8022,6.0708,14349462.23,1598486399999,89554416.020173,130463,8350701.87,52121378.087003,0
1598486400000,6.0708,6.8,5.992,6.7049,9979807.71,1598515199999,63632020.137239,83822,5540594.78,35317812.888494,0
1598515200000,6.7015,6.7044,5.6055,5.8843,20549669.53,1598543999999,123843399.586671,157415,9746844.82,58711545.360831,0
1598544000000,5.8843,5.8987,5.2001,5.6547,12096859.18,1598572799999,67069349.024408,101619,5961237.72,33117300.446625,0
1598572800000,5.6569,6.1184,5.462,5.5,8399055.64,1598601599999,48832976.902852,71483,4336776.22,25196757.263811,0
1598601600000,5.5,6.3202,5.4998,6.2494,9664807.08,1598630399999,57555459.563383,85811,5192392.65,30912265.78637,0
1598630400000,6.2475,6.35,5.98,6.1812,5955309.91,1598659199999,36894557.946924,62042,2882380.2,17860886.257851,0
1598659200000,6.1769,6.4532,6.0032,6.3532,4105590.59,1598687999999,25405247.461516,44011,2320159.41,14364563.049963,0
1598688000000,6.3538,6.556,6.152,6.2852,6839656.22,1598716799999,43367839.991274,68418,3473822.5,22048104.498959,0
1598716800000,6.2883,6.51,6.074,6.1333,4415198.15,1598745599999,27965036.654552,45678,2094568.54,13283149.532812,0
1598745600000,6.1339,6.251,5.889,5.9396,5205316.63,1598774399999,31399685.187973,57989,2787383.2,16803336.826882,0
1598774400000,5.9379,6.1498,5.6999,5.7926,4842247.26,1598803199999,28694580.202765,54635,2382032.72,14120349.053638,0
1598803200000,5.8021,6.12,5.7509,5.8912,3218972.02,1598831999999,19209876.303142,40313,1654573.88,9878601.043293,0
1598832000000,5.8875,6.0384,5.8168,5.8681,2501758.47,1598860799999,14824489.013291,30769,1199761.9,7113223.98837,0
1598860800000,5.8667,6.4662,5.7541,6.3424,6872731.05,1598889599999,42042307.341747,76886,3656740.3,22308387.113577,0
1598889600000,6.3448,6.454,6.0973,6.2718,4189558.19,1598918399999,26311316.987447,49278,1983349.64,12467316.432336,0
1598918400000,6.2712,6.8619,6.12,6.7338,6916334.64,1598947199999,45212574.204851,74608,3534171.33,23141994.709098,0
1598947200000,6.7349,6.77,6.2,6.3404,5989248.36,1598975999999,38878659.418562,74995,2779240.96,18061210.260717,0
1598976000000,6.3404,6.457,6.1822,6.239,3424681.82,1599004799999,21561176.946491,41188,1697647.49,10695222.036401,0
1599004800000,6.24,6.4472,6.1133,6.1845,3453503.39,1599033599999,21624433.085837,44511,1732215.98,10848501.437726,0
1599033600000,6.1799,6.2492,5.58,5.8831,8104597.12,1599062399999,48139483.618861,95445,3653800.69,21743904.756297,0
1599062400000,5.8831,6.3,5.65,6.1374,3942399.53,1599091199999,23631903.625536,40277,2091208.24,12563564.223878,0
1599091200000,6.1375,6.2681,5.779,6.0533,4156324.79,1599119999999,25148538.464347,39156,1950994.69,11815783.254263,0
1599120000000,6.053,6.3325,5.5471,6.1191,9823094.18,1599148799999,58749681.017042,93676,4734601.18,28376225.716282,0
1599148800000,6.1149,6.3,5.62,5.6743,7260448.54,1599177599999,43771901.17705,78152,3435922.59,20776407.213242,0
1599177600000,5.6743,5.99,5.0,5.2894,8098305.43,1599206399999,45533727.129253,88478,3452784.68,19557910.320669,0
1599206400000,5.2895,5.57,4.5,4.9434,14560937.03,1599235199999,75331905.619891,107220,7641631.44,39889911.240157,0
1599235200000,4.9431,5.45,4.75,5.1019,5655607.93,1599263999999,29030796.174067,48017,2798612.73,14391022.840786,0
1599264000000,5.0987,5.3147,4.8121,5.0027,4082151.42,1599292799999,20700226.013084,34084,1896622.45,9621795.076939,0
1599292800000,5.0063,5.01,4.29,4.6122,13391211.18,1599321599999,61286484.205545,101127,6465474.94,29571011.865616,0
1599321600000,4.6123,4.6859,3.5321,4.1456,15317939.71,1599350399999,61623458.972499,121494,6675454.66,26946448.005307,0
1599350400000,4.1456,4.43,3.7298,4.3956,7441944.55,1599379199999,29880288.358216,54664,3582942.37,14407608.291011,0
1599379200000,4.4001,4.912,4.2692,4.5475,11225909.54,1599407999999,51255701.095526,84694,5763064.12,26330509.570895,0
1599408000000,4.5475,4.921,4.45,4.784,4940840.45,1599436799999,23340531.949296,45097,2532275.8,11978371.523617,0
1599436800000,4.7849,4.8367,4.3114,4.47,5002177.53,1599465599999,22607532.815228,39853,2361364.08,10660325.099301,0
1599465600000,4.4643,4.5795,4.001,4.4455,7775162.72,1599494399999,33324610.791852,65881,3816037.61,16382065.989194,0
1599494400000,4.4449,4.662,4.2925,4.5944,3312273.57,1599523199999,14850958.404343,30152,1651187.63,7407309.786114,0
1599523200000,4.5967,4.6339,4.37,4.4364,2800223.17,1599551999999,12593331.639518,21915,1264235.58,5688277.233234,0
1599552000000,4.4297,4.49,4.135,4.3208,5116065.12,1599580799999,21876632.74086,37281,2491982.5,10664259.077483,0
1599580800000,4.3217,4.4,4.1067,4.2787,2533458.41,1599609599999,10803792.562055,19488,1189314.77,5080432.485653,0
1599609600000,4.2657,4.36,4.077,4.3272,2624374.68,1599638399999,11111223.973153,20386,1171507.48,4964440.753203,0
1599638400000,4.3276,4.6964,4.2658,4.6964,4875513.95,1599667199999,21834735.269407,37749,2428981.18,10886918.887797,0
1599667200000,4.6932,4.7935,4.5772,4.7003,3726087.51,1599695999999,17455858.035682,30862,1810139.6,8481752.109158,0
1599696000000,4.7003,4.8894,4.52,4.5855,3591022.55,1599724799999,16988047.210714,27328,1590595.48,7519299.384658,0
1599724800000,4.5843,4.775,4.5456,4.6325,3364660.47,1599753599999,15692758.357775,25954,1475452.64,6886019.362276,0
1599753600000,4.6325,4.6465,4.4308,4.5796,2956709.05,1599782399999,13372491.097403,24810,1359846.65,6152945.453771,0
1599782400000,4.5781,4.6109,4.31,4.3752,3249227.78,1599811199999,14364678.132121,25465,1496735.05,6617044.087614,0
