open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672617600000,4.371,4.689,4.316,4.632,8255258.96,1672876799999,37453070.23962,110680,4259205.15,19313298.95807,0
1672876800000,4.631,4.706,4.545,4.664,7782535.95,1673135999999,36001152.9365,98701,3799687.22,17583997.10476,0
1673136000000,4.665,5.083,4.602,4.92,12360085.54,1673395199999,60225827.3071,171754,6442937.77,31363608.2555,0
1673395200000,4.92,5.424,4.828,5.401,15277384.91,1673654399999,78223294.39065,210666,7707023.43,39473723.63826,0
1673654400000,5.401,6.523,5.396,5.812,29268594.63,1673913599999,174065936.79698,508728,14475325.82,86086273.82789,0
1673913600000,5.812,6.221,5.564,5.802,20835862.77,1674172799999,123048314.84878,405697,10172907.69,60085710.09182,0
1674172800000,5.802,6.464,5.752,6.207,19466344.88,1674431999999,120348769.72441,404363,9785194.57,60524476.87954,0
1674432000000,6.207,6.84,6.01,6.399,23959839.33,1674691199999,153999392.17385,487704,11785909.89,75775297.44812,0
1674691200000,6.4,6.664,6.27,6.397,16061988.19,1674950399999,103675682.47888,304775,7830399.54,50559632.8553,0
1674950400000,6.396,6.7,6.02,6.26,14096279.0,1675209599999,89858061.49246,263515,6650037.9,42400350.83135,0
1675209600000,6.26,7.126,6.027,7.008,24375336.72,1675468799999,162069158.17475,451756,12271352.46,81641211.26143,0
1675468800000,7.008,7.075,6.401,6.494,13649162.69,1675727999999,92245494.74364,288443,6643057.39,44899205.98848,0
1675728000000,6.494,7.02,6.088,6.235,20760731.25,1675987199999,139394764.83305,438129,10164186.09,68297270.35741,0
1675987200000,6.235,6.387,6.074,6.181,9056473.1,1676246399999,56519617.06278,203799,4467952.36,27890449.41299,0
1676246400000,6.18,6.618,5.878,6.612,18395673.37,1676505599999,113901827.75149,354361,8968618.91,55567752.34715,0
1676505600000,6.612,7.418,6.291,7.229,35414663.39,1676764799999,246186686.24008,646082,17512507.24,121824476.66839,0
1676764800000,7.23,7.9,7.117,7.251,29470504.12,1677023999999,220525922.82077,602601,14423855.12,107980231.57737,0
1677024000000,7.251,7.384,6.47,6.614,20902910.23,1677283199999,146656396.5606,451896,10257371.44,72041787.0247,0
1677283200000,6.614,6.785,6.342,6.579,11271696.63,1677542399999,74339149.74681,240752,5371750.73,35438369.17258,0
1677542400000,6.58,6.6,6.221,6.335,11459508.87,1677801599999,73785482.30304,232126,5715410.01,36825484.32046,0
1677801600000,6.335,6.338,5.73,5.978,10475232.11,1678060799999,62754834.42442,217754,4946694.44,29632562.2102,0
1678060800000,5.977,6.043,5.501,5.601,14195731.22,1678319999999,82242374.90908,269849,6882310.8,39863420.70694,0
1678320000000,5.6,5.803,5.15,5.463,24575801.59,1678579199999,134066589.39185,467931,11898668.65,64895279.86496,0
1678579200000,5.463,6.537,5.36,6.223,27404734.98,1678838399999,163958001.25968,546085,13532417.12,80948308.49022,0
1678838400000,6.22,6.631,5.758,6.618,22722986.37,1679097599999,140127427.14206,468984,11196033.03,69048232.2097,0
1679097600000,6.617,6.699,6.052,6.092,17001131.31,1679356799999,109574659.70916,376964,8159073.43,52597748.81278,0
1679356800000,6.091,6.458,5.911,6.321,16617134.35,1679615999999,103296140.49156,384188,8259420.41,51374769.34746,0
1679616000000,6.321,6.341,5.83,6.042,7706320.12,1679875199999,46648331.17276,181295,3564335.39,21599796.79492,0
1679875200000,6.044,6.285,5.745,6.183,10063162.31,1680134399999,60706228.63887,216186,5023671.85,30335118.86018,0
1680134400000,6.183,6.393,6.025,6.344,10745911.29,1680393599999,66904989.38808,217532,5238367.44,32625065.05304,0
1680393600000,6.344,6.533,6.09,6.439,12761693.16,1680652799999,81251232.29983,256781,6329784.95,40328301.30162,0
1680652800000,6.437,6.586,6.134,6.178,9072406.85,1680911999999,57562597.25284,176227,4223643.98,26806564.92249,0
1680912000000,6.178,6.313,6.09,6.291,6808515.64,1681171199999,42079974.08115,126427,3246314.1,20073879.67906,0
1681171200000,6.29,6.65,6.214,6.634,13289304.21,1681430399999,85273222.22474,226334,6599999.45,42377766.48219,0
1681430400000,6.634,6.883,6.535,6.824,14042445.42,1681689599999,94715597.15861,244035,6930117.7,46747055.07231,0
1681689600000,6.824,7.0,6.24,6.309,15364149.28,1681948799999,102569272.24359,290676,7395364.47,49425890.84193,0
1681948800000,6.309,6.438,5.777,5.949,11914800.06,1682207999999,72620601.80304,232154,5581622.94,34051823.00274,0
1682208000000,5.949,6.029,5.768,5.999,7840118.5,1682467199999,46244234.65895,164816,3926655.47,23166250.16146,0
1682467200000,5.999,6.22,5.6,5.947,12867569.81,1682726399999,76431166.45965,255872,6403307.23,38052910.92537,0
1682726400000,5.947,6.032,5.919,5.96,1505917.08,1682985599999,9001431.31404,29887,765066.61,4573847.05319,0
