open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,8.101,9.174,5.08,5.909,189685315.03,1643673599999,1334000957.57608,3761068,91982550.86,647312904.39827,0
1643673600000,5.909,8.553,4.427,5.881,144790202.63,1646092799999,954112106.8778,2782291,70910464.61,468385557.71217,0
1646092800000,5.878,6.979,4.272,6.017,163940716.29,1648771199999,880684022.49698,2881134,80867631.01,434963641.96468,0
1648771200000,6.011,7.17,3.1,3.465,149162745.87,1651363199999,765849812.24071,2576584,72258563.82,371847095.66122,0
1651363200000,3.465,4.03,1.409,2.034,293160659.62,1654041599999,718289808.68631,2876270,143527191.72,351987186.54533,0
1654041600000,2.035,2.118,1.005,1.368,205739244.58,1656633599999,293004273.78959,1338401,101004850.24,143999568.92591,0
1656633600000,1.368,2.626,1.296,2.495,356454092.65,1659311999999,735479815.67573,2333747,176181365.08,363381442.79612,0
1659312000000,2.497,2.728,1.481,1.522,195788028.65,1661990399999,408184771.76611,1408424,93165939.13,194567839.75277,0
1661990400000,1.522,1.683,1.12,1.271,177309123.49,1664582399999,246858157.58332,896808,84128046.69,117292341.83261,0
1664582400000,1.271,1.92,1.175,1.637,215669133.33,1667260799999,316550224.79819,1374966,103908504.22,152363207.56486,0
1667260800000,1.637,2.73,1.184,1.765,508798701.79,1669852799999,993890465.37303,4072482,248418065.55,485703688.0816,0
1669852800000,1.765,1.933,1.012,1.103,248085362.59,1672531199999,355253798.3869,1242742,120412636.51,172535763.65357,0
1672531200000,1.103,3.55,1.086,3.223,465107782.17,1675209599999,868327039.80323,2880741,230415563.96,430527069.06795,0
1675209600000,3.221,3.674,2.304,2.918,555466592.01,1677628799999,1609014469.88917,5072819,273918133.22,794043168.57806,0
1677628800000,2.918,3.298,1.753,2.511,604893513.28,1680307199999,1476909944.57782,4984128,297189903.74,726206922.3784,0
1680307200000,2.511,3.2,2.291,2.669,297870374.67,1682899199999,789342026.54623,2764835,147322440.15,390952608.4899,0
