open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,1.102,1.12,1.094,1.103,1523725.57,1672531199999,1681685.18328,6445,763583.91,843309.79748,0
1672531200000,1.103,1.111,1.086,1.091,1580788.73,1672559999999,1735611.20441,5887,786852.06,864431.74246,0
1672560000000,1.091,1.155,1.087,1.13,2252281.82,1672588799999,2511949.66377,8853,1276826.03,1426159.93301,0
1672588800000,1.13,1.162,1.12,1.14,1825743.29,1672617599999,2082811.94924,7021,994315.51,1134673.3274,0
1672617600000,1.14,1.2,1.123,1.183,2363311.39,1672646399999,2721413.13778,10429,1162464.11,1341129.52104,0
1672646400000,1.184,1.195,1.173,1.184,2998959.24,1672675199999,3547373.16676,9649,1240772.98,1468717.09784,0
1672675200000,1.185,1.212,1.177,1.182,1986822.96,1672703999999,2363899.04543,6984,1136423.83,1352763.18697,0
1672704000000,1.183,1.196,1.167,1.187,1720931.94,1672732799999,2039078.90846,6549,884731.72,1048807.97918,0
1672732800000,1.187,1.191,1.138,1.147,2700560.41,1672761599999,3135954.53709,10060,975087.73,1133084.97938,0
1672761600000,1.148,1.169,1.132,1.163,1585768.41,1672790399999,1822876.53499,6287,700138.74,804009.38272,0
1672790400000,1.163,1.202,1.158,1.183,3804812.94,1672819199999,4500667.16523,14060,1979494.35,2343506.69533,0
1672819200000,1.183,1.195,1.167,1.193,1781444.09,1672847999999,2106403.41343,6755,872171.96,1032278.95858,0
1672848000000,1.192,1.194,1.155,1.179,1658746.01,1672876799999,1952542.6655,7409,747699.83,880440.47433,0
1672876800000,1.18,1.249,1.169,1.21,3843364.51,1672905599999,4665189.68579,13754,1917525.74,2322998.25849,0
1672905600000,1.211,1.22,1.171,1.185,2254916.1,1672934399999,2708363.38721,9812,1019320.12,1226191.93081,0
1672934400000,1.185,1.188,1.159,1.179,1917275.07,1672963199999,2246345.95738,6615,835728.89,979850.40496,0
1672963200000,1.179,1.191,1.156,1.169,1629243.49,1672991999999,1909372.95492,5532,769070.32,901535.99563,0
1672992000000,1.169,1.188,1.136,1.183,2243074.49,1673020799999,2610078.45989,9433,1056650.94,1230563.95992,0
1673020800000,1.182,1.238,1.174,1.214,3195170.36,1673049599999,3856817.93318,11463,1637073.27,1976487.74903,0
1673049600000,1.214,1.234,1.204,1.218,1606238.44,1673078399999,1954978.54184,6045,776758.42,946885.21079,0
1673078400000,1.218,1.236,1.197,1.21,3571878.37,1673107199999,4333604.12421,10132,2223433.18,2700054.25198,0
1673107200000,1.21,1.217,1.194,1.216,1414653.11,1673135999999,1703469.87565,4826,616237.46,742770.28235,0
1673136000000,1.216,1.218,1.184,1.211,1554826.36,1673164799999,1866440.16172,6766,819461.41,984474.7815,0
1673164800000,1.212,1.232,1.201,1.228,1588633.5,1673193599999,1933601.51268,6296,851458.62,1037176.64056,0
1673193600000,1.229,1.267,1.197,1.262,2692147.02,1673222399999,3315981.1408,10766,1242453.63,1534681.8122,0
1673222400000,1.263,1.335,1.252,1.299,3616476.38,1673251199999,4682176.21499,15936,1895269.32,2457128.13195,0
1673251200000,1.3,1.33,1.283,1.322,2380276.63,1673279999999,3113990.68922,12346,1176774.47,1540175.33022,0
1673280000000,1.322,1.374,1.293,1.321,2918679.13,1673308799999,3896265.91844,16734,1418367.48,1896693.4164,0
1673308800000,1.321,1.361,1.279,1.321,2393735.2,1673337599999,3165380.53645,11632,1216313.3,1609829.05457,0
1673337600000,1.322,1.423,1.311,1.372,4960571.35,1673366399999,6807155.50484,22400,2538327.96,3481264.23744,0
1673366400000,1.373,1.397,1.354,1.379,1675287.91,1673395199999,2306429.11506,9228,795773.22,1096117.78723,0
1673395200000,1.379,1.38,1.316,1.339,2443057.1,1673423999999,3275771.12548,11083,1143570.02,1533946.74112,0
1673424000000,1.339,1.354,1.315,1.328,2133923.07,1673452799999,2839606.20722,10511,1060129.51,1411231.15056,0
1673452800000,1.327,1.382,1.319,1.37,2442553.09,1673481599999,3296030.81768,11336,1132269.3,1527207.75846,0
1673481600000,1.369,1.422,1.363,1.378,3298599.23,1673510399999,4581962.38541,14215,1697282.53,2359867.64051,0
1673510400000,1.379,1.389,1.323,1.344,3731308.99,1673539199999,5048920.5245,17079,1820232.75,2465503.89607,0
1673539200000,1.344,1.449,1.341,1.43,3890378.47,1673567999999,5426078.76733,17078,2184372.01,3046752.18179,0
1673568000000,1.432,1.439,1.379,1.41,2625298.68,1673596799999,3695646.12993,10986,1063627.9,1497824.05517,0
1673596800000,1.41,1.451,1.392,1.435,3911626.76,1673625599999,5559640.15651,15430,2291326.06,3259883.96234,0
1673625600000,1.435,1.488,1.403,1.468,3870718.55,1673654399999,5581217.82146,18423,2031632.88,2934551.24001,0
1673654400000,1.468,1.588,1.463,1.56,6872727.77,1673683199999,10525524.67787,33942,3680161.39,5635929.87045,0
1673683200000,1.561,1.59,1.418,1.523,6484027.76,1673711999999,9767104.64907,34980,2978546.53,4495768.69394,0
1673712000000,1.522,1.55,1.498,1.539,2166307.96,1673740799999,3294705.07425,12927,1190193.47,1812683.80971,0
1673740800000,1.539,1.586,1.464,1.489,3888760.01,1673769599999,5939151.39471,20863,1772911.5,2710877.48705,0
1673769600000,1.488,1.539,1.449,1.524,3554894.13,1673798399999,5282170.76536,17420,1814616.96,2700366.74333,0
1673798400000,1.524,1.541,1.485,1.505,3018093.4,1673827199999,4572425.08977,16203,1413942.21,2143648.36969,0
1673827200000,1.505,1.588,1.496,1.55,4525011.89,1673855999999,7026259.00923,21450,2385324.44,3706241.8874,0
1673856000000,1.55,1.55,1.421,1.468,4082046.61,1673884799999,6071534.79907,20336,1787741.38,2660857.78407,0
1673884800000,1.468,1.507,1.45,1.479,2081300.63,1673913599999,3074123.51358,12178,1108121.8,1637968.46265,0
1673913600000,1.479,1.497,1.437,1.486,1797900.02,1673942399999,2639543.4779,10931,791437.89,1163067.32294,0
1673942400000,1.485,1.51,1.46,1.471,1989294.63,1673971199999,2952795.03918,11965,1044752.67,1551879.13851,0
1673971200000,1.471,1.472,1.4,1.411,3433215.54,1673999999999,4926128.90944,14857,1482477.79,2128080.01118,0
1674000000000,1.412,1.45,1.412,1.432,2081294.5,1674028799999,2989707.96417,9703,1031765.63,1482954.95329,0
1674028800000,1.433,1.433,1.243,1.313,6285455.12,1674057599999,8657495.95127,26028,3053547.08,4211601.46358,0
1674057600000,1.313,1.341,1.257,1.282,5116365.62,1674086399999,6655147.27696,26370,2310945.57,3007575.71247,0
1674086400000,1.282,1.343,1.28,1.324,2373351.0,1674115199999,3132000.60255,10675,1315672.74,1735960.90307,0
1674115200000,1.325,1.334,1.28,1.305,2386021.17,1674143999999,3116584.58727,12179,1025534.71,1339419.37422,0
1674144000000,1.305,1.337,1.296,1.317,1411557.99,1674172799999,1858461.98789,7426,653700.43,861199.96668,0
1674172800000,1.316,1.341,1.301,1.33,2083281.62,1674201599999,2760341.6558,8807,1051988.19,1394345.5511,0
1674201600000,1.33,1.355,1.318,1.343,2942793.08,1674230399999,3940024.26831,11028,1363273.5,1825236.0754,0
1674230400000,1.344,1.749,1.337,1.674,11563733.82,1674259199999,17762435.33477,57974,5977469.81,9187850.1943,0
1674259200000,1.672,1.8,1.64,1.715,7222917.11,1674287999999,12368670.23372,42158,3527959.62,6049536.34146,0
1674288000000,1.714,1.74,1.618,1.634,6180993.93,1674316799999,10341286.5739,39001,3099541.13,5191852.20374,0
1674316800000,1.633,1.669,1.6,1.616,2970296.08,1674345599999,4874912.71243,19950,1450040.88,2380636.24299,0
1674345600000,1.616,1.758,1.616,1.687,4143574.99,1674374399999,6964675.69911,26601,2168379.78,3645091.28204,0
1674374400000,1.688,1.739,1.658,1.665,4323190.0,1674403199999,7354710.18091,27461,2209899.04,3760183.35211,0
1674403200000,1.665,1.712,1.607,1.658,5281950.25,1674431999999,8744725.72729,31420,2622288.68,4340865.1715,0
1674432000000,1.659,1.864,1.658,1.801,7262539.38,1674460799999,12991834.96286,41505,3556841.47,6357683.91193,0
1674460800000,1.801,1.868,1.749,1.81,7079811.06,1674489599999,12841793.89882,42048,3268985.76,5931051.09249,0
1674489600000,1.81,1.837,1.716,1.739,3269849.57,1674518399999,5736841.04256,21673,1628769.16,2861839.86885,0
1674518400000,1.739,1.762,1.705,1.729,3287126.69,1674547199999,5683600.98186,16416,1812230.53,3133802.81288,0
1674547200000,1.728,1.743,1.688,1.729,4202764.25,1674575999999,7224527.59253,20700,1925941.87,3310086.54341,0
1674576000000,1.729,1.734,1.516,1.542,4745054.98,1674604799999,7664170.87565,27644,2171246.1,3499723.93603,0
1674604800000,1.542,1.73,1.516,1.727,7961109.29,1674633599999,12725341.84985,33521,4282469.77,6839995.87029,0
1674633600000,1.726,1.97,1.684,1.906,18843727.6,1674662399999,34809391.2029,112194,9577697.05,17692280.87985,0
1674662400000,1.907,2.2,1.831,1.927,19767977.25,1674691199999,39028332.49212,128551,10070113.9,19898091.048,0
1674691200000,1.927,2.201,1.886,2.076,13509096.71,1674719999999,27677369.60345,99545,6944304.54,14221689.4016,0
1674720000000,2.076,2.345,2.02,2.222,12437860.29,1674748799999,27183751.66669,90092,5995059.06,13127148.15421,0
1674748800000,2.223,2.378,2.18,2.306,8945084.48,1674777599999,20579770.90106,81248,4489295.78,10326735.40186,0
1674777600000,2.306,2.394,2.155,2.268,8445788.37,1674806399999,18999266.85157,64504,3932398.09,8860021.97242,0
1674806400000,2.267,2.269,2.091,2.156,8040334.15,1674835199999,17409833.43246,57878,3599724.12,7795303.13523,0
1674835200000,2.155,2.523,2.155,2.415,10734426.31,1674863999999,25448511.63923,77723,5876969.33,13919952.6913,0
1674864000000,2.414,2.454,2.356,2.372,5204579.44,1674892799999,12501335.74594,46215,2622310.32,6300054.07156,0
1674892800000,2.373,2.39,2.209,2.27,6635638.94,1674921599999,15093477.44732,55301,3155650.95,7169778.37277,0
1674921600000,2.27,2.344,2.245,2.296,3159106.73,1674950399999,7236828.29525,35296,1593384.15,3651885.53727,0
1674950400000,2.296,2.388,2.264,2.295,4889706.66,1674979199999,11343877.5969,45335,2144548.26,4979255.98412,0
1674979200000,2.295,2.312,2.214,2.233,5310794.74,1675007999999,11950066.81735,40284,2404178.29,5410839.50492,0
1675008000000,2.233,2.402,2.175,2.341,6187563.64,1675036799999,14147123.60727,50203,3129429.42,7162824.20955,0
1675036800000,2.34,2.416,2.247,2.357,4896447.24,1675065599999,11421977.22008,44513,2355659.64,5495948.77192,0
1675065600000,2.356,2.636,2.172,2.556,17960645.33,1675094399999,43543065.26643,132593,8975006.97,21778243.99991,0
1675094400000,2.555,2.694,2.403,2.496,13309586.15,1675123199999,33704343.60665,112109,6194815.09,15705122.38897,0
1675123200000,2.495,2.495,2.353,2.426,7131546.18,1675151999999,17163500.16983,62271,3422611.64,8233588.00803,0
1675152000000,2.427,2.85,2.331,2.793,16046575.5,1675180799999,41750204.63693,122031,7857407.19,20451649.4236,0
1675180800000,2.793,3.55,2.79,3.223,25518602.02,1675209599999,77973156.20201,218715,13128861.13,40119142.56581,0
1675209600000,3.221,3.301,3.013,3.042,14635720.17,1675238399999,46163841.33727,142121,7391499.48,23337825.45209,0
1675238400000,3.04,3.234,2.923,3.017,15163456.41,1675267199999,46112831.96093,135023,7251755.58,22104882.21925,0
1675267200000,3.017,3.525,2.992,3.286,20198360.29,1675295999999,66208782.81855,214848,10142321.32,33235072.15988,0
1675296000000,3.287,3.674,3.228,3.493,12174529.59,1675324799999,41863549.36235,119095,6345604.32,21829330.95671,0
1675324800000,3.494,3.554,3.318,3.393,8062061.04,1675353599999,27736377.66072,82967,4111856.28,14147509.36024,0
1675353600000,3.393,3.492,3.144,3.193,7772893.46,1675382399999,25791072.56652,85721,3462736.23,11509273.74889,0
1675382400000,3.193,3.271,3.091,3.12,6763787.13,1675411199999,21600898.97188,61225,3175243.46,10144277.05872,0
1675411200000,3.12,3.342,3.1,3.266,9128721.89,1675439999999,29246214.0566,74757,4592414.95,14706295.50383,0
1675440000000,3.266,3.273,3.134,3.217,4376418.22,1675468799999,14042913.8247,43934,2306177.26,7402677.30723,0
1675468800000,3.217,3.235,3.063,3.212,5289390.58,1675497599999,16673380.82941,44103,2595431.47,8185952.2417,0
1675497600000,3.212,3.289,3.148,3.201,4891314.88,1675526399999,15677586.49822,45785,2505041.76,8032692.3019,0
1675526400000,3.201,3.209,3.083,3.119,3783180.03,1675555199999,11890318.65478,35339,1753795.13,5513401.79522,0
1675555200000,3.119,3.193,2.962,3.006,6336566.16,1675583999999,19256682.21114,52101,2793339.55,8500257.15891,0
1675584000000,3.006,3.036,2.732,2.895,9836633.76,1675612799999,28519424.89133,78494,4603681.49,13352664.82119,0
1675612800000,2.893,3.04,2.796,2.976,6530653.36,1675641599999,18991110.96521,58725,3161141.11,9183577.78498,0
1675641600000,2.977,3.122,2.868,3.079,6702269.74,1675670399999,20183876.49222,60379,3420640.99,10318620.15395,0
1675670400000,3.078,3.138,2.949,3.046,6229207.46,1675699199999,18978709.51884,63897,3119993.68,9521436.33593,0
1675699200000,3.045,3.079,2.819,2.901,3865028.75,1675727999999,11417682.3794,42676,1901687.83,5613546.98494,0
1675728000000,2.901,3.133,2.901,3.079,5677424.33,1675756799999,17038527.70229,50464,3023280.79,9087908.09412,0
1675756800000,3.08,3.188,3.029,3.059,8507720.16,1675785599999,26478052.63296,74926,4201126.39,13089050.15529,0
1675785600000,3.06,3.218,2.982,3.155,6680542.06,1675814399999,20761680.4045,65841,3291599.71,10237206.02571,0
1675814400000,3.156,3.269,3.057,3.078,5079315.05,1675843199999,16046643.67679,44503,2435904.06,7708638.37054,0
1675843200000,3.078,3.103,2.905,2.945,6082583.2,1675871999999,18326356.52295,50758,2838607.82,8557567.47839,0
1675872000000,2.945,2.982,2.838,2.921,3622626.34,1675900799999,10551521.52516,41818,1659038.26,4838205.65373,0
1675900800000,2.921,2.992,2.662,2.927,9217565.07,1675929599999,26251458.80688,69589,4379070.82,12482485.45369,0
1675929600000,2.926,3.012,2.869,2.898,5319603.4,1675958399999,15622929.16011,48616,2624622.26,7710780.96642,0
1675958400000,2.898,2.932,2.413,2.517,12190393.74,1675987199999,32305647.50206,102206,5560314.85,14786174.95796,0
1675987200000,2.517,2.569,2.449,2.542,8419217.08,1676015999999,21260250.58094,59469,4021237.75,10154687.63796,0
1676016000000,2.54,2.552,2.404,2.476,7858650.05,1676044799999,19449896.59278,63038,3799709.36,9404017.75486,0
1676044800000,2.474,2.544,2.419,2.444,4004080.81,1676073599999,9896791.18311,47060,2001485.52,4950900.5776,0
1676073600000,2.443,2.508,2.371,2.46,4062107.76,1676102399999,9933030.85635,36347,1933559.13,4729868.89655,0
1676102400000,2.461,2.685,2.427,2.583,6836492.54,1676131199999,17346442.11517,57948,3302935.4,8379876.05899,0
1676131200000,2.583,2.682,2.515,2.626,4458517.26,1676159999999,11529834.70896,40079,2314647.12,5983888.53345,0
1676160000000,2.627,2.657,2.574,2.599,3929061.83,1676188799999,10260423.74416,29940,1944182.86,5076710.50709,0
1676188800000,2.6,2.74,2.577,2.639,6723978.89,1676217599999,17785964.25106,56201,3424406.55,9060760.01981,0
1676217600000,2.64,2.664,2.454,2.504,5010862.77,1676246399999,12912284.09337,48803,2413629.1,6228407.30508,0
1676246400000,2.504,2.533,2.411,2.523,6447356.28,1676275199999,16019473.04943,53926,3214205.8,7988561.43086,0
1676275200000,2.523,2.53,2.304,2.441,9886932.0,1676303999999,23819162.28176,80217,4636738.8,11172575.82726,0
1676304000000,2.442,2.472,2.335,2.43,5135288.05,1676332799999,12282456.99896,45774,2598151.67,6208725.23581,0
1676332800000,2.43,2.477,2.4,2.441,3873551.31,1676361599999,9446190.17301,30503,1976824.14,4823300.94732,0
1676361600000,2.442,2.652,2.381,2.606,12830843.74,1676390399999,32290470.06733,93317,6304515.61,15878755.00838,0
1676390400000,2.607,2.694,2.571,2.635,6879008.99,1676419199999,18182738.30173,55051,3313001.03,8763106.82275,0
1676419200000,2.636,2.656,2.59,2.64,3823800.96,1676447999999,10021558.64015,29858,1981989.22,5196222.49529,0
1676448000000,2.64,2.925,2.616,2.824,11945771.56,1676476799999,33228984.43746,80932,5866251.63,16275022.21717,0
1676476800000,2.822,2.998,2.817,2.989,8553370.33,1676505599999,24817467.38698,68254,4401197.5,12768786.09193,0
1676505600000,2.99,3.084,2.954,2.997,6433955.22,1676534399999,19374198.37638,52261,3182742.72,9588102.43287,0
1676534400000,2.998,3.222,2.959,3.204,8717766.5,1676563199999,26664935.98544,74568,4426452.35,13558251.83244,0
1676563200000,3.205,3.248,2.832,2.867,10307455.43,1676591999999,31415457.09192,81394,4943245.82,15076742.56538,0
1676592000000,2.866,3.108,2.847,3.059,6063960.22,1676620799999,18055679.01825,50634,3187823.35,9494809.25488,0
1676620800000,3.059,3.179,3.002,3.048,9975369.36,1676649599999,30656572.50207,69383,4902939.74,15075011.806,0
1676649600000,3.048,3.186,2.98,3.135,9302267.4,1676678399999,28811429.83261,58924,4367032.82,13547890.84388,0
1676678400000,3.135,3.166,3.048,3.069,4137717.45,1676707199999,12823614.41059,25911,1869263.66,5799359.54116,0
1676707200000,3.069,3.125,3.007,3.053,4328204.18,1676735999999,13229790.6131,30475,2099246.97,6418232.10262,0
1676736000000,3.053,3.065,2.95,2.99,2521752.71,1676764799999,7582734.60727,21800,1131567.36,3405469.99456,0
1676764800000,2.989,3.087,2.975,3.013,3056962.38,1676793599999,9263718.37457,24761,1572015.31,4764920.96696,0
1676793600000,3.013,3.06,2.979,3.023,4007453.02,1676822399999,12109802.61428,29759,1991160.97,6019649.23796,0
1676822400000,3.023,3.043,2.775,2.829,6096773.46,1676851199999,17604836.1844,49017,2606918.09,7527443.37636,0
1676851200000,2.828,2.92,2.735,2.909,3808726.95,1676879999999,10815095.22211,32028,1959693.17,5570949.0084,0
1676880000000,2.91,2.944,2.863,2.87,4621111.72,1676908799999,13407292.7348,38208,2178951.75,6324706.58157,0
1676908800000,2.871,2.954,2.796,2.916,3532904.97,1676937599999,10140278.49137,34694,1686446.78,4845236.65864,0
1676937600000,2.916,2.979,2.854,2.926,3406769.08,1676966399999,9921206.55537,32906,1695641.31,4939503.85143,0
1676966400000,2.925,2.96,2.696,2.732,6280091.44,1676995199999,17543002.57188,58807,2980057.35,8329731.52572,0
1676995200000,2.733,2.782,2.65,2.725,3229421.47,1677023999999,8787173.72175,32618,1584862.23,4315791.19185,0
1677024000000,2.725,2.734,2.561,2.607,5384371.45,1677052799999,14162548.40683,42805,2588251.93,6814151.49363,0
1677052800000,2.607,2.633,2.523,2.552,4010677.37,1677081599999,10322151.44602,50886,1877956.06,4835174.75773,0
1677081600000,2.551,2.691,2.541,2.671,3086599.77,1677110399999,8095497.98436,41758,1704221.23,4469990.05673,0
1677110400000,2.672,2.73,2.656,2.706,3577792.12,1677139199999,9639069.3307,38270,1984386.27,5347182.82555,0
