open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1682683200000,0.05,1.18,0.05,0.99742,25545602.0,1682683379999,25473311.32065,69157,12334568.0,12375924.99663,0
1682683380000,0.99736,1.04421,0.99423,1.04,8526135.0,1682683559999,8697159.44116,26690,4784229.0,4877982.78083,0
1682683560000,1.04076,1.07,1.00351,1.0192,8098047.0,1682683739999,8393810.2077,26590,3757629.0,3910318.06722,0
1682683740000,1.0192,1.0345,1.00344,1.01999,4122744.0,1682683919999,4214827.09376,12796,1955473.0,2003487.19215,0
1682683920000,1.01894,1.0534,1.0185,1.05,3496791.0,1682684099999,3616114.53258,12281,2069618.0,2141919.90758,0
1682684100000,1.05154,1.07361,1.04607,1.07192,5287359.0,1682684279999,5611255.13871,18005,2587815.0,2748929.70649,0
1682684280000,1.07192,1.111,1.07192,1.09394,6347056.0,1682684459999,6930920.19161,21056,3333613.0,3644358.43237,0
1682684460000,1.09405,1.153,1.09,1.15135,5014223.0,1682684639999,5620635.8454,17055,2919347.0,3272352.99181,0
1682684640000,1.15181,1.15181,1.09,1.11878,4058189.0,1682684819999,4529374.77557,14912,1699594.0,1898702.39335,0
1682684820000,1.11934,1.13,1.09303,1.09452,2184900.0,1682684999999,2431184.33128,7521,811544.0,906312.19181,0
1682685000000,1.09322,1.09499,1.06191,1.07653,2613750.0,1682685179999,2813692.54271,8760,1140559.0,1227441.83514,0
1682685180000,1.07641,1.11749,1.0622,1.09936,1866503.0,1682685359999,2040533.09276,6756,1050107.0,1148171.03309,0
1682685360000,1.09794,1.10865,1.08385,1.10663,1163566.0,1682685539999,1274534.46066,4992,661732.0,724905.91253,0
1682685540000,1.10845,1.11279,1.07304,1.0799,1258658.0,1682685719999,1367952.60052,4686,505752.0,550226.54599,0
1682685720000,1.07987,1.115,1.06326,1.11344,1661733.0,1682685899999,1819307.84762,6067,967492.0,1062408.67887,0
1682685900000,1.11161,1.1888,1.11161,1.1785,6353480.0,1682686079999,7346317.50861,24209,3644626.0,4213511.91105,0
1682686080000,1.17847,1.22,1.1581,1.19922,7450776.0,1682686259999,8881816.48675,23947,4399719.0,5249450.32122,0
1682686260000,1.19787,1.22785,1.17537,1.18938,4288777.0,1682686439999,5157946.62212,18206,2235837.0,2692806.2249,0
1682686440000,1.18832,1.21413,1.185,1.20671,3053425.0,1682686619999,3657673.64732,11579,1704538.0,2044034.45036,0
