open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1682683200000,0.05,1.49,0.05,1.32727,196759296.0,1682690399999,235627024.85268,697486,101634791.0,122101191.90492,0
1682690400000,1.32713,1.35618,1.17652,1.27861,82826023.0,1682697599999,104762104.49254,272523,42435282.0,53771797.64262,0
1682697600000,1.27616,1.34603,1.24,1.30565,26021074.0,1682704799999,33683456.26271,137462,13987043.0,18136105.947,0
1682704800000,1.30676,1.39585,1.263,1.26909,24616003.0,1682711999999,32759714.77617,136203,13652590.0,18213489.29134,0
1682712000000,1.26925,1.34,1.264,1.31694,10085827.0,1682719199999,13166582.69542,62771,5553700.0,7257053.10491,0
1682719200000,1.316,1.43,1.31592,1.37239,20745020.0,1682726399999,28583507.95991,114622,11423470.0,15745102.2609,0
1682726400000,1.37232,1.51,1.36001,1.4608,27179311.0,1682733599999,39375723.9097,149700,15035767.0,21819216.37584,0
1682733600000,1.46084,1.46216,1.37325,1.4096,11255977.0,1682740799999,15812473.05528,63180,5442534.0,7648526.64256,0
1682740800000,1.40967,1.58099,1.40953,1.52025,20923234.0,1682747999999,31364220.36911,129201,11644625.0,17439983.00303,0
1682748000000,1.52025,1.69493,1.508,1.69492,39974484.0,1682755199999,64359545.54913,232500,21321949.0,34346148.01697,0
1682755200000,1.69492,1.695,1.44025,1.49277,44527859.0,1682762399999,68494017.12786,202288,19989389.0,30764788.54286,0
1682762400000,1.49231,1.593,1.445,1.53748,22620432.0,1682769599999,34525265.00582,122787,11884194.0,18162039.4985,0
1682769600000,1.53687,1.55348,1.33731,1.39,37005882.0,1682776799999,52320256.52872,139467,16133647.0,22808713.58414,0
1682776800000,1.38999,1.428,1.338,1.36359,14687176.0,1682783999999,20357537.30892,61482,7303730.0,10147441.82418,0
1682784000000,1.36482,1.41,1.34319,1.36706,7249885.0,1682791199999,9997587.54374,34480,3766669.0,5204746.82548,0
1682791200000,1.36708,1.37274,1.36669,1.37,37259.0,1682798399999,51048.0582,338,24788.0,33964.73467,0
