open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1599102000000,19.71,35.0,19.71,28.0,42381.436,1599102179999,1184815.761838,2022,25450.05,716599.209432,0
1599102180000,27.8,29.4,27.364,28.4,19257.243,1599102359999,552878.561131,1064,11243.458,323062.1239,0
1599102360000,28.365,28.4,23.0,23.043,21877.306,1599102539999,557082.922192,1576,7297.94,187740.168121,0
1599102540000,23.043,24.6,22.763,24.201,14636.032,1599102719999,347847.758914,1082,7521.824,179787.140801,0
1599102720000,24.2,24.275,23.109,23.95,8100.35,1599102899999,191746.935388,796,3883.769,92612.384749,0
1599102900000,23.944,24.958,23.699,24.5,9413.713,1599103079999,227503.546588,797,7119.871,172104.877338,0
1599103080000,24.5,26.885,24.5,26.885,21304.362,1599103259999,548109.235354,1254,15097.969,389139.713957,0
1599103260000,26.795,28.0,26.248,26.275,19675.946,1599103439999,531665.182329,1221,6933.689,188681.476341,0
1599103440000,26.275,26.5,25.256,25.795,9775.897,1599103619999,254176.652801,1017,5278.664,137287.153465,0
1599103620000,25.702,26.178,25.632,25.932,3264.135,1599103799999,84775.128371,424,1316.306,34204.055519,0
1599103800000,25.959,25.959,25.793,25.801,2067.885,1599103979999,53464.468924,225,1030.637,26656.126769,0
1599103980000,25.802,25.802,23.0,24.5,16922.291,1599104159999,405849.570227,1222,7187.531,172618.780862,0
1599104160000,24.5,24.65,24.0,24.62,6083.948,1599104339999,148357.512407,650,3616.268,88145.772616,0
1599104340000,24.62,26.0,24.561,25.348,7120.99,1599104519999,179527.259396,615,4483.934,113576.659972,0
1599104520000,25.52,26.0,24.26,24.26,10157.907,1599104699999,254322.434314,838,5419.256,135559.071757,0
1599104700000,24.392,24.941,24.255,24.791,3781.414,1599104879999,93513.188712,364,1800.177,44563.385626,0
1599104880000,24.791,24.862,24.101,24.438,3191.319,1599105059999,78444.668417,339,1197.797,29419.420843,0
1599105060000,24.438,24.498,23.458,23.6,5378.296,1599105239999,128353.146467,445,2454.031,58624.894962,0
1599105240000,23.5,24.0,23.201,23.697,3992.831,1599105419999,94492.149328,403,1957.281,46392.330012,0
1599105420000,23.694,23.738,23.586,23.64,2423.584,1599105599999,57329.466301,214,1175.151,27774.59422,0
1599105600000,23.601,23.64,22.6,22.6,8274.81,1599105779999,190692.849162,507,2080.124,47748.176509,0
1599105780000,22.586,23.0,22.15,22.82,7614.426,1599105959999,171762.982201,646,5566.034,125645.150861,0
1599105960000,22.82,24.0,22.82,23.852,6145.264,1599106139999,144613.466385,599,3892.311,91496.901868,0
1599106140000,23.849,24.003,23.485,23.485,3541.853,1599106319999,84019.760359,321,1246.518,29577.079858,0
1599106320000,23.553,23.553,23.201,23.493,1889.02,1599106499999,44212.658204,234,970.503,22733.116027,0
1599106500000,23.494,23.494,22.894,22.947,2855.577,1599106679999,66068.268503,305,910.87,21105.842318,0
1599106680000,22.947,23.025,22.6,22.75,3377.174,1599106859999,77041.429681,285,961.729,21983.469092,0
1599106860000,22.828,22.966,22.71,22.799,2119.37,1599107039999,48471.18952,212,764.935,17495.836072,0
1599107040000,22.797,22.993,22.745,22.987,1776.16,1599107219999,40584.432833,246,932.103,21332.080559,0
1599107220000,22.993,23.202,22.783,22.783,2309.798,1599107399999,53131.110366,430,1135.422,26156.308617,0
1599107400000,22.779,22.92,22.779,22.801,1516.564,1599107579999,34610.219893,81,413.416,9444.742222,0
1599107580000,22.801,23.0,22.801,22.965,2388.492,1599107759999,54735.326813,173,1435.253,32875.806347,0
1599107760000,22.968,24.0,22.917,23.358,4426.842,1599107939999,103349.133511,478,3407.984,79730.60456,0
1599107940000,23.3,23.95,23.218,23.498,2789.564,1599108119999,65300.750223,405,1436.503,33726.135829,0
1599108120000,23.471,23.99,23.471,23.99,2726.084,1599108299999,64717.068017,386,1823.134,43312.905363,0
1599108300000,23.885,24.261,23.5,23.55,8206.617,1599108479999,196910.255039,693,5156.016,123843.830107,0
1599108480000,23.501,23.846,23.5,23.8,1932.11,1599108659999,45702.403342,233,832.732,19746.341175,0
1599108660000,23.829,23.829,23.234,23.373,2288.863,1599108839999,54018.413441,294,484.671,11423.285203,0
1599108840000,23.41,23.443,23.001,23.19,2868.087,1599109019999,66490.693732,391,868.464,20178.430149,0
1599109020000,23.19,23.197,22.81,22.92,3988.227,1599109199999,91730.456518,273,339.685,7820.683157,0
1599109200000,22.918,23.15,22.81,23.0,3867.995,1599109379999,88612.72983,311,2268.741,52029.476938,0
1599109380000,22.999,23.999,22.949,23.814,7264.567,1599109559999,171070.379412,700,5183.776,121682.558528,0
1599109560000,23.903,24.249,23.652,24.12,10446.463,1599109739999,251315.000552,681,7018.699,168992.548012,0
1599109740000,24.169,24.173,23.505,23.639,4229.755,1599109919999,100860.260427,553,1630.983,38975.194635,0
1599109920000,23.624,23.624,23.305,23.483,1785.076,1599110099999,41817.436164,260,640.202,15020.462244,0
1599110100000,23.483,23.614,23.483,23.561,2071.557,1599110279999,48864.394139,186,1082.314,25527.828314,0
1599110280000,23.595,23.935,23.589,23.935,2278.591,1599110459999,54136.794025,330,1433.383,34065.232384,0
1599110460000,23.935,24.5,23.9,24.49,5938.313,1599110639999,143913.08426,581,3595.1,87149.608191,0
1599110640000,24.403,24.628,24.089,24.387,7084.271,1599110819999,173441.636778,449,3395.976,83231.490339,0
1599110820000,24.318,24.438,24.208,24.398,2893.395,1599110999999,70451.922163,198,899.708,21930.444409,0
1599111000000,24.381,24.817,24.352,24.817,3997.698,1599111179999,98444.9345,389,2975.246,73318.591317,0
1599111180000,24.805,24.98,24.775,24.944,2655.529,1599111359999,66122.440924,327,1534.84,38228.711431,0
1599111360000,24.942,25.102,24.835,25.03,6041.846,1599111539999,150955.658306,401,4259.615,106470.792237,0
1599111540000,25.029,25.081,24.401,24.499,4481.117,1599111719999,111340.580447,400,1132.736,28136.455248,0
1599111720000,24.408,24.504,24.05,24.412,5296.286,1599111899999,129180.062957,428,3558.814,86905.435941,0
1599111900000,24.49,24.838,24.15,24.156,3402.426,1599112079999,82799.207936,316,1202.293,29364.678447,0
1599112080000,24.157,24.273,23.932,23.982,2785.258,1599112259999,67019.674751,281,1365.679,32853.809197,0
1599112260000,23.941,23.941,23.716,23.85,2793.757,1599112439999,66653.215624,256,916.365,21870.183164,0
1599112440000,23.89,24.347,23.75,24.202,3649.558,1599112619999,88068.138168,331,1941.609,46786.058154,0
1599112620000,24.207,24.455,24.01,24.217,2898.533,1599112799999,70075.795306,269,1205.512,29139.85428,0
1599112800000,24.178,24.178,23.8,24.078,1036.814,1599112979999,24900.382054,155,486.526,11713.807405,0
1599112980000,24.02,24.078,23.96,24.03,954.198,1599113159999,22904.713831,71,595.773,14303.447605,0
1599113160000,24.035,24.3,23.8,23.889,2236.716,1599113339999,53758.213959,188,1248.89,30053.642817,0
1599113340000,23.809,23.9,23.771,23.771,1374.026,1599113519999,32744.036324,131,408.656,9749.397762,0
1599113520000,23.817,23.85,23.721,23.721,1114.577,1599113699999,26485.42312,98,376.117,8948.567898,0
1599113700000,23.716,23.716,23.5,23.5,3550.781,1599113879999,83742.946107,231,411.128,9703.512185,0
1599113880000,23.501,23.721,23.5,23.719,2856.277,1599114059999,67309.239703,134,1521.757,35910.694916,0
1599114060000,23.719,23.816,23.642,23.695,1238.115,1599114239999,29362.327583,107,691.395,16415.397383,0
1599114240000,23.695,23.695,23.45,23.47,2090.787,1599114419999,49167.737933,155,807.243,18975.48792,0
1599114420000,23.454,23.502,23.3,23.315,1291.507,1599114599999,30161.51227,136,304.275,7119.480496,0
1599114600000,23.336,23.377,23.2,23.27,1894.368,1599114779999,44087.74709,114,499.057,11625.517475,0
1599114780000,23.27,23.275,22.962,23.027,4925.498,1599114959999,113513.493949,373,1610.319,37117.59493,0
1599114960000,22.979,23.315,22.919,23.163,2174.655,1599115139999,50001.306633,186,1612.991,37095.082452,0
1599115140000,23.116,23.508,23.116,23.508,1632.352,1599115319999,38133.775603,206,1095.5,25594.238535,0
1599115320000,23.508,23.938,23.501,23.746,1819.263,1599115499999,43062.083211,247,1119.745,26487.867745,0
1599115500000,23.754,23.844,23.45,23.5,2710.651,1599115679999,64270.612692,252,1665.398,39552.62771,0
1599115680000,23.513,23.6,23.478,23.55,779.402,1599115859999,18327.877807,91,640.161,15055.940855,0
1599115860000,23.55,23.6,23.504,23.558,1227.646,1599116039999,28925.227159,79,1045.885,24648.889485,0
1599116040000,23.557,23.6,23.46,23.557,1077.932,1599116219999,25400.546444,75,619.927,14620.610107,0
1599116220000,23.556,23.558,23.45,23.484,1032.77,1599116399999,24256.480517,44,122.693,2881.762123,0
1599116400000,23.482,23.511,23.451,23.48,2092.03,1599116579999,49113.123736,100,906.052,21278.388765,0
1599116580000,23.452,23.452,23.267,23.298,1319.941,1599116759999,30833.386145,167,255.899,5965.454643,0
1599116760000,23.27,23.44,22.987,22.987,2735.162,1599116939999,63253.180061,339,926.846,21497.487913,0
1599116940000,22.987,22.993,22.742,22.857,2388.697,1599117119999,54594.978199,211,832.457,19018.884495,0
1599117120000,22.858,22.987,22.85,22.949,1685.855,1599117299999,38631.192745,112,960.013,22026.708577,0
1599117300000,22.949,22.987,22.7,22.872,4778.326,1599117479999,109121.002533,178,762.819,17455.833274,0
1599117480000,22.872,22.993,22.872,22.993,1265.067,1599117659999,29021.085755,86,1044.638,23973.090306,0
1599117660000,22.992,23.001,22.882,22.99,1405.029,1599117839999,32254.491581,89,496.953,11424.9565,0
1599117840000,22.988,23.14,22.97,23.111,1355.471,1599118019999,31271.118143,122,934.676,21560.82057,0
1599118020000,23.111,23.266,22.993,23.13,3685.435,1599118199999,85268.719841,341,2653.205,61388.534741,0
1599118200000,23.156,23.8,20.975,23.148,20502.163,1599118379999,460701.946153,1482,8463.554,192706.870441,0
1599118380000,23.2,23.295,23.106,23.255,1875.156,1599118559999,43491.356968,158,1438.499,33374.295261,0
1599118560000,23.162,23.375,23.127,23.318,1511.655,1599118739999,35118.352534,125,585.373,13608.077974,0
1599118740000,23.364,23.453,23.28,23.407,884.1,1599118919999,20662.089965,98,704.536,16463.996725,0
1599118920000,23.407,23.49,23.407,23.489,951.617,1599119099999,22325.680409,91,344.23,8075.871466,0
1599119100000,23.489,23.49,23.337,23.375,2371.148,1599119279999,55525.777231,96,264.557,6196.784577,0
1599119280000,23.374,23.4,23.199,23.24,732.881,1599119459999,17052.304192,115,234.138,5457.310241,0
1599119460000,23.259,23.48,22.697,22.785,2813.925,1599119639999,64890.210008,376,1524.625,35237.824223,0
1599119640000,22.876,23.48,22.658,22.658,2040.566,1599119819999,46869.32035,266,1039.012,23949.027043,0
1599119820000,22.707,22.933,22.615,22.801,1997.675,1599119999999,45485.374643,224,397.208,9047.841145,0
