open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1599091200000,19.71,35.0,10.2,12.321,2402087.849,1599350399999,44697517.223894,218749,1188654.113,22149958.035849,0
1599350400000,12.324,16.0,11.277,14.027,1964128.136,1599609599999,26544541.091066,162126,1003603.648,13561491.403017,0
1599609600000,14.043,15.67,13.483,14.308,1034542.587,1599868799999,15041321.444726,81229,530957.254,7722813.300797,0
1599868800000,14.297,14.41,12.421,13.971,669060.294,1600127999999,9154924.204568,57441,332818.899,4558448.741973,0
1600128000000,13.971,14.939,11.751,12.058,853596.005,1600387199999,11298084.466545,73316,416544.377,5531523.949045,0
1600387200000,12.036,12.304,9.772,10.717,649430.331,1600646399999,7355681.309193,45111,327229.743,3689437.638572,0
1600646400000,10.693,11.0,8.154,8.812,1458506.453,1600905599999,13084208.738802,88422,690471.263,6196528.332394,0
1600905600000,8.813,10.8,8.707,10.396,911697.944,1601164799999,8715654.890147,57876,466137.687,4448370.41546,0
1601164800000,10.398,10.5,9.595,10.256,621945.902,1601423999999,6290748.370008,42939,296627.303,3002407.231462,0
1601424000000,10.259,10.971,8.9,9.412,928339.184,1601683199999,9350361.004803,54037,474206.872,4777139.144118,0
1601683200000,9.412,9.559,7.98,8.461,621310.818,1601942399999,5424734.729687,31451,319653.966,2784876.361055,0
1601942400000,8.465,8.482,6.465,7.48,1293816.287,1602201599999,9530599.085604,61738,649434.713,4785077.700886,0
1602201600000,7.483,8.2,7.307,8.171,751871.262,1602460799999,5931511.777487,42081,389631.339,3077497.119188,0
1602460800000,8.171,8.35,7.73,7.988,581947.521,1602719999999,4652597.940463,29507,294428.314,2355049.786651,0
1602720000000,7.988,7.995,7.0,7.641,503925.568,1602979199999,3834513.301084,30236,265327.663,2018741.442257,0
1602979200000,7.645,7.73,6.0,7.069,642888.404,1603238399999,4550242.205263,32001,314396.142,2222752.008523,0
1603238400000,7.068,8.936,7.061,8.864,984790.918,1603497599999,7836437.149061,57199,530317.05,4208364.819987,0
1603497600000,8.864,10.28,8.25,8.623,2270113.311,1603756799999,20678565.668946,112176,1142588.341,10404672.183246,0
1603756800000,8.637,8.77,7.1,7.387,1222379.11,1604015999999,9870739.649353,57918,596965.047,4828438.215405,0
1604016000000,7.368,7.991,7.181,7.674,792014.296,1604275199999,5902035.68317,36687,389271.448,2903926.896052,0
1604275200000,7.685,7.762,6.993,7.168,603274.364,1604534399999,4410190.499775,27698,284898.55,2083471.17254,0
1604534400000,7.167,8.587,6.988,7.858,1320991.687,1604793599999,10438266.369206,65036,656190.074,5192828.843716,0
1604793600000,7.848,8.678,7.7,8.596,877352.81,1605052799999,7203607.51801,42086,447648.495,3678805.560582,0
