open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609430400000,24.237,24.677,24.0,24.673,67784.139,1609459199999,1644105.7419,6783,35428.914,860249.267921,0
1609459200000,24.673,25.627,24.452,25.581,75698.643,1609487999999,1888734.197359,9105,41359.56,1033861.403762,0
1609488000000,25.579,27.287,25.359,26.784,315517.859,1609516799999,8333698.757158,29735,168099.25,4443129.192646,0
1609516800000,26.778,27.23,25.4,26.007,328461.308,1609545599999,8680427.894537,32048,170296.724,4507680.712698,0
1609545600000,26.007,26.074,24.618,25.822,291567.486,1609574399999,7416554.104644,25258,142472.794,3629422.649039,0
1609574400000,25.849,26.888,24.95,26.251,192304.652,1609603199999,4962076.121391,18405,102053.245,2639729.463268,0
1609603200000,26.251,26.957,25.0,25.875,208392.01,1609631999999,5429116.167854,18884,105039.313,2739354.001324,0
1609632000000,25.872,26.54,25.424,25.518,92990.544,1609660799999,2418807.668633,8144,51884.586,1352840.172647,0
1609660800000,25.491,27.1,25.3,26.5,256374.245,1609689599999,6709471.940917,22150,144466.221,3785176.809139,0
1609689600000,26.523,28.07,26.0,27.321,360073.731,1609718399999,9775700.071123,32445,196394.87,5340164.103893,0
1609718400000,27.323,30.179,27.26,28.2,241473.887,1609747199999,6942511.085448,23496,127469.476,3669181.939421,0
1609747200000,28.288,29.459,26.0,28.771,515737.818,1609775999999,14225227.268846,43393,267035.665,7370042.077852,0
1609776000000,28.77,31.2,28.001,30.658,567031.784,1609804799999,16994527.368518,49488,321212.94,9623232.892991,0
1609804800000,30.658,32.384,29.296,30.758,311323.7,1609833599999,9598308.444602,34438,159101.966,4910404.413122,0
1609833600000,30.772,34.943,30.73,34.533,563392.984,1609862399999,18747079.533722,58394,306646.868,10218831.701947,0
1609862400000,34.533,35.0,32.223,33.969,403635.255,1609891199999,13608205.970287,39838,208545.059,7040440.143598,0
1609891200000,33.969,35.512,33.5,35.51,184039.817,1609919999999,6308393.864325,19926,96665.132,3317237.612518,0
1609920000000,35.516,37.731,35.354,37.7,389552.946,1609948799999,14185616.358245,34651,204051.802,7438385.219402,0
1609948800000,37.7,39.758,37.45,38.5,512733.974,1609977599999,19798874.193864,46922,260765.43,10065585.531009,0
1609977600000,38.5,39.79,37.45,38.2,191084.908,1610006399999,7332893.672532,22098,89805.973,3452005.287261,0
1610006400000,38.176,42.0,38.151,41.861,424445.814,1610035199999,16981189.312591,38853,227394.22,9106313.727279,0
1610035200000,41.827,41.95,31.377,36.985,619247.106,1610063999999,23644022.131103,57768,314174.08,11955785.658967,0
1610064000000,37.031,38.83,33.5,38.753,311095.305,1610092799999,11270128.34456,38640,159894.275,5807319.328323,0
1610092800000,38.77,40.892,37.454,38.52,332853.613,1610121599999,12996460.700637,32394,164993.758,6444831.64815,0
1610121600000,38.523,38.683,35.5,37.36,315186.004,1610150399999,11674577.262825,27992,158702.77,5886995.446048,0
1610150400000,37.419,37.597,35.643,37.089,196942.804,1610179199999,7186841.674065,20172,92125.326,3362986.739595,0
1610179200000,37.113,38.759,36.707,37.755,165869.905,1610207999999,6283455.716745,17417,88451.21,3350901.332694,0
1610208000000,37.752,37.831,35.932,36.87,250774.459,1610236799999,9248036.605896,29136,121699.26,4492620.100068,0
1610236800000,36.87,39.3,36.87,38.931,131424.459,1610265599999,5022126.458138,17441,72833.577,2782819.367391,0
1610265600000,38.987,39.3,34.0,36.586,367601.662,1610294399999,13545517.212137,44772,177867.333,6570811.372995,0
1610294400000,36.618,37.16,33.577,36.229,433624.981,1610323199999,15528280.903954,44962,215716.812,7728833.580793,0
1610323200000,36.23,36.348,33.0,34.768,385362.973,1610351999999,13365447.551297,40090,184423.752,6414067.772847,0
1610352000000,34.75,36.084,28.61,29.019,533022.895,1610380799999,17247896.847074,50422,258628.063,8376987.42732,0
1610380800000,28.998,32.799,27.0,32.68,502800.741,1610409599999,14927247.325833,39997,262460.343,7817719.869108,0
1610409600000,32.68,34.958,31.352,34.59,184220.487,1610438399999,6141570.814953,15934,94205.929,3143015.549709,0
1610438400000,34.651,34.9,31.0,32.039,312968.278,1610467199999,10281819.836227,25560,162994.375,5365458.482776,0
1610467200000,32.077,33.622,30.496,31.591,267962.116,1610495999999,8640816.593794,22760,134286.807,4337205.71409,0
1610496000000,31.601,33.0,30.5,32.74,128598.053,1610524799999,4055316.057362,12728,71568.864,2262593.757855,0
1610524800000,32.73,33.805,31.0,32.693,272595.577,1610553599999,8841899.907485,26681,128573.065,4172638.720396,0
1610553600000,32.714,35.039,32.714,35.039,253485.355,1610582399999,8592114.245247,27493,137533.047,4662465.261108,0
1610582400000,35.021,36.262,34.176,36.055,122316.133,1610611199999,4291838.166849,16278,64248.177,2257540.07742,0
1610611200000,36.045,38.88,35.939,38.418,301778.114,1610639999999,11358704.627582,30258,158230.241,5956914.066944,0
1610640000000,38.475,38.7,35.815,37.976,232592.324,1610668799999,8676101.941271,26059,124753.685,4652205.377767,0
