open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,0.5022,0.5273,0.5008,0.5231,24396149.0,1641081599999,12477443.4773,29089,17728955.0,9063580.7345,0
1641081600000,0.5231,0.5698,0.5187,0.5661,19046422.0,1641167999999,10254516.1021,34642,11823768.0,6349151.2607,0
1641168000000,0.5661,0.5698,0.5232,0.5355,15701337.0,1641254399999,8545893.4126,27304,9468211.0,5157700.3185,0
1641254400000,0.5349,0.5659,0.5206,0.5413,18776012.0,1641340799999,10275429.1277,31919,11583250.0,6344542.9447,0
1641340800000,0.5413,0.65,0.5215,0.569,80299523.0,1641427199999,47578931.7469,139059,44285078.0,26236237.8027,0
1641427200000,0.569,0.63,0.5319,0.545,53798228.0,1641513599999,30910929.011,94699,26917976.0,15507396.8845,0
1641513600000,0.5451,0.5471,0.4943,0.4951,23951142.0,1641599999999,12371735.3821,42142,11611175.0,6006165.3687,0
1641600000000,0.4959,0.5282,0.4549,0.4737,18001040.0,1641686399999,8833586.9349,31523,8559681.0,4202115.4114,0
1641686400000,0.4737,0.4889,0.4497,0.4648,14931859.0,1641772799999,7040589.8954,22392,6917165.0,3266471.097,0
1641772800000,0.4652,0.4781,0.417,0.4508,18024268.9,1641859199999,8055231.9457,29909,8953471.0,4006249.08,0
1641859200000,0.4508,0.4752,0.4342,0.4697,15818030.0,1641945599999,7222170.399,23928,7682198.0,3509414.9952,0
1641945600000,0.4695,0.5185,0.456,0.5124,17288086.0,1642031999999,8493359.2996,27986,8416816.0,4143048.4032,0
1642032000000,0.5124,0.544,0.4825,0.4861,22180163.0,1642118399999,11338289.7187,37502,10879497.0,5570784.1633,0
1642118400000,0.4859,0.5093,0.4682,0.5054,15192042.0,1642204799999,7451024.5822,23939,7493128.0,3676160.2149,0
1642204800000,0.5054,0.5099,0.483,0.497,12343411.0,1642291199999,6120700.5478,19675,6345056.0,3146675.0552,0
1642291200000,0.4966,0.5084,0.4787,0.4834,12952652.0,1642377599999,6398038.3456,20170,6374121.0,3156991.4091,0
1642377600000,0.4834,0.484,0.4494,0.4635,12756153.0,1642463999999,5952913.2201,18689,6421416.0,3000973.2121,0
1642464000000,0.4631,0.4758,0.4378,0.4722,13881608.0,1642550399999,6347722.8421,20367,6857441.0,3135223.925,0
1642550400000,0.4722,0.4875,0.4402,0.4634,16189758.0,1642636799999,7539645.0749,25895,8194442.0,3824457.735,0
1642636800000,0.4636,0.5427,0.4537,0.4607,39645628.0,1642723199999,19831478.9372,62277,19647488.0,9841331.11,0
1642723200000,0.4603,0.4749,0.3667,0.3771,32875687.1,1642809599999,13714822.92724,49130,15684818.1,6542295.4332,0
1642809600000,0.3772,0.3914,0.3111,0.3351,31818431.1,1642895999999,11087504.19631,43758,16092424.6,5625901.75311,0
1642896000000,0.3357,0.3689,0.326,0.3554,19391281.0,1642982399999,6780318.0314,26073,9703363.0,3394822.7815,0
1642982400000,0.3547,0.3547,0.2837,0.3269,34476978.3,1643068799999,10674585.90307,32980,17129363.0,5300459.4291,0
1643068800000,0.3268,0.3384,0.3129,0.3241,14967440.0,1643155199999,4877852.5171,16015,7879347.0,2568186.4795,0
1643155200000,0.3243,0.3547,0.3078,0.3163,16762340.0,1643241599999,5563366.9834,21580,8269169.0,2745848.2424,0
1643241600000,0.3162,0.3276,0.2977,0.3138,10331634.0,1643327999999,3209577.7878,10957,5043870.0,1565626.4234,0
1643328000000,0.3131,0.3206,0.2993,0.3154,9701091.0,1643414399999,3000019.1605,9712,4663972.0,1444210.264,0
1643414400000,0.3153,0.3311,0.3112,0.3159,12800463.0,1643500799999,4093422.779,12176,6092961.0,1950426.6461,0
1643500800000,0.3162,0.33,0.3016,0.3107,11421492.0,1643587199999,3600997.7703,11636,5737725.0,1811596.4669,0
1643587200000,0.3104,0.3325,0.2924,0.3206,11896970.0,1643673599999,3714885.2504,11232,5717797.0,1789158.5744,0
1643673600000,0.3204,0.3357,0.3179,0.3256,10283079.0,1643759999999,3338158.4486,11701,5099872.0,1657989.7994,0
1643760000000,0.3258,0.33,0.3,0.3032,10979077.0,1643846399999,3476465.798,14758,5383368.0,1705910.2857,0
1643846400000,0.3032,0.3154,0.2983,0.3145,9981556.0,1643932799999,3040793.8235,11352,5109625.0,1557924.9153,0
1643932800000,0.3147,0.3375,0.3095,0.3369,12293067.0,1644019199999,3973266.3154,16076,6075398.0,1964041.7253,0
1644019200000,0.3368,0.3544,0.3331,0.3436,17479006.0,1644105599999,6014767.0362,20441,8760060.0,3015356.7767,0
1644105600000,0.3436,0.3555,0.3368,0.3487,10868799.0,1644191999999,3752401.7604,13269,5516342.0,1903351.659,0
