open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640966400000,0.5339,0.5365,0.5326,0.5337,472749.0,1640968199999,252539.1805,488,226118.0,120778.6597,0
1640968200000,0.5337,0.5339,0.5176,0.5177,1232520.0,1640969999999,650649.2182,1498,637731.0,337842.4457,0
1640970000000,0.5183,0.5235,0.516,0.5169,529484.0,1640971799999,274813.2597,886,288487.0,149704.7033,0
1640971800000,0.5162,0.5167,0.509,0.5112,691743.0,1640973599999,354231.1412,1081,351305.0,179795.9952,0
1640973600000,0.5112,0.5157,0.51,0.5153,298214.0,1640975399999,152905.5703,583,175653.0,90070.7121,0
1640975400000,0.5152,0.5197,0.5108,0.5184,1261255.0,1640977199999,652596.6289,971,1061023.0,549324.1854,0
1640977200000,0.5179,0.5184,0.5021,0.5023,437739.0,1640978999999,222958.7875,917,266557.0,135732.546,0
1640979000000,0.5021,0.5061,0.4991,0.5012,329605.0,1640980799999,165491.7025,892,152476.0,76562.3188,0
1640980800000,0.5011,0.5156,0.5004,0.5125,915005.0,1640982599999,467550.0042,1239,571722.0,291846.5957,0
1640982600000,0.5125,0.5144,0.502,0.5029,977331.0,1640984399999,497881.6203,880,720538.0,367123.4668,0
1640984400000,0.5029,0.5093,0.5029,0.509,295801.0,1640986199999,149682.4044,466,215752.0,109183.6983,0
1640986200000,0.509,0.5133,0.506,0.5122,591734.0,1640987999999,301082.0741,808,400004.0,203533.207,0
1640988000000,0.5122,0.5193,0.5122,0.5183,291049.0,1640989799999,150222.4065,893,170515.0,87977.2854,0
1640989800000,0.5184,0.5185,0.5129,0.5136,593194.0,1640991599999,305522.0473,639,408741.0,210397.0574,0
1640991600000,0.5132,0.5158,0.5107,0.5112,955164.0,1640993399999,490742.5343,481,861556.0,442638.2473,0
1640993400000,0.5114,0.5118,0.5009,0.5025,635521.0,1640995199999,322858.5546,955,395121.0,200924.782,0
1640995200000,0.5022,0.5087,0.5009,0.5087,363409.0,1640996999999,184148.4514,639,269082.0,136417.1769,0
1640997000000,0.5086,0.5134,0.5062,0.5121,817862.0,1640998799999,416259.6085,755,593234.0,302008.5579,0
1640998800000,0.5115,0.5127,0.5075,0.5082,746290.0,1641000599999,380003.0513,992,395578.0,201465.0846,0
1641000600000,0.5084,0.5129,0.5077,0.5091,336198.0,1641002399999,171531.0531,587,193341.0,98623.6473,0
1641002400000,0.509,0.5123,0.5085,0.51,549581.0,1641004199999,280550.4695,412,453081.0,231309.6568,0
1641004200000,0.5097,0.5102,0.5073,0.5077,669669.0,1641005999999,340464.3772,593,511567.0,260069.2312,0
1641006000000,0.5075,0.5079,0.506,0.5066,796203.0,1641007799999,403914.5781,531,634503.0,321927.6513,0
1641007800000,0.5064,0.5093,0.5047,0.5049,843787.0,1641009599999,428298.5885,604,554505.0,281427.4861,0
1641009600000,0.5046,0.5064,0.5021,0.504,520737.0,1641011399999,262754.2108,536,435273.0,219689.3704,0
1641011400000,0.5039,0.504,0.5008,0.5022,471876.0,1641013199999,236941.8106,512,352110.0,176805.6544,0
1641013200000,0.5022,0.5116,0.5009,0.5111,1061356.0,1641014999999,538360.952,879,864278.0,438519.8587,0
1641015000000,0.5112,0.5135,0.5089,0.5089,887734.0,1641016799999,453682.9074,608,648152.0,331223.6599,0
1641016800000,0.5089,0.5142,0.5083,0.5095,1283694.0,1641018599999,654856.3798,672,1001821.0,510827.3603,0
1641018600000,0.5095,0.5121,0.5066,0.5068,870535.0,1641020399999,443553.2271,678,698761.0,356001.7319,0
1641020400000,0.5069,0.5086,0.5064,0.5066,551601.0,1641022199999,279789.1375,515,416557.0,211301.5305,0
1641022200000,0.5065,0.5099,0.5063,0.5096,588048.0,1641023999999,298766.4442,591,472530.0,240061.5184,0
1641024000000,0.5096,0.5096,0.5042,0.5083,771949.0,1641025799999,390803.8813,669,451773.0,228804.8347,0
1641025800000,0.5082,0.5084,0.5062,0.5064,164266.0,1641027599999,83303.3238,477,109405.0,55480.3956,0
1641027600000,0.5064,0.5082,0.5054,0.5082,248293.0,1641029399999,125770.1359,440,197070.0,99825.5178,0
1641029400000,0.5079,0.5084,0.5026,0.5055,544532.0,1641031199999,275291.2541,700,407006.0,205750.3713,0
1641031200000,0.5054,0.508,0.504,0.504,166259.0,1641032999999,84009.1719,451,118421.0,59857.5025,0
1641033000000,0.504,0.5096,0.501,0.5077,454892.0,1641034799999,229846.2201,812,338709.0,171273.8486,0
1641034800000,0.5077,0.5078,0.5052,0.5058,636148.0,1641036599999,322090.1038,567,542841.0,274854.1321,0
1641036600000,0.5058,0.5058,0.5013,0.5019,329477.0,1641038399999,166119.1388,626,236105.0,119073.2572,0
1641038400000,0.502,0.5051,0.502,0.5049,121357.0,1641040199999,61152.6031,437,67232.0,33884.1548,0
1641040200000,0.5048,0.5093,0.5048,0.509,155382.0,1641041999999,78939.5234,457,110697.0,56234.398,0
1641042000000,0.509,0.514,0.5078,0.51,720570.0,1641043799999,368015.261,782,514654.0,262782.631,0
1641043800000,0.51,0.5107,0.5076,0.5107,598510.0,1641045599999,304448.4072,563,519663.0,264360.586,0
1641045600000,0.5107,0.513,0.5104,0.5124,568426.0,1641047399999,290745.408,435,489348.0,250293.4608,0
1641047400000,0.5122,0.5142,0.5095,0.513,316159.0,1641049199999,161762.6026,397,229788.0,117530.2001,0
1641049200000,0.5128,0.5157,0.5124,0.5155,439497.0,1641050999999,225810.1022,427,336301.0,172772.7555,0
1641051000000,0.5155,0.5198,0.5124,0.5128,868800.0,1641052799999,448442.9426,1115,478950.0,247122.7869,0
1641052800000,0.5135,0.5192,0.5129,0.5189,309800.0,1641054599999,160100.1241,453,226170.0,116815.1195,0
1641054600000,0.5186,0.52,0.5147,0.516,693465.0,1641056399999,358810.3369,690,443779.0,229542.3918,0
1641056400000,0.516,0.5192,0.516,0.518,227022.0,1641058199999,117547.9689,559,178257.0,92282.382,0
1641058200000,0.5181,0.5243,0.5181,0.5238,340082.0,1641059999999,177407.0009,764,227403.0,118597.947,0
1641060000000,0.5239,0.5273,0.5202,0.524,265971.0,1641061799999,139440.0239,590,112538.0,59061.7291,0
1641061800000,0.524,0.5243,0.5211,0.5218,283650.0,1641063599999,148329.4437,639,129137.0,67537.5334,0
1641063600000,0.5221,0.524,0.5171,0.5189,508634.0,1641065399999,264873.6233,756,280261.0,145943.7502,0
1641065400000,0.5195,0.5199,0.5163,0.5198,333298.0,1641067199999,172787.5412,583,243425.0,126211.4065,0
1641067200000,0.5198,0.5234,0.5197,0.5227,549194.0,1641068999999,286354.8096,519,477390.0,248890.8055,0
1641069000000,0.523,0.5246,0.522,0.523,124532.0,1641070799999,65175.5054,476,76642.0,40117.8171,0
