open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,0.0924,0.0929,0.091,0.092,2605795.0,1672516799999,239482.5058,1663,1054247.0,96966.1857,0
1672516800000,0.092,0.092,0.091,0.0917,1534189.0,1672531199999,140329.1059,857,603058.0,55216.295,0
1672531200000,0.0916,0.0921,0.091,0.0914,883444.0,1672545599999,80891.2297,633,429116.0,39318.6295,0
1672545600000,0.0915,0.0926,0.091,0.0922,1208915.0,1672559999999,111008.1582,759,653641.0,60049.1109,0
1672560000000,0.0922,0.0925,0.0911,0.0913,878122.0,1672574399999,80495.0021,624,382398.0,35074.5354,0
1672574400000,0.0914,0.0915,0.0909,0.091,1615118.0,1672588799999,147236.8674,883,689323.0,62880.0372,0
1672588800000,0.0911,0.0914,0.0899,0.091,3147685.0,1672603199999,285356.5943,1972,1429935.0,129720.9315,0
1672603200000,0.091,0.0917,0.0903,0.0915,1449567.0,1672617599999,131813.8921,1034,786169.0,71536.8388,0
1672617600000,0.0914,0.0917,0.0901,0.0914,1009671.0,1672631999999,91829.9413,777,477512.0,43459.6742,0
1672632000000,0.0915,0.0933,0.091,0.0926,2710939.0,1672646399999,249732.494,1672,1300831.0,119930.8086,0
1672646400000,0.0926,0.0965,0.0926,0.0945,9996880.0,1672660799999,948812.3144,5422,5371928.0,509880.3193,0
1672660800000,0.0945,0.0956,0.0938,0.0947,4934425.0,1672675199999,467163.264,2421,2080191.0,197045.2078,0
1672675200000,0.0947,0.1015,0.0936,0.0984,13515795.0,1672689599999,1319308.5082,6942,7568093.0,739881.4692,0
1672689600000,0.0983,0.0991,0.096,0.0965,9801907.0,1672703999999,954123.9835,4661,3955195.0,385376.07,0
1672704000000,0.0966,0.1,0.0962,0.0989,3789417.0,1672718399999,373035.5846,2155,1960757.0,193282.0546,0
1672718400000,0.0989,0.0999,0.0966,0.0971,5087923.0,1672732799999,498961.4964,2845,2132792.0,209399.7244,0
1672732800000,0.0971,0.0998,0.0961,0.0991,9738003.0,1672747199999,955365.8737,3778,5026160.0,493365.5091,0
1672747200000,0.0991,0.1033,0.0974,0.0979,19957622.0,1672761599999,2001497.7368,10543,10115321.0,1016182.992,0
1672761600000,0.0978,0.1043,0.0975,0.0997,18278940.0,1672775999999,1851520.2239,9245,9410146.0,953520.8479,0
1672776000000,0.0997,0.1035,0.0997,0.1026,7367428.0,1672790399999,747856.7547,4007,3655464.0,371340.5296,0
1672790400000,0.1028,0.1047,0.1014,0.1031,6992235.0,1672804799999,720097.2447,3213,2847730.0,293524.4861,0
1672804800000,0.1032,0.1047,0.102,0.1029,6206488.0,1672819199999,641138.0444,2992,2396071.0,247799.0525,0
1672819200000,0.103,0.117,0.1019,0.1153,29851007.0,1672833599999,3266444.2907,14360,16460858.0,1808685.9733,0
