open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,24.3356,26.1297,20.7176,22.2488,38590389.98,1612137599999,871784418.004143,2537342,18919857.77,427623077.532089,0
1612137600000,22.249,53.0,22.01,35.9652,82077650.99,1614556799999,3130904248.466096,5572423,40787205.09,1556641864.28039,0
1614556800000,35.9677,197.5495,35.5,190.8556,87213068.66,1617235199999,7622105082.544027,9538076,43835343.5,3848577559.070736,0
1617235200000,190.7998,238.2033,130.0,163.92,66563421.8843,1619827199999,11448251070.070988,13550375,33107990.2345,5700156611.238121,0
1619827200000,163.82,168.0,55.0,72.52,70380322.9568,1622505599999,6637298329.649064,13061611,34534005.5603,3251446146.049309,0
1622505600000,72.52,97.99,42.53,60.4,79943572.1968,1625097599999,5462671331.720069,9974108,39322509.5665,2688286793.427059,0
1625097600000,60.4,60.63,40.08,52.02,43502921.782,1627775999999,2207753756.03974,4200585,21682000.0909,1099064295.789687,0
1627776000000,52.01,82.48,51.56,75.97,82295812.8804,1630454399999,5693158751.138631,9106833,40419963.1226,2795297993.629762,0
1630454400000,75.96,120.17,50.0,60.04,160867113.9337,1633046399999,12578010400.851187,17115746,79547614.1459,6220012699.957096,0
1633046400000,60.05,81.22,52.0,64.4,127534355.5294,1635724799999,8552429732.472538,11669557,62585423.6394,4198167155.723138,0
1635724800000,64.41,69.64,48.53,53.73,134119485.1833,1638316799999,7778748954.675498,10026912,66665504.9264,3868431486.852028,0
1638316800000,53.74,55.81,32.67,34.24,131523984.6713,1640995199999,5148411248.566624,6908885,65216374.2666,2549738496.617744,0
1640995200000,34.25,38.5,16.82,21.29,110594733.3848,1643673599999,2853825451.509947,5779705,54876024.7822,1414885305.007902,0
1643673600000,21.29,26.68,16.73,21.7,86835800.4329,1646092799999,1842521710.3627,3744120,42682091.9629,906313775.6349,0
1646092800000,21.7,28.15,16.5,24.45,96955926.42,1648771199999,2112558914.2121,4178872,48196353.16,1052391577.9895,0
1648771200000,24.46,26.76,11.85,14.23,106165685.62,1651363199999,2208762640.0726,4156630,50833032.19,1059960572.4983,0
1651363200000,14.24,15.96,6.71,8.09,148640567.03,1654041599999,1526514900.979058,3660423,73219017.84,752645307.7963,0
1654041600000,8.09,8.18,4.8,5.4,98338115.0,1656633599999,595658640.2964,1656568,46825519.86,283749179.8083,0
1656633600000,5.4,10.72,5.0,9.77,195304643.38,1659311999999,1317589285.8993,2484608,95442119.22,645414816.9987,0
1659312000000,9.77,11.39,5.52,5.75,248520138.45,1661990399999,2011642049.2447,3547787,117973139.23,958415189.304,0
1661990400000,5.75,6.99,5.1,5.69,136430626.62,1664582399999,808018305.1807,1594595,65447388.55,388436717.941,0
1664582400000,5.68,5.9,4.72,5.42,81677769.02,1667260799999,432354042.5896,826535,37198445.09,197165018.3842,0
1667260800000,5.42,6.56,4.0,4.42,154291780.93,1669852799999,757240306.1868,1523272,73081154.1,358379686.0612,0
1669852800000,4.42,4.71,2.419,3.01,153314021.9,1672531199999,527894265.05718,1368522,74217953.44,254724525.14799,0
1672531200000,3.009,5.788,2.992,5.229,243503251.36,1675209599999,1087913475.42596,3341101,117764741.68,526311493.72379,0
1675209600000,5.229,9.5,4.61,6.484,396000026.47,1677628799999,2796612788.66521,6987613,193074055.03,1365354556.7681,0
1677628800000,6.484,7.583,4.654,5.686,389372986.01,1680307199999,2312274707.06404,7067569,187043086.25,1113125439.46077,0
1680307200000,5.686,6.436,5.018,5.491,174813752.32,1682899199999,1004783735.83835,2735287,84820770.9,487722526.2621,0
