open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640966400000,35.22,35.43,35.14,35.4,26942.43,1640968199999,950442.7441,1962,12699.07,448203.4054,0
1640968200000,35.41,35.41,34.73,34.8,107896.22,1640969999999,3778351.0289,6063,39655.34,1387924.0404,0
1640970000000,34.8,34.93,34.31,34.36,111825.21,1640971799999,3874428.2995,6191,45924.11,1592238.9818,0
1640971800000,34.36,34.57,34.33,34.46,64793.11,1640973599999,2231494.4196,3188,30545.01,1051829.8469,0
1640973600000,34.45,34.5,34.31,34.4,33361.18,1640975399999,1147705.4332,1865,13728.54,472248.7534,0
1640975400000,34.39,34.47,34.25,34.35,57694.47,1640977199999,1981952.8154,2919,24578.1,844335.0529,0
1640977200000,34.36,34.37,33.68,33.85,167942.85,1640978999999,5708245.2559,8405,70103.79,2382253.3368,0
1640979000000,33.84,34.04,33.53,33.61,132574.06,1640980799999,4474357.7737,5935,60032.45,2025990.9755,0
1640980800000,33.6,33.89,33.57,33.72,80874.04,1640982599999,2727211.3887,3928,34434.11,1161089.4454,0
1640982600000,33.72,33.78,33.5,33.58,65019.86,1640984399999,2185072.6194,3131,34502.48,1159405.6544,0
1640984400000,33.59,33.86,33.56,33.86,36170.1,1640986199999,1218038.664,2020,15688.4,528328.2705,0
1640986200000,33.87,34.12,33.87,34.11,42526.21,1640987999999,1445412.0399,2308,22830.29,775927.5786,0
1640988000000,34.11,34.47,34.08,34.39,47689.14,1640989799999,1635289.9404,2676,31686.25,1086825.4813,0
1640989800000,34.4,34.4,34.19,34.28,13185.04,1640991599999,452278.5589,869,5420.33,185902.9567,0
1640991600000,34.28,34.48,34.27,34.34,34806.9,1640993399999,1196894.2871,1375,17958.04,617083.3353,0
1640993400000,34.33,34.51,34.19,34.24,26677.6,1640995199999,916649.9918,1341,13337.31,458327.0714,0
1640995200000,34.25,34.6,34.24,34.57,57207.32,1640996999999,1971903.7138,2693,30611.24,1055077.5495,0
1640997000000,34.56,34.69,34.53,34.66,33668.8,1640998799999,1166279.665,1998,15237.81,527806.8275,0
1640998800000,34.67,34.81,34.53,34.7,36194.37,1641000599999,1254769.4676,1802,16936.22,587261.7447,0
1641000600000,34.71,34.77,34.59,34.62,24247.0,1641002399999,841064.0557,1290,10786.7,374160.3292,0
1641002400000,34.62,34.89,34.61,34.82,43721.89,1641004199999,1521425.7942,1796,24287.6,845185.3192,0
1641004200000,34.83,34.9,34.65,34.84,43978.47,1641005999999,1530087.1222,1851,22784.56,792833.6433,0
1641006000000,34.83,34.89,34.75,34.76,15327.44,1641007799999,533378.7199,1286,7585.85,263950.657,0
1641007800000,34.76,34.86,34.67,34.69,47737.73,1641009599999,1659109.6846,1846,20814.65,723358.5196,0
1641009600000,34.7,34.77,34.45,34.57,62531.74,1641011399999,2162824.7555,2555,24837.06,858750.1516,0
1641011400000,34.56,34.6,34.45,34.49,35446.7,1641013199999,1224300.9063,1456,15453.42,533622.1925,0
1641013200000,34.49,34.9,34.42,34.84,66770.35,1641014999999,2315116.8959,2697,34303.24,1189074.7142,0
1641015000000,34.85,35.01,34.71,34.77,57637.66,1641016799999,2010220.5069,2549,31659.44,1104227.7852,0
1641016800000,34.76,34.92,34.7,34.79,23737.43,1641018599999,826156.5525,1318,11893.58,413855.6441,0
1641018600000,34.79,34.83,34.58,34.62,28214.49,1641020399999,978925.2878,1545,12770.46,442956.6893,0
1641020400000,34.61,34.76,34.58,34.69,29227.32,1641022199999,1013548.0796,1685,13563.68,470360.2951,0
