open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,3.076,3.085,3.043,3.048,175578.21,1672505999999,538209.16627,1935,73017.3,224196.68056,0
1672506000000,3.048,3.056,3.027,3.04,98382.77,1672509599999,299021.1527,1173,45153.96,137269.57367,0
1672509600000,3.041,3.058,3.033,3.037,75603.3,1672513199999,230239.15788,766,35223.68,107359.98499,0
1672513200000,3.038,3.038,3.023,3.027,38705.96,1672516799999,117218.0593,546,12018.87,36389.71653,0
1672516800000,3.028,3.05,3.023,3.044,79834.88,1672520399999,242662.43902,658,52432.2,159359.6238,0
1672520400000,3.045,3.05,3.032,3.033,28921.17,1672523999999,87928.26326,411,7912.15,24053.3528,0
1672524000000,3.034,3.038,2.98,2.992,223319.58,1672527599999,671578.90701,2333,74598.8,224263.56121,0
1672527600000,2.992,3.012,2.988,3.01,58043.24,1672531199999,174219.44071,669,29603.72,88835.66586,0
1672531200000,3.009,3.014,2.992,2.995,67916.0,1672534799999,203754.70686,799,30114.43,90351.7202,0
1672534800000,2.995,3.034,2.994,3.026,105130.55,1672538399999,316472.15325,1029,61061.26,183773.17507,0
1672538400000,3.026,3.038,3.018,3.019,66579.35,1672541999999,201523.48432,727,21262.75,64367.74045,0
1672542000000,3.019,3.025,3.011,3.018,65488.43,1672545599999,197662.92848,659,22662.89,68397.73593,0
1672545600000,3.017,3.02,3.011,3.017,46756.23,1672549199999,140997.43804,489,27601.02,83229.05874,0
1672549200000,3.017,3.052,3.016,3.046,147555.63,1672552799999,448222.30389,1283,93434.27,283772.75289,0
1672552800000,3.046,3.109,3.041,3.075,466323.24,1672556399999,1435370.45658,4020,281315.0,865716.46226,0
1672556400000,3.075,3.088,3.054,3.081,144445.58,1672559999999,443397.32384,1585,73672.19,226212.73104,0
1672560000000,3.081,3.09,3.063,3.066,241235.62,1672563599999,741762.03192,1819,125308.54,385319.7398,0
1672563600000,3.067,3.073,3.056,3.066,75200.45,1672567199999,230372.76827,840,44007.56,134812.11421,0
1672567200000,3.066,3.073,3.054,3.059,52901.7,1672570799999,161963.85686,624,20644.65,63190.13766,0
1672570800000,3.059,3.078,3.059,3.076,75529.44,1672574399999,231920.27946,930,42882.59,131653.03264,0
1672574400000,3.076,3.077,3.062,3.075,85073.47,1672577999999,261162.66604,977,32443.99,99574.81007,0
1672578000000,3.073,3.081,3.065,3.068,71621.07,1672581599999,220146.11072,1041,31169.43,95814.48146,0
1672581600000,3.069,3.097,3.069,3.097,144801.53,1672585199999,447166.61071,1478,89158.39,275337.65878,0
1672585200000,3.096,3.105,3.081,3.097,83192.15,1672588799999,257473.73934,1178,47264.4,146287.76763,0
1672588800000,3.097,3.114,3.084,3.09,121659.41,1672592399999,377133.73991,1573,66144.08,205065.21758,0
1672592400000,3.09,3.102,3.089,3.1,65363.62,1672595999999,202219.65787,667,33528.72,103740.47444,0
1672596000000,3.101,3.117,3.096,3.1,101979.83,1672599599999,316811.5918,1127,50718.12,157550.68427,0
1672599600000,3.101,3.146,3.101,3.131,164912.74,1672603199999,516245.03844,1631,88038.87,275401.00496,0
1672603200000,3.132,3.15,3.124,3.125,81757.11,1672606799999,256617.9309,872,39321.53,123434.03172,0
1672606800000,3.127,3.133,3.115,3.126,67150.12,1672610399999,209818.62131,736,40722.11,127260.60967,0
1672610400000,3.127,3.137,3.115,3.123,52665.16,1672613999999,164620.12259,720,20374.03,63696.49854,0
1672614000000,3.124,3.135,3.104,3.108,105278.52,1672617599999,328417.24504,1109,37698.57,117526.58888,0
1672617600000,3.109,3.12,3.072,3.077,163905.71,1672621199999,506574.1208,1531,63545.98,196463.80071,0
1672621200000,3.077,3.078,3.046,3.064,159453.79,1672624799999,488394.91118,2101,75240.76,230439.03457,0
1672624800000,3.064,3.078,3.033,3.061,446437.93,1672628399999,1362937.26269,2313,139661.64,426114.74679,0
1672628400000,3.061,3.088,3.06,3.079,137908.23,1672631999999,424066.33478,1191,70925.64,218038.61093,0
1672632000000,3.079,3.083,3.065,3.077,64152.33,1672635599999,197216.71578,633,38053.02,116991.68021,0
