open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1560225600000,0.0359,0.045,0.03,0.03838,403913872.3,1560239999999,15433061.999569,31469,188096799.5,7159358.365791,0
1560240000000,0.03838,0.0384,0.03393,0.03616,103850288.0,1560254399999,3756637.233199,9097,37407332.9,1351758.588265,0
1560254400000,0.03616,0.0375,0.0343,0.03655,109180218.2,1560268799999,3925283.352428,8468,50758186.6,1829334.572423,0
1560268800000,0.03655,0.0371,0.03473,0.03502,60805997.2,1560283199999,2176704.789459,5332,26916011.9,964778.276496,0
1560283200000,0.035,0.035,0.03197,0.0324,89492398.9,1560297599999,2979117.430556,6819,32946278.8,1095910.452526,0
1560297600000,0.03235,0.03321,0.0308,0.03153,61940104.1,1560311999999,1983246.272902,4104,18902448.0,606210.391538,0
1560312000000,0.03155,0.0329,0.03155,0.03235,51773515.8,1560326399999,1663238.295699,3555,19981276.6,643638.283817,0
1560326400000,0.03235,0.03366,0.03122,0.03193,61305481.9,1560340799999,1995949.463218,5104,26913979.8,877303.020801,0
1560340800000,0.03194,0.03217,0.03115,0.03207,34579498.7,1560355199999,1093807.7357,3186,12336716.2,391171.690076,0
1560355200000,0.03207,0.0333,0.03186,0.03281,42780308.9,1560369599999,1401252.771959,3337,20700478.0,678545.742953,0
1560369600000,0.03279,0.03279,0.03152,0.03218,26514108.9,1560383999999,855136.797221,2266,10612468.6,343142.882886,0
1560384000000,0.0322,0.0355,0.03216,0.03472,79579633.1,1560398399999,2738442.702228,4475,36808485.2,1261905.884852,0
1560398400000,0.03478,0.036,0.03361,0.03472,73839561.6,1560412799999,2565234.685664,6001,36821984.3,1282057.917876,0
1560412800000,0.03472,0.0351,0.0323,0.0333,68763127.8,1560427199999,2292484.217469,4155,36127472.6,1201740.190616,0
1560427200000,0.03338,0.03338,0.03212,0.03288,33240852.6,1560441599999,1083883.426224,3024,13360316.8,436290.312318,0
1560441600000,0.0329,0.03293,0.03011,0.03048,66473677.3,1560455999999,2067064.234693,5033,23121874.6,717206.307785,0
1560456000000,0.03053,0.03099,0.02932,0.03009,43120131.8,1560470399999,1300286.912722,3405,21565068.5,649024.613432,0
1560470400000,0.03015,0.03108,0.0296,0.03077,29655210.1,1560484799999,899468.725766,2320,13264945.0,402952.400689,0
1560484800000,0.03077,0.03077,0.02903,0.02929,25707080.8,1560499199999,760758.060916,2386,8851732.5,261781.774793,0
1560499200000,0.02931,0.02946,0.02666,0.02687,53024672.9,1560513599999,1492395.227974,3614,20664626.3,582712.998332,0
1560513600000,0.02688,0.02819,0.02587,0.02629,54219799.9,1560527999999,1461097.848319,4219,24056419.2,649799.721671,0
1560528000000,0.02629,0.02898,0.02529,0.02797,47673904.7,1560542399999,1286381.163171,3545,21364822.4,578273.857657,0
1560542400000,0.02798,0.02812,0.02664,0.02737,21584569.8,1560556799999,590605.56428,1972,9596476.3,262800.068493,0
1560556800000,0.02737,0.02847,0.02724,0.02792,16096829.1,1560571199999,447515.598875,1425,9532366.2,265157.294965,0
1560571200000,0.02792,0.02922,0.02775,0.0284,20277795.6,1560585599999,575675.258586,1962,8644172.2,245783.358391,0
1560585600000,0.02836,0.03006,0.02813,0.02939,22041712.9,1560599999999,646208.792354,2174,12071706.1,354206.040786,0
1560600000000,0.02939,0.02999,0.02691,0.02732,39263929.7,1560614399999,1120302.3887,3251,15916952.6,455064.600065,0
1560614400000,0.02733,0.02754,0.02563,0.02611,41513946.2,1560628799999,1101431.442214,2879,15382205.1,408772.240967,0
1560628800000,0.0262,0.02749,0.02609,0.0268,20506405.0,1560643199999,550514.140538,1587,11218061.4,301279.485483,0
1560643200000,0.02701,0.0272,0.02605,0.02655,12430487.6,1560657599999,330745.293766,1170,4807623.3,128096.077178,0
1560657600000,0.02655,0.0268,0.02564,0.0265,27332227.5,1560671999999,716022.603544,2071,9551533.4,251274.930034,0
1560672000000,0.0265,0.02711,0.026,0.02683,21723459.2,1560686399999,577689.600097,1663,9622205.7,256886.164264,0
1560686400000,0.0268,0.02736,0.02631,0.0269,25120388.9,1560700799999,672223.576115,1784,7740783.4,207634.638662,0
1560700800000,0.0269,0.02749,0.02641,0.02722,13668873.7,1560715199999,367740.529236,1298,7541712.9,203597.653404,0
1560715200000,0.02726,0.02749,0.02651,0.0268,14452729.2,1560729599999,389921.43166,1338,6882843.4,186350.678857,0
1560729600000,0.02677,0.028,0.02677,0.02799,20931140.1,1560743999999,574258.170355,1735,12623286.4,347325.318464,0
1560744000000,0.028,0.02895,0.02745,0.0278,35653247.5,1560758399999,1008742.567431,3043,20633253.3,585848.357219,0
