open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1630454400000,0.02103,0.14675,0.02103,0.10046,53466242624.0,1633046399999,5245805087.18049,9617062,26922488769.0,2647412789.88279,0
1633046400000,0.10042,0.1236,0.06969,0.0954,26868721796.0,1635724799999,2590718384.9739,7241043,13307366187.0,1283785422.9215,0
1635724800000,0.09543,0.84128,0.074,0.6211,52813271859.0,1638316799999,17780485827.40589,28432092,26589308642.0,8956034194.29996,0
1638316800000,0.6211,0.6788,0.36929,0.45045,20994467334.0,1640995199999,10604985354.05725,18787295,10346747877.0,5230864710.88355,0
1640995200000,0.45035,0.46478,0.15386,0.19794,18731043701.0,1643673599999,5076271085.223,10920030,9129278691.0,2469296207.357,0
1643673600000,0.19795,0.3958,0.17796,0.26064,33557565211.0,1646092799999,9414870492.88608,18507926,16676593478.0,4678539838.29919,0
1646092800000,0.26059,0.29151,0.20929,0.25436,23041768857.0,1648771199999,5606045213.22214,9878925,11366658136.0,2767302717.32833,0
1648771200000,0.25438,0.27825,0.12,0.13155,12131056605.0,1651363199999,2545896177.60219,6073376,5877685383.0,1232294922.56948,0
1651363200000,0.13154,0.16566,0.04935,0.0831,30202790857.0,1654041599999,2864868644.8924,10907395,15036367016.0,1426424106.37643,0
1654041600000,0.08309,0.0906,0.04968,0.05445,25796796038.0,1656633599999,1640049317.78809,7200485,12668044524.0,805407306.85569,0
1656633600000,0.05445,0.06338,0.04411,0.05702,23583257044.0,1659311999999,1265753642.6684,5009837,11505818498.0,617928912.36623,0
1659312000000,0.05703,0.07284,0.04868,0.05039,21051152780.0,1661990399999,1259826777.90115,4301926,10233524397.0,612819059.98131,0
1661990400000,0.05039,0.0538,0.03844,0.04051,11365209638.0,1664582399999,519947576.68293,1821204,5145507603.0,237007054.00527,0
1664582400000,0.0405,0.04907,0.03135,0.04199,13796854978.0,1667260799999,539667152.71832,1925274,6188434170.0,242846036.32201,0
1667260800000,0.04198,0.044,0.02384,0.02593,25791834207.0,1669852799999,838200678.06885,3572279,12337671627.0,401104873.33206,0
1669852800000,0.02594,0.02812,0.01542,0.01664,12135988316.0,1672531199999,271905959.64066,1119719,5742758177.0,128884303.90544,0
1672531200000,0.01666,0.06293,0.01635,0.05417,72044614635.0,1675209599999,3177999358.15978,8461260,35135696309.0,1551465502.37796,0
1675209600000,0.05418,0.05865,0.03801,0.03953,26181340189.0,1677628799999,1272861499.80871,3639026,12641547966.0,615167172.82295,0
1677628800000,0.03954,0.051,0.02993,0.0414,36801096425.0,1680307199999,1475367411.46762,4628486,18164222703.0,729226939.83421,0
1680307200000,0.04139,0.05,0.03654,0.03941,27061260044.0,1682899199999,1139574884.39052,2902019,13395754935.0,564412357.36114,0
