open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1631512800000,0.02103,0.07805,0.02103,0.07499,415615378.0,1631513099999,26054778.70234,43958,223504375.0,13950481.66022,0
1631513100000,0.07502,0.07572,0.058,0.06046,195599714.0,1631513399999,12743845.43526,19570,99172465.0,6513820.61276,0
1631513400000,0.06073,0.065,0.06037,0.0621,106857755.0,1631513699999,6681649.98543,9964,55848966.0,3498329.93196,0
1631513700000,0.06211,0.063,0.05269,0.05442,113346176.0,1631513999999,6491007.01124,11155,49186826.0,2838742.16281,0
1631514000000,0.05442,0.059,0.05263,0.05809,98289030.0,1631514299999,5515337.39898,9539,57924736.0,3254495.12487,0
1631514300000,0.05816,0.0596,0.05552,0.05729,60122192.0,1631514599999,3463892.74477,6470,31675293.0,1828627.40368,0
1631514600000,0.05732,0.05845,0.05532,0.05587,40125498.0,1631514899999,2290918.45276,5060,22067147.0,1263422.28605,0
1631514900000,0.05593,0.0586,0.05569,0.05797,36897146.0,1631515199999,2107120.46026,4192,22167845.0,1268232.67101,0
1631515200000,0.058,0.06066,0.05735,0.06011,63609523.0,1631515499999,3784368.39326,7383,38030358.0,2264330.87572,0
1631515500000,0.0601,0.0615,0.05676,0.061,67540467.0,1631515799999,3988400.63101,6103,38108349.0,2255599.73499,0
1631515800000,0.06106,0.06884,0.05956,0.06465,119306007.0,1631516099999,7693469.26457,11997,69123832.0,4449263.43878,0
1631516100000,0.06438,0.0665,0.06284,0.06577,114389508.0,1631516399999,7411642.30806,10591,60702309.0,3937796.70657,0
1631516400000,0.06577,0.07487,0.06562,0.07335,186154470.0,1631516699999,13161659.62485,18226,107814747.0,7630070.34968,0
1631516700000,0.07349,0.07357,0.06759,0.07115,124528493.0,1631516999999,8810415.00876,14429,56397794.0,3992551.825,0
1631517000000,0.07104,0.07707,0.07102,0.07577,163596879.0,1631517299999,12186878.85824,18003,88394225.0,6593569.74046,0
1631517300000,0.07588,0.077,0.07153,0.0757,113110378.0,1631517599999,8424680.52259,12931,57307272.0,4278708.52501,0
1631517600000,0.0757,0.0757,0.07134,0.07361,81012285.0,1631517899999,5949497.3229,9759,44760846.0,3290779.9328,0
1631517900000,0.07371,0.0749,0.07216,0.0737,45067955.0,1631518199999,3316930.6833,6083,23445274.0,1727462.32567,0
1631518200000,0.0737,0.0737,0.06801,0.07042,86677564.0,1631518499999,6090492.68513,10899,40126969.0,2824923.46359,0
1631518500000,0.07036,0.0718,0.06846,0.07095,52736731.0,1631518799999,3699872.9292,6300,28182010.0,1979007.63739,0
1631518800000,0.07086,0.07119,0.06629,0.06636,56079348.0,1631519099999,3861455.44635,7120,24266955.0,1673922.41157,0
1631519100000,0.06631,0.06776,0.06423,0.06651,77026265.0,1631519399999,5078146.80602,7980,39874545.0,2638016.27819,0
1631519400000,0.06652,0.06747,0.065,0.06698,45090890.0,1631519699999,2992586.83341,6246,23618876.0,1569023.10534,0
1631519700000,0.06697,0.07078,0.066,0.06886,67250656.0,1631519999999,4637001.23072,8998,37307010.0,2572630.17834,0
1631520000000,0.06899,0.0702,0.06649,0.06704,43616408.0,1631520299999,2989073.62097,5617,22768294.0,1561108.28404,0
1631520300000,0.06704,0.06814,0.06215,0.06284,74407878.0,1631520599999,4831802.43505,8193,32323557.0,2100673.72264,0
1631520600000,0.06272,0.06456,0.06191,0.0637,59124166.0,1631520899999,3737123.44047,7182,32534827.0,2060433.00238,0
