open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672617600000,0.01687,0.04075,0.0165,0.03443,10491243555.0,1673222399999,265301589.25856,947764,5099924682.0,129065741.01984,0
1673222400000,0.03442,0.05573,0.03144,0.04889,32023080011.0,1673827199999,1395266927.14271,3559494,15651962451.0,682433668.47774,0
1673827200000,0.04889,0.05556,0.04271,0.04878,12975481643.0,1674431999999,631811040.58531,1679810,6274782348.0,305739408.41347,0
1674432000000,0.04878,0.06293,0.0459,0.05911,13934435277.0,1675036799999,749683375.50882,1901762,6914067444.0,372212228.98709,0
1675036800000,0.05911,0.05954,0.05035,0.05403,8441687897.0,1675641599999,465972598.64269,1235132,4030769338.0,222638414.45573,0
1675641600000,0.05402,0.05725,0.04232,0.04361,5923223872.0,1676246399999,292689909.99672,919562,2822723231.0,139556165.71498,0
1676246400000,0.04363,0.053,0.0404,0.04716,7329260728.0,1676851199999,343670883.02966,965246,3561050484.0,167113681.3072,0
1676851200000,0.04716,0.04928,0.03801,0.04117,5778803496.0,1677455999999,257970199.68634,732514,2789064120.0,124630217.85735,0
1677456000000,0.04117,0.04276,0.034,0.03625,4164910361.0,1678060799999,160990927.25794,503642,1988985089.0,76931477.66428,0
1678060800000,0.03623,0.03999,0.02993,0.03505,6699295269.0,1678665599999,230719935.26814,826017,3253779594.0,112091774.44174,0
1678665600000,0.03504,0.051,0.03408,0.04633,12987536706.0,1679270399999,548370191.1824,1757330,6510152491.0,275219050.16464,0
1679270400000,0.04633,0.048,0.03784,0.03991,8869846616.0,1679875199999,373319682.24977,1144618,4344404283.0,182854112.68467,0
1679875200000,0.0399,0.04283,0.03603,0.04056,6488718650.0,1680479999999,260041882.35134,683943,3253414010.0,130463073.08825,0
1680480000000,0.04056,0.04199,0.03862,0.04002,4753519066.0,1681084799999,191565869.13233,501518,2339155477.0,94302793.08363,0
1681084800000,0.04004,0.04494,0.0395,0.0441,5931623173.0,1681689599999,252659585.20988,636203,2936662321.0,125136496.98799,0
1681689600000,0.0441,0.05,0.03885,0.04007,10528322234.0,1682294399999,464287607.50045,1117640,5211051596.0,229936081.22396,0
1682294400000,0.04007,0.04156,0.03654,0.03931,4548270150.0,1682899199999,177846414.56903,502565,2256602659.0,88308514.35107,0
