open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1669593600000,0.1,5.0,0.1,2.249,204815418.1,1670198399999,478101573.89528,1262975,95298531.2,223326629.9471,0
1670198400000,2.249,3.1111,1.984,2.062,150191804.5,1670803199999,370572620.03357,972228,68636137.2,170449197.83783,0
1670803200000,2.0633,2.1,1.5004,1.6,107679057.4,1671407999999,194341098.44069,610366,48231437.7,87064298.22633,0
1671408000000,1.6008,1.6213,1.2176,1.2535,50772058.5,1672012799999,72451261.84812,288837,23735252.4,33880056.5851,0
1672012800000,1.2554,1.3899,1.0789,1.3366,47408233.6,1672617599999,57944065.95123,238873,23424203.7,28695328.53926,0
1672617600000,1.3366,1.4892,1.2196,1.3116,39979911.7,1673222399999,53715184.49139,212947,18835100.3,25318469.17459,0
1673222400000,1.3116,1.88,1.2931,1.7537,77940810.7,1673827199999,118590976.34565,433183,37177068.4,56604528.43304,0
1673827200000,1.7518,2.468,1.49,2.3086,93413349.7,1674431999999,184805535.60523,691973,45097790.9,89423689.81268,0
1674432000000,2.3086,3.8688,2.2732,3.4152,206127773.7,1675036799999,624224510.64631,2301265,103400068.9,313133666.39124,0
1675036800000,3.4152,3.7184,2.6,3.7156,150957480.9,1675641599999,472300220.28463,1672248,74147569.7,232526566.47428,0
1675641600000,3.7162,4.1,2.401,2.4838,191247549.0,1676246399999,608126011.9202,1907531,93874832.7,299140137.85845,0
1676246400000,2.4818,3.12,2.1866,2.6763,157393216.0,1676851199999,420900693.359,1276330,76098481.6,203765948.80791,0
1676851200000,2.6791,2.7409,2.2008,2.41,97694545.9,1677455999999,243895940.45981,835289,46848441.8,116962618.44538,0
1677456000000,2.41,2.55,1.8,1.929,73176375.3,1678060799999,161881633.73879,643869,34240790.0,75876347.50282,0
1678060800000,1.9287,2.0108,1.478,1.7846,73150902.7,1678665599999,125716909.26423,667172,34867274.9,59937577.7256,0
1678665600000,1.7835,2.4132,1.7108,2.2386,144007989.2,1679270399999,299931051.48548,1331052,70899840.2,147613096.61496,0
1679270400000,2.2391,2.2814,1.803,1.8943,72910108.1,1679875199999,146022191.40307,736278,35632338.7,71383245.9804,0
1679875200000,1.894,2.1999,1.68,1.7749,64952318.0,1680479999999,120252919.499,565743,31639411.0,58652762.31659,0
1680480000000,1.7747,1.852,1.6628,1.7616,35376112.8,1681084799999,61921527.3872,300563,17006102.8,29780241.42829,0
1681084800000,1.7614,2.408,1.7,2.3854,93187083.6,1681689599999,191413460.10162,718855,46122422.9,94985391.23095,0
1681689600000,2.3855,2.54,1.8022,1.8791,92475643.8,1682294399999,194674612.27528,771776,43675869.5,92058141.92894,0
1682294400000,1.8785,2.1093,1.8031,1.9423,51393924.6,1682899199999,101205434.33487,491037,24774164.5,48813773.23465,0
