open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672531200000,1.196,1.3899,1.1863,1.3366,11062409.2,1672617599999,14413984.40048,57991,5905090.3,7690752.6656,0
1672617600000,1.3366,1.4256,1.2886,1.3236,8375771.5,1672703999999,11410951.33761,47799,3836617.0,5233778.69291,0
1672704000000,1.3241,1.3949,1.28,1.3318,5425433.4,1672790399999,7236779.53294,30155,2561840.9,3416767.19104,0
1672790400000,1.3322,1.4892,1.3075,1.4281,6971418.0,1672876799999,9774634.7359,36614,3273748.8,4605495.23608,0
1672876800000,1.4287,1.4833,1.3494,1.3597,5259044.6,1672963199999,7347977.52722,28950,2369130.6,3312161.97043,0
1672963200000,1.3604,1.371,1.2196,1.3145,6290508.1,1673049599999,8064736.77449,30390,3111787.2,3992421.08839,0
1673049600000,1.3145,1.3341,1.248,1.2785,4340221.1,1673135999999,5593341.40768,22228,2157642.7,2786224.89968,0
1673136000000,1.2788,1.3341,1.2621,1.3116,3317515.0,1673222399999,4286763.17555,16811,1524333.1,1971620.09606,0
1673222400000,1.3116,1.668,1.2931,1.4057,14964750.3,1673308799999,21810509.42782,72914,7197468.4,10515639.79419,0
1673308800000,1.4058,1.58,1.3901,1.4493,10029917.6,1673395199999,14744632.00553,48961,4606362.4,6785014.94709,0
1673395200000,1.4501,1.4819,1.3331,1.4172,5882138.9,1673481599999,8204217.98934,32600,2788713.0,3895164.10175,0
1673481600000,1.4172,1.451,1.3347,1.448,8441379.5,1673567999999,11691184.5058,48567,4194983.1,5821340.87299,0
1673568000000,1.448,1.55,1.4002,1.5003,10324699.6,1673654399999,15148908.16379,68336,4921648.3,7227433.82356,0
1673654400000,1.4998,1.76,1.475,1.6416,16551851.4,1673740799999,26929909.04511,90873,7861150.8,12784495.82085,0
1673740800000,1.6418,1.88,1.5401,1.7537,11746073.4,1673827199999,20061615.20826,70932,5606742.4,9575439.07261,0
1673827200000,1.7518,1.85,1.6397,1.7107,7608560.3,1673913599999,13188889.03522,51320,3499533.6,6075651.20739,0
1673913600000,1.7107,1.8204,1.6234,1.7081,6530525.3,1673999999999,11261084.31018,45682,2997591.4,5175915.5779,0
1674000000000,1.7067,1.8043,1.49,1.534,8608877.7,1674086399999,14159292.43343,51040,4062915.8,6688093.9729,0
1674086400000,1.5351,1.6177,1.5,1.5668,4190558.1,1674172799999,6506554.85037,31481,2023468.2,3143378.57635,0
1674172800000,1.5685,2.1061,1.5646,2.0105,27419553.8,1674259199999,51886051.13971,175814,13404074.3,25364108.47554,0
