open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,1.1934,1.197,1.1768,1.1957,242680.9,1672504199999,287769.35462,1104,100760.7,119586.6647,0
1672504200000,1.1965,1.2,1.1909,1.1981,118965.4,1672505999999,142380.61334,444,67112.0,80401.71098,0
1672506000000,1.1981,1.2448,1.1847,1.2058,848816.0,1672507799999,1034943.9157,3117,527487.5,643326.48795,0
1672507800000,1.2058,1.2306,1.1935,1.2016,459213.1,1672509599999,556722.95646,1802,296102.2,358945.64159,0
1672509600000,1.2008,1.2045,1.1927,1.1942,46867.0,1672511399999,56089.5107,459,16578.3,19845.91946,0
1672511400000,1.1941,1.1967,1.194,1.1956,18310.6,1672513199999,21896.27627,120,13704.5,16391.82733,0
1672513200000,1.1956,1.1986,1.1948,1.1986,14363.9,1672514999999,17194.67932,149,8689.8,10403.46942,0
1672515000000,1.1986,1.2047,1.1938,1.1943,50579.9,1672516799999,60673.11182,273,24323.4,29209.34071,0
1672516800000,1.194,1.195,1.189,1.189,67261.3,1672518599999,80150.14098,221,18496.9,22044.97479,0
1672518600000,1.1898,1.1908,1.1853,1.1867,33012.1,1672520399999,39193.83187,161,18863.5,22389.9473,0
1672520400000,1.1868,1.193,1.1868,1.1891,20773.6,1672522199999,24711.22084,135,15003.1,17844.92485,0
1672522200000,1.1893,1.1933,1.1893,1.1914,11092.0,1672523999999,13224.45489,114,6088.0,7257.74199,0
1672524000000,1.191,1.1929,1.19,1.1929,13238.6,1672525799999,15772.37943,94,8579.0,10222.40312,0
1672525800000,1.1929,1.1939,1.1867,1.1875,10184.9,1672527599999,12122.78968,117,3648.6,4342.2965,0
1672527600000,1.1875,1.1925,1.1846,1.1909,28941.8,1672529399999,34380.33712,148,13564.9,16117.20762,0
1672529400000,1.1911,1.1967,1.1884,1.1964,28704.5,1672531199999,34259.44575,195,15269.5,18233.27272,0
1672531200000,1.196,1.2199,1.196,1.2058,140467.7,1672532999999,169883.21399,794,78655.2,95126.28758,0
1672533000000,1.2058,1.2094,1.1863,1.1902,65528.5,1672534799999,78347.83208,461,22479.1,26905.48633,0
1672534800000,1.1897,1.1965,1.1897,1.1922,55505.8,1672536599999,66265.88569,219,26878.2,32091.88597,0
1672536600000,1.1939,1.1939,1.19,1.1915,10906.7,1672538399999,12984.60605,94,3243.0,3861.68883,0
1672538400000,1.1909,1.1989,1.19,1.1973,25662.3,1672540199999,30658.07052,156,14465.4,17287.00119,0
1672540200000,1.1984,1.22,1.193,1.2175,129348.2,1672541999999,156564.21591,709,78904.6,95451.09224,0
1672542000000,1.217,1.218,1.1972,1.2138,129849.3,1672543799999,157099.73289,799,60353.8,73055.86388,0
1672543800000,1.214,1.2215,1.2089,1.2089,62971.4,1672545599999,76602.0374,475,32618.9,39696.38044,0
1672545600000,1.2095,1.2298,1.2065,1.2216,284849.7,1672547399999,347997.84703,871,165300.9,201722.40878,0
1672547400000,1.2215,1.2231,1.2112,1.212,71533.4,1672549199999,87162.49934,361,28061.2,34200.88497,0
1672549200000,1.212,1.23,1.2111,1.2289,64882.4,1672550999999,79318.68673,359,47995.9,58726.06386,0
1672551000000,1.2289,1.246,1.2247,1.2282,251437.2,1672552799999,310585.96023,972,145760.7,180117.16999,0
1672552800000,1.2283,1.2299,1.22,1.224,64245.2,1672554599999,78666.45874,421,20140.8,24667.73027,0
1672554600000,1.2239,1.245,1.2201,1.2431,154579.5,1672556399999,190326.38364,673,110969.8,136714.34341,0
1672556400000,1.2433,1.25,1.2309,1.2444,214150.2,1672558199999,266745.92873,980,127454.5,158943.65954,0
