open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672509600000,1.2008,1.2047,1.1846,1.1964,343330.2,1672531199999,409668.17867,2186,162809.5,194303.32581,0
1672531200000,1.196,1.246,1.1863,1.2282,1292942.6,1672552799999,1573470.58786,6270,704716.9,858242.21406,0
1672552800000,1.2283,1.2799,1.22,1.2536,1958682.4,1672574399999,2443135.7354,10267,1104938.2,1379314.44601,0
1672574400000,1.2536,1.3899,1.2534,1.3066,5783583.3,1672595999999,7727873.12444,29342,3015939.7,4031603.36891,0
1672596000000,1.3066,1.365,1.2762,1.3366,2027200.9,1672617599999,2669504.95278,12112,1079495.5,1421592.63662,0
1672617600000,1.3366,1.4256,1.3225,1.403,3029121.0,1672639199999,4206005.64323,17886,1472060.2,2044794.10966,0
1672639200000,1.404,1.4237,1.3332,1.352,2322132.5,1672660799999,3199864.4464,14113,1026185.1,1416151.31821,0
1672660800000,1.352,1.3604,1.2886,1.3214,2295395.8,1672682399999,3042577.84624,11413,985685.7,1307085.66673,0
1672682400000,1.322,1.33,1.3069,1.3236,729122.2,1672703999999,962503.40174,4387,352686.0,465747.59831,0
1672704000000,1.3241,1.3463,1.28,1.3356,1586887.5,1672725599999,2077988.39138,7843,848376.8,1111688.13241,0
1672725600000,1.336,1.3949,1.3148,1.356,1815515.5,1672747199999,2460406.35873,9781,881640.1,1196278.55397,0
1672747200000,1.3552,1.3797,1.2921,1.303,1713170.0,1672768799999,2290538.6647,9794,668842.8,894130.04166,0
1672768800000,1.303,1.335,1.302,1.3318,309860.4,1672790399999,407846.11813,2737,162981.2,214670.463,0
1672790400000,1.3322,1.3869,1.3075,1.3596,1454731.5,1672811999999,1972101.76805,7339,647681.0,878903.73728,0
1672812000000,1.3605,1.4103,1.3566,1.3599,1377698.1,1672833599999,1910023.16185,7097,559775.7,778180.30791,0
1672833600000,1.3603,1.4892,1.347,1.4364,3207411.3,1672855199999,4562704.6366,15869,1670782.0,2382819.56859,0
1672855200000,1.4362,1.4493,1.407,1.4281,931577.1,1672876799999,1329805.1694,6309,395510.1,565591.6223,0
1672876800000,1.4287,1.4833,1.4,1.4532,1245952.2,1672898399999,1794505.80432,7360,588098.9,848147.47567,0
1672898400000,1.4529,1.4601,1.3494,1.3686,2537015.2,1672919999999,3532071.06966,12453,1066229.7,1484692.00076,0
1672920000000,1.3693,1.3898,1.3497,1.3779,1045021.8,1672941599999,1431401.95792,6487,517214.3,708785.53467,0
1672941600000,1.378,1.3821,1.353,1.3597,431055.4,1672963199999,589998.69532,2650,197587.7,270536.95933,0
1672963200000,1.3604,1.371,1.2919,1.3,1580390.2,1672984799999,2083881.10619,6219,863711.3,1136191.01996,0
1672984800000,1.3,1.3143,1.2196,1.2418,2113906.8,1673006399999,2659717.26133,9724,952729.0,1197964.78119,0
1673006400000,1.2419,1.3356,1.2299,1.288,2053592.0,1673027999999,2618478.66326,10406,1033225.9,1318834.18865,0
1673028000000,1.2879,1.3172,1.2695,1.3145,542619.1,1673049599999,702659.74371,4041,262121.0,339431.09859,0
1673049600000,1.3145,1.3145,1.2792,1.3054,631531.5,1673071199999,819221.83619,3746,328240.6,425995.45911,0
1673071200000,1.3054,1.3054,1.2632,1.2705,822411.7,1673092799999,1050527.42953,5653,310215.4,396117.35418,0
1673092800000,1.2704,1.3341,1.248,1.2778,2450088.4,1673114399999,3166368.27728,10337,1330002.5,1722144.89315,0
1673114400000,1.2785,1.29,1.267,1.2785,436189.5,1673135999999,557223.86468,2492,189184.2,241967.19324,0
1673136000000,1.2788,1.29,1.2621,1.287,374360.4,1673157599999,478048.65981,2135,158566.7,202427.24802,0
1673157600000,1.2872,1.3087,1.2724,1.2829,792321.3,1673179199999,1019421.81252,4127,355350.8,457629.11826,0
1673179200000,1.2855,1.3341,1.2763,1.3159,1012759.9,1673200799999,1314405.27796,5356,494027.9,641903.58029,0
1673200800000,1.3154,1.3169,1.2766,1.3116,1138073.4,1673222399999,1474887.42526,5193,516387.7,669660.14949,0
