open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1620691200000,249.28,2831.02,249.28,579.82,595994.19,1620705599999,265137179.3483,256448,272876.69,124124409.3021,0
1620705600000,574.31,600.0,430.44,454.07,415834.88,1620719999999,197305306.2167,188090,185170.41,87969546.1776,0
1620720000000,454.41,455.0,386.81,403.28,216046.92,1620734399999,89385096.4248,107016,107294.02,44364243.7995,0
1620734400000,403.28,425.0,376.55,410.63,221127.99,1620748799999,88798198.43,122108,122873.19,49482193.7787,0
1620748800000,410.6,411.78,357.56,362.12,146950.45,1620763199999,55731230.7323,91656,70661.01,26737083.6652,0
1620763200000,362.12,420.0,350.0,364.01,177668.57,1620777599999,68234888.7845,126327,92909.63,35794914.8759,0
1620777600000,364.06,390.0,354.0,376.58,141427.97,1620791999999,52466622.2527,73384,68500.2,25457516.4909,0
1620792000000,376.61,389.9,334.0,346.52,154702.96,1620806399999,55071064.5853,80460,83293.53,29671375.5057,0
1620806400000,345.69,363.03,330.33,350.28,172333.76,1620820799999,59306893.5177,101085,95472.58,32859546.3047,0
1620820800000,350.06,350.75,284.54,290.12,390832.69,1620835199999,120091610.8399,149607,195117.33,59877433.8152,0
1620835200000,290.51,325.84,280.0,304.85,288265.28,1620849599999,86990267.6639,116959,146515.02,44279707.9141,0
1620849600000,304.85,305.0,255.0,258.02,143791.87,1620863999999,40589906.3985,58236,62677.72,17735880.7644,0
1620864000000,258.0,329.0,252.0,310.96,221762.51,1620878399999,65248436.6083,82479,115711.78,34001514.3695,0
1620878400000,310.96,346.81,304.39,311.04,143775.27,1620892799999,46413764.6594,61893,75888.32,24518472.9113,0
1620892800000,311.39,315.81,270.0,300.76,179724.7,1620907199999,52398548.2401,67619,85494.45,25025439.647,0
1620907200000,300.75,309.85,280.25,292.85,87003.66,1620921599999,25813729.9478,39129,46156.53,13716075.3798,0
1620921600000,292.86,305.0,272.16,282.04,90155.63,1620935999999,25656422.0475,41247,46187.5,13160819.7148,0
1620936000000,282.02,319.0,280.2,301.44,92807.86,1620950399999,28121141.9361,50625,49788.32,15095509.286,0
1620950400000,301.48,337.0,297.0,335.99,146871.39,1620964799999,47577858.3622,70890,79348.94,25713897.0651,0
1620964800000,335.99,341.0,305.23,314.42,94800.63,1620979199999,30480075.6191,47808,50029.64,16092914.3186,0
1620979200000,314.42,326.78,309.86,316.97,61153.66,1620993599999,19424178.8454,34830,34391.63,10929874.2204,0
1620993600000,316.71,321.6,311.13,317.5,63184.9,1621007999999,19931984.6444,29383,31173.46,9840090.2779,0
1621008000000,317.48,317.8,300.0,301.68,56903.7,1621022399999,17506192.7872,30189,29504.68,9077157.059,0
1621022400000,301.1,316.5,291.39,304.13,39264.81,1621036799999,11866952.8221,30989,19220.99,5825046.4098,0
1621036800000,304.1,305.03,294.51,294.85,40509.14,1621051199999,12138164.2694,23043,17725.18,5318601.2968,0
1621051200000,294.68,299.05,280.0,282.37,103656.6,1621065599999,29716463.6537,43398,55455.02,15886889.9386,0
1621065600000,282.37,288.0,275.08,281.99,107319.23,1621079999999,30215362.8392,65590,55448.21,15626183.6411,0
1621080000000,282.03,284.55,261.27,268.89,115970.97,1621094399999,31468143.392,50320,60272.74,16362136.4059,0
1621094400000,268.9,268.9,240.0,246.8,111050.63,1621108799999,28157355.6712,59920,50366.29,12777725.5124,0
1621108800000,246.77,266.0,242.26,246.06,61509.32,1621123199999,15628401.3391,37516,33445.86,8495440.6921,0
1621123200000,246.06,261.95,240.0,253.24,80859.45,1621137599999,20296917.2833,35168,41299.77,10360520.8942,0
1621137600000,253.23,263.68,250.95,252.31,58199.09,1621151999999,14897788.5342,32921,32109.25,8219251.6215,0
1621152000000,252.31,255.99,245.83,253.78,67657.36,1621166399999,17021043.843,35729,35008.47,8803177.7726,0
1621166400000,253.93,259.88,241.34,241.4,64141.31,1621180799999,16052271.7928,30791,31847.85,7986576.2753,0
1621180800000,241.43,248.85,211.0,214.62,134395.8,1621195199999,30609542.3705,64103,60702.91,13860134.1702,0
1621195200000,214.95,235.85,205.07,225.19,102088.6,1621209599999,22490038.7736,39954,53242.58,11742168.8063,0
1621209600000,225.16,226.35,201.0,202.95,94991.59,1621223999999,20040428.9313,35947,45191.29,9541244.1713,0
1621224000000,202.76,222.65,199.0,222.05,95094.5,1621238399999,20125890.4883,33626,50145.85,10624962.3306,0
1621238400000,222.09,223.0,201.1,210.38,79390.73,1621252799999,16772665.5586,32481,43661.99,9206599.8782,0
1621252800000,210.29,214.23,199.0,200.5,83287.93,1621267199999,17250876.4445,30418,38591.43,7993258.0274,0
1621267200000,200.45,216.0,184.39,198.65,111808.34,1621281599999,21800688.1433,40524,55388.91,10812450.8189,0
1621281600000,198.82,208.7,191.0,195.59,56316.68,1621295999999,11186606.4992,20067,27202.66,5410724.3464,0
1621296000000,195.58,205.82,194.0,198.58,53800.6,1621310399999,10816901.0878,18452,30453.12,6124558.7465,0
1621310400000,198.44,203.66,195.0,200.51,59805.63,1621324799999,11964139.4627,19617,31602.34,6326845.1405,0
1621324800000,200.38,204.29,191.11,193.29,83675.36,1621339199999,16420935.0193,34010,41919.56,8224680.2722,0
1621339200000,193.29,193.29,166.76,174.25,220562.61,1621353599999,39249318.3326,76584,111467.89,19795627.1928,0
1621353600000,174.38,184.9,168.04,170.76,135528.91,1621367999999,23770456.5046,44133,68811.29,12066852.7317,0
1621368000000,170.52,173.6,160.34,163.47,137179.97,1621382399999,22855638.3289,48790,70962.05,11841049.8143,0
1621382400000,163.66,179.12,153.48,159.64,203310.82,1621396799999,33584163.3328,62248,99485.6,16471184.1769,0
1621396800000,159.88,161.05,135.59,144.11,243762.97,1621411199999,35719358.9829,62921,111896.02,16383002.8392,0
1621411200000,144.23,150.0,124.01,135.82,193976.26,1621425599999,27084959.2059,47823,93011.27,13053371.0244,0
1621425600000,135.48,140.34,92.0,128.98,290371.57,1621439999999,33824239.4622,59619,134361.61,15730140.9775,0
1621440000000,128.79,150.0,119.06,124.6,188627.01,1621454399999,24641593.6719,47017,94254.76,12354332.9154,0
1621454400000,124.6,134.0,115.72,122.79,154145.12,1621468799999,19374228.9596,32590,70618.4,8864044.0799,0
1621468800000,122.83,130.72,103.63,124.78,217243.05,1621483199999,25557857.9539,33783,109524.52,12902565.4639,0
1621483200000,124.83,224.11,124.2,186.0,1198857.55,1621497599999,216607730.8565,228103,655781.74,118246732.7671,0
1621497600000,186.01,207.36,170.81,173.21,826090.56,1621511999999,156409756.2323,228335,425714.64,80808414.2779,0
1621512000000,173.21,195.0,172.54,180.22,549413.98,1621526399999,101100003.1212,155515,281109.07,51765027.8894,0
1621526400000,180.22,186.74,157.07,165.75,646250.36,1621540799999,110824394.3581,150376,338599.88,58089705.9479,0
1621540800000,165.42,175.51,153.0,164.15,331701.85,1621555199999,54813730.7904,77735,164343.77,27194229.9592,0
1621555200000,163.92,186.91,162.94,168.3,316224.06,1621569599999,54597033.5447,73721,158733.61,27427513.0243,0
1621569600000,168.23,168.39,155.9,163.61,289463.63,1621583999999,46902473.7688,65434,151352.43,24538380.9646,0
1621584000000,163.28,184.59,160.02,174.46,384968.37,1621598399999,67053881.1096,87234,204030.58,35501324.6119,0
1621598400000,174.41,178.23,137.0,141.06,563151.83,1621612799999,86418559.925,122147,276604.06,42472341.3576,0
1621612800000,141.05,152.33,130.51,131.99,230198.38,1621627199999,32783954.1248,50261,114340.58,16302551.8575,0
1621627200000,131.93,150.0,120.0,145.88,242461.36,1621641599999,32953019.5749,57181,124897.04,17030338.7852,0
1621641600000,145.87,152.5,132.07,137.04,158626.68,1621655999999,22637717.2609,30547,77104.94,11013695.7295,0
1621656000000,137.04,139.88,124.76,135.56,220673.99,1621670399999,29058917.6637,40370,109598.03,14438235.5526,0
1621670400000,135.59,148.57,135.25,143.48,186155.9,1621684799999,26526348.8615,38305,97400.28,13893807.9453,0
1621684800000,143.25,146.68,133.0,138.78,163969.08,1621699199999,22897677.5103,33429,79660.64,11142126.494,0
1621699200000,138.78,169.53,134.69,151.62,311540.2,1621713599999,47368235.4433,85473,166874.71,25439509.5893,0
