open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640966400000,25.69,25.73,25.57,25.73,21698.91,1640967299999,556495.6148,1165,9344.46,239847.4192,0
1640967300000,25.73,25.82,25.66,25.82,16744.09,1640968199999,430818.3337,739,8239.52,212102.2783,0
1640968200000,25.82,25.82,25.57,25.59,20828.53,1640969099999,534726.7353,848,6242.79,160441.4509,0
1640969100000,25.59,25.61,25.17,25.22,45440.17,1640969999999,1153737.4555,4588,19513.09,495640.8505,0
1640970000000,25.21,25.36,25.05,25.11,61938.7,1640970899999,1560475.9382,2930,25937.93,654124.2997,0
1640970900000,25.11,25.2,24.85,24.89,65709.94,1640971799999,1640928.5316,3091,34371.51,857708.3014,0
1640971800000,24.89,25.04,24.83,25.0,29612.31,1640972699999,738990.7507,1567,14297.8,356944.8148,0
1640972700000,24.99,25.01,24.84,24.96,18302.32,1640973599999,456090.4522,763,8530.38,212571.2038,0
1640973600000,24.94,24.99,24.8,24.81,17849.92,1640974499999,444733.7817,644,10011.6,249473.1486,0
1640974500000,24.81,24.89,24.76,24.85,26393.14,1640975399999,655176.4253,1438,13585.88,337291.769,0
1640975400000,24.84,24.9,24.59,24.72,38716.12,1640976299999,957578.1152,2682,16975.63,420105.5904,0
1640976300000,24.72,24.77,24.61,24.68,14320.51,1640977199999,353575.8997,768,7106.08,175454.2831,0
1640977200000,24.68,24.72,24.5,24.56,22649.85,1640978099999,557148.7428,1317,10190.98,250837.7912,0
1640978100000,24.56,24.57,24.38,24.4,37579.95,1640978999999,918889.7085,2065,20531.03,501956.6437,0
1640979000000,24.39,24.61,24.35,24.37,34785.44,1640979899999,850435.2799,1671,14976.09,366121.4359,0
1640979900000,24.38,24.43,24.15,24.19,34050.73,1640980799999,826893.7713,2202,14710.78,357398.1068,0
1640980800000,24.19,24.57,24.16,24.44,28726.72,1640981699999,701890.8314,1689,17855.04,436366.4498,0
1640981700000,24.44,24.44,24.23,24.36,18034.67,1640982599999,438535.2298,835,10048.42,244301.2754,0
1640982600000,24.35,24.41,24.07,24.19,19587.57,1640983499999,474086.8588,1501,10817.06,261749.6768,0
1640983500000,24.18,24.18,24.0,24.07,30158.23,1640984399999,725612.383,1698,12535.37,301803.8904,0
1640984400000,24.07,24.25,24.02,24.07,19575.49,1640985299999,472356.9344,836,11669.17,281646.7571,0
1640985300000,24.07,24.26,24.04,24.26,13409.06,1640986199999,324095.3231,537,7530.14,181985.7709,0
1640986200000,24.26,24.52,24.26,24.35,43090.29,1640987099999,1050333.064,2413,23037.01,561680.8062,0
1640987100000,24.34,24.55,24.29,24.55,19853.39,1640987999999,484837.3206,737,13149.88,321003.7944,0
1640988000000,24.53,24.69,24.49,24.64,15722.88,1640988899999,386927.5899,922,7543.71,185584.0843,0
1640988900000,24.66,24.74,24.57,24.59,7404.7,1640989799999,182431.1892,669,3485.06,85892.4127,0
1640989800000,24.59,24.59,24.42,24.43,6380.05,1640990699999,156269.1511,298,909.81,22296.2546,0
1640990700000,24.42,24.64,24.39,24.5,8039.39,1640991599999,197255.6453,559,4678.16,114772.7692,0
1640991600000,24.5,24.67,24.49,24.64,7510.24,1640992499999,184766.1316,355,4860.8,119535.133,0
1640992500000,24.63,24.64,24.49,24.51,9132.74,1640993399999,224199.0122,381,4420.73,108508.769,0
1640993400000,24.51,24.64,24.51,24.58,11427.65,1640994299999,280738.5846,388,5840.8,143503.0086,0
1640994300000,24.57,24.59,24.38,24.4,8160.69,1640995199999,199811.9668,392,4162.28,101890.2013,0
1640995200000,24.42,24.66,24.4,24.61,17749.45,1640996099999,436073.7999,719,9421.56,231401.2746,0
1640996100000,24.6,24.67,24.54,24.65,11793.06,1640996999999,290287.9768,347,5438.39,133861.6943,0
1640997000000,24.65,24.85,24.61,24.8,17350.34,1640997899999,429191.4437,1238,8960.28,221628.0666,0
1640997900000,24.8,25.05,24.78,25.02,32295.8,1640998799999,805903.5393,2121,16816.25,419659.2714,0
1640998800000,25.03,25.15,24.9,25.14,17867.66,1640999699999,446914.6314,1339,9263.25,231663.6973,0
1640999700000,25.15,25.24,25.09,25.13,22667.25,1641000599999,570357.965,1386,12604.17,317205.1822,0
1641000600000,25.12,25.21,25.03,25.04,13254.46,1641001499999,333052.4409,524,5615.92,141189.836,0
1641001500000,25.03,25.1,24.96,24.99,8702.57,1641002399999,217663.5747,498,3938.49,98514.4947,0
1641002400000,24.97,25.14,24.97,25.11,12274.43,1641003299999,307941.3803,536,6158.83,154491.2121,0
1641003300000,25.12,25.19,25.05,25.09,10622.03,1641004199999,266802.1976,455,4630.08,116377.9412,0
1641004200000,25.08,25.12,25.04,25.09,10750.43,1641005099999,269635.1375,395,3404.06,85391.1801,0
1641005100000,25.09,25.16,25.06,25.08,10285.42,1641005999999,258264.2458,392,6084.32,152768.1706,0
1641006000000,25.07,25.1,25.02,25.09,7480.32,1641006899999,187427.0481,324,4165.19,104365.4778,0
1641006900000,25.09,25.15,25.03,25.04,5924.5,1641007799999,148603.5702,274,3190.51,80029.9528,0
1641007800000,25.02,25.1,25.02,25.09,7048.61,1641008699999,176669.651,239,4757.26,119238.9418,0
1641008700000,25.07,25.12,25.0,25.02,12349.73,1641009599999,309686.5337,359,7477.2,187551.7507,0
1641009600000,25.03,25.08,24.74,24.82,16617.31,1641010499999,414224.0049,1291,4378.19,109088.6588,0
1641010500000,24.82,24.89,24.8,24.84,15792.24,1641011399999,392364.9678,586,8604.01,213773.8087,0
1641011400000,24.85,24.87,24.77,24.82,8037.3,1641012299999,199553.2488,316,3913.12,97152.7148,0
1641012300000,24.82,24.93,24.78,24.8,12120.52,1641013199999,301493.8397,445,6109.23,151999.4008,0
