open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1641168000000,27.31,38.02,26.5,30.64,22999245.79,1641427199999,749530847.8858,1903448,11464253.95,373738077.8533,0
1641427200000,30.63,33.93,27.01,32.92,20312363.95,1641686399999,623350033.9994,1264008,9878690.12,303450719.4784,0
1641686400000,32.93,37.79,32.18,34.43,19768991.52,1641945599999,694288972.4507,1511603,9656670.07,339299110.3506,0
1641945600000,34.44,35.93,31.05,32.51,10171755.0,1642204799999,339681575.7776,710534,5007572.4,167318039.4902,0
1642204800000,32.52,33.98,28.62,29.64,6202698.48,1642463999999,194206723.4243,445410,2864000.03,89827742.1468,0
1642464000000,29.64,31.72,24.73,24.98,9277602.12,1642723199999,259352829.1559,527008,4597580.97,128701633.3631,0
1642723200000,24.97,25.51,18.06,21.28,15526088.78,1642982399999,346433643.4024,840716,7514097.11,167933738.0009,0
1642982400000,21.27,21.93,18.41,19.81,13050819.99,1643241599999,265243626.5433,574047,6603617.65,134270286.6992,0
1643241600000,19.81,21.36,18.49,20.17,9443793.55,1643500799999,186493295.6812,382188,4750662.68,93861015.2214,0
1643500800000,20.17,20.54,18.51,20.16,8010372.69,1643759999999,157766089.0049,307710,4077008.63,80360352.2596,0
1643760000000,20.15,22.39,19.92,22.26,11038451.54,1644019199999,233843979.8578,513894,5478422.1,116217442.1275,0
1644019200000,22.26,24.45,21.88,24.02,7810973.38,1644278399999,181582080.9893,369259,3842288.6,89360321.3837,0
1644278400000,24.03,24.68,21.41,21.57,7525416.06,1644537599999,172797712.0752,368618,3622368.49,83230801.9799,0
1644537600000,21.58,22.06,19.02,19.75,5694074.86,1644796799999,116529212.8055,244791,2762200.69,56542011.3786,0
1644796800000,19.74,22.54,19.15,22.08,6619069.65,1645055999999,139263704.0315,297062,3298287.22,69400581.7353,0
1645056000000,22.06,22.43,19.14,20.0,5689359.38,1645315199999,115845016.9936,285913,2772853.49,56461473.4595,0
1645315200000,19.99,20.04,16.81,17.92,7998242.62,1645574399999,146577276.8672,337693,3871838.47,70936724.8264,0
1645574400000,17.91,18.58,14.68,17.67,9760336.28,1645833599999,162298135.1769,351854,4786409.73,79606491.5903,0
1645833600000,17.66,20.22,16.86,20.13,6397398.79,1646092799999,115733219.2515,281354,3182635.81,57634151.158,0
1646092800000,20.13,20.77,18.82,19.97,8181034.07,1646351999999,160674025.9273,418409,3986969.1,78392244.538,0
1646352000000,19.97,19.99,16.57,16.62,5698244.6,1646611199999,101827429.8728,260815,2700402.25,48286258.3965,0
1646611200000,16.62,17.94,15.83,17.46,5473212.74,1646870399999,92818483.1931,232128,2620918.63,44459623.8452,0
1646870400000,17.46,17.54,15.94,16.07,4067515.13,1647129599999,66966884.4315,226760,1870756.58,30806327.3843,0
1647129600000,16.07,16.44,15.34,15.84,3942482.97,1647388799999,62694605.8813,186073,1882199.58,29943012.0279,0
1647388800000,15.84,17.22,15.58,16.89,6356618.78,1647647999999,104256068.2885,280595,3140209.55,51523066.0361,0
1647648000000,16.89,17.76,16.24,16.95,5258733.76,1647907199999,89894704.3227,203597,2509295.58,42903631.5099,0
1647907200000,16.94,19.84,16.79,19.41,8583982.31,1648166399999,160013424.9882,392750,4372951.6,81556137.7849,0
1648166400000,19.41,22.0,18.56,21.9,6566036.11,1648425599999,130824198.5072,366819,3340684.29,66745788.079,0
1648425600000,21.9,23.5,21.11,21.81,10181920.97,1648684799999,226788288.3078,677979,5027242.39,112074150.4416,0
