open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1631174400000,0.52711,1.69,0.52711,0.63333,9953714.5,1631176199999,6664245.235906,17646,4792760.8,3235435.321513,0
1631176200000,0.6317,0.63304,0.60103,0.62044,2028918.1,1631177999999,1246972.937008,3527,775999.5,477103.030048,0
1631178000000,0.6204,0.64,0.57213,0.58698,2367565.8,1631179799999,1430772.24963,4002,931048.8,566134.997561,0
1631179800000,0.58782,0.60184,0.57287,0.5847,1250947.6,1631181599999,732934.785386,2279,688288.5,403542.486549,0
1631181600000,0.5847,0.58798,0.55842,0.56976,1525962.8,1631183399999,877786.275562,2018,618766.4,355244.966401,0
1631183400000,0.56801,0.59827,0.56222,0.59579,1554663.7,1631185199999,897117.064897,2013,563184.4,325810.737266,0
1631185200000,0.59559,0.6,0.568,0.56875,922886.8,1631186999999,535780.894768,1552,405471.0,235690.525609,0
1631187000000,0.56889,0.57456,0.54164,0.54164,2565735.7,1631188799999,1419865.241718,2483,887449.1,491280.140007,0
1631188800000,0.54162,0.55936,0.53802,0.54841,1860352.5,1631190599999,1016490.1409,2009,1169008.5,638527.233988,0
1631190600000,0.54817,0.558,0.51613,0.53344,1976096.2,1631192399999,1052136.19426,2557,889265.8,472723.860347,0
1631192400000,0.53291,0.57,0.53032,0.555,1706047.0,1631194199999,944261.426687,2081,862598.0,476897.767895,0
1631194200000,0.555,0.556,0.53531,0.54592,1111585.7,1631195999999,605002.628251,1489,569213.8,309990.674462,0
1631196000000,0.54423,0.557,0.53852,0.55691,945608.6,1631197799999,515529.521319,1293,506870.5,276279.86474,0
1631197800000,0.557,0.60414,0.542,0.55199,1496350.1,1631199599999,849699.38607,2154,963090.0,555295.518385,0
1631199600000,0.55199,0.56735,0.5398,0.54359,2007229.4,1631201399999,1109277.648945,2585,778668.6,429633.621647,0
1631201400000,0.54254,0.545,0.51212,0.51603,1483527.4,1631203199999,784574.642705,2192,521972.4,276838.082281,0
1631203200000,0.51603,0.52977,0.51243,0.52486,1051514.1,1631204999999,547201.390595,1566,379377.0,197765.326507,0
1631205000000,0.52396,0.52482,0.49421,0.50812,2606239.8,1631206799999,1317780.393321,2276,674682.7,342187.757756,0
1631206800000,0.50718,0.54,0.50521,0.53361,1962867.0,1631208599999,1029272.468199,2334,1018464.3,534252.554223,0
1631208600000,0.53362,0.5385,0.50915,0.51219,1022893.4,1631210399999,530422.754303,1515,544345.8,282741.523465,0
1631210400000,0.51303,0.517,0.50401,0.50943,643180.2,1631212199999,328096.709539,1096,301638.2,153898.030863,0
1631212200000,0.5097,0.51214,0.49451,0.5091,690671.4,1631213999999,347135.211719,1182,279373.8,140758.367158,0
1631214000000,0.5091,0.5091,0.48994,0.49925,893320.5,1631215799999,445239.634778,1362,385915.0,192390.341182,0
1631215800000,0.49979,0.50069,0.48322,0.4879,1104794.0,1631217599999,541369.299438,1673,408425.3,200103.46181,0
1631217600000,0.48897,0.49351,0.47036,0.47402,1303118.8,1631219399999,625973.877237,1792,548519.8,263968.579556,0
1631219400000,0.4735,0.5,0.46003,0.46153,2325522.3,1631221199999,1099621.889375,2569,623793.9,295665.517799,0
1631221200000,0.46251,0.52916,0.46153,0.52338,3288583.3,1631222999999,1638838.87546,3200,1784795.4,896171.919552,0
1631223000000,0.52187,0.52321,0.477,0.483,1761671.2,1631224799999,866939.339026,2387,770574.4,379323.075114,0
1631224800000,0.483,0.50258,0.47227,0.48465,957568.9,1631226599999,461023.194603,1091,410833.0,198151.843099,0
1631226600000,0.48402,0.499,0.47382,0.47772,868506.5,1631228399999,418320.89516,1334,368288.8,177714.793442,0
1631228400000,0.47774,0.50558,0.4766,0.4857,981010.8,1631230199999,480636.014291,1319,511986.1,251209.038717,0
1631230200000,0.48628,0.52,0.48225,0.49866,1117613.5,1631231999999,560263.759683,1663,516088.3,260138.372966,0
1631232000000,0.49748,0.51878,0.485,0.4954,607317.7,1631233799999,301045.246812,826,276559.2,137513.670832,0
1631233800000,0.49959,0.5282,0.494,0.521,1495266.2,1631235599999,775765.424447,1514,903810.1,470523.371039,0
1631235600000,0.51972,0.5282,0.51701,0.52765,686515.5,1631237399999,359414.158748,760,415607.1,217821.438699,0
