open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1679443200000,0.025,2.5,0.025,0.5295,1782187265.0,1679702399999,885507390.36398,2862646,881103603.0,438733136.99889,0
1679702400000,0.52986,0.5325,0.42765,0.45341,511889923.0,1679961599999,245098433.95579,746113,242868398.0,116497024.77198,0
1679961600000,0.45342,0.5099,0.43058,0.48088,424340868.0,1680220799999,198130588.68367,588356,210864479.0,98617981.26211,0
1680220800000,0.48131,0.52298,0.45025,0.46685,386919361.0,1680479999999,187572864.48829,540234,189543483.0,92019364.45969,0
1680480000000,0.46685,0.4855,0.4321,0.46235,214929105.0,1680739199999,99028184.59109,290564,102686183.0,47378840.82023,0
1680739200000,0.46255,0.46348,0.43301,0.43828,135474005.0,1680998399999,61136246.22212,217230,63128854.0,28526460.59793,0
1680998400000,0.43835,0.483,0.43037,0.45675,167900785.0,1681257599999,76592468.61855,279413,83226854.0,37974989.61897,0
1681257600000,0.45669,0.84,0.43901,0.80162,952520313.0,1681516799999,624876902.82932,1810552,489206475.0,321385162.50362,0
1681516800000,0.80162,1.05,0.757,0.9352,998743858.0,1681775999999,876857126.83656,2174719,503954247.0,442540998.70121,0
1681776000000,0.9352,1.00808,0.71663,0.73605,697620176.0,1682035199999,597848198.84811,1360929,339976849.0,291891804.28368,0
1682035200000,0.73567,0.79951,0.66171,0.67839,375617678.0,1682294399999,275290006.00961,690919,183042214.0,134361698.97066,0
1682294400000,0.6784,0.773,0.63439,0.68042,445559678.0,1682553599999,308726709.00711,811692,218364139.0,151277340.0886,0
1682553600000,0.68044,0.77754,0.656,0.65909,362221368.0,1682812799999,260457680.86176,641360,176358510.0,126965757.3847,0
