open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1679486400000,0.025,2.5,0.025,0.47703,82332369.0,1679486699999,40609516.45375,114657,39892802.0,19851431.49757,0
1679486700000,0.47743,0.51667,0.47702,0.5038,35901653.0,1679486999999,17901247.71896,47261,20226447.0,10100743.72928,0
1679487000000,0.50385,0.514,0.4932,0.50307,18955591.0,1679487299999,9577394.65398,30211,9404746.0,4759342.41847,0
1679487300000,0.50427,0.50428,0.4688,0.46884,13292546.0,1679487599999,6492227.17154,23693,5599442.0,2741264.43642,0
1679487600000,0.46946,0.47956,0.45711,0.46001,15066329.0,1679487899999,7066077.51936,23423,7411776.0,3480663.78565,0
1679487900000,0.46003,0.475,0.455,0.46917,10654523.0,1679488199999,4972568.91692,19048,5477353.0,2560927.482,0
1679488200000,0.46917,0.47316,0.43911,0.44523,13416215.0,1679488499999,6114505.43382,19471,4820644.0,2208065.59081,0
1679488500000,0.44523,0.448,0.4229,0.44059,17027893.0,1679488799999,7384453.04731,23943,7899071.0,3422959.23711,0
1679488800000,0.44118,0.44599,0.424,0.44324,11342969.0,1679489099999,4952779.40041,19389,5337858.0,2332444.09695,0
1679489100000,0.44323,0.45415,0.43161,0.45199,9397454.0,1679489399999,4165644.20758,17041,5182951.0,2300109.59183,0
1679489400000,0.45245,0.46157,0.44648,0.44912,9966426.0,1679489699999,4528214.89655,17137,5207687.0,2368110.74074,0
1679489700000,0.44907,0.45842,0.43546,0.44098,6343907.0,1679489999999,2827650.00503,11971,2912799.0,1300226.89296,0
1679490000000,0.44145,0.46177,0.44016,0.45551,6576416.0,1679490299999,2983354.25497,13248,3654820.0,1656729.50403,0
1679490300000,0.45554,0.471,0.455,0.47002,8326688.0,1679490599999,3854211.35603,14516,4460629.0,2065805.50353,0
1679490600000,0.4703,0.47688,0.46111,0.46496,6945095.0,1679490899999,3265365.41621,12254,3445020.0,1621183.13539,0
