open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,1.285,1.287,1.277,1.278,26543.0,1672509599999,34061.6339,141,5316.9,6817.6828,0
1672509600000,1.278,1.283,1.276,1.281,29708.4,1672516799999,38012.5234,185,17420.2,22303.7448,0
1672516800000,1.281,1.282,1.278,1.278,7884.9,1672523999999,10092.0308,126,3024.7,3873.149,0
1672524000000,1.278,1.279,1.268,1.275,45304.5,1672531199999,57662.9122,204,10910.4,13889.5327,0
1672531200000,1.275,1.275,1.263,1.264,33046.8,1672538399999,41889.3061,194,9955.6,12613.6002,0
1672538400000,1.263,1.268,1.263,1.267,22998.7,1672545599999,29117.7364,95,20750.9,26272.8889,0
1672545600000,1.268,1.269,1.264,1.265,10331.7,1672552799999,13085.1894,96,5218.7,6613.4617,0
1672552800000,1.265,1.266,1.258,1.259,21318.7,1672559999999,26889.3194,149,5949.8,7510.6612,0
1672560000000,1.259,1.259,1.253,1.258,25001.0,1672567199999,31393.1848,185,13837.9,17372.8121,0
1672567200000,1.258,1.262,1.258,1.259,17929.7,1672574399999,22590.1678,129,9887.4,12454.4212,0
1672574400000,1.26,1.262,1.258,1.261,37124.5,1672581599999,46792.4292,175,28235.4,35599.6861,0
1672581600000,1.262,1.264,1.254,1.257,88705.7,1672588799999,111585.8008,349,15610.1,19632.7176,0
1672588800000,1.259,1.264,1.257,1.263,26425.1,1672595999999,33293.5363,174,23270.5,29317.6744,0
1672596000000,1.262,1.265,1.261,1.262,19651.7,1672603199999,24817.2424,132,7995.7,10102.9206,0
1672603200000,1.262,1.267,1.262,1.265,16648.6,1672610399999,21064.6395,113,7418.0,9384.9291,0
1672610400000,1.266,1.274,1.266,1.274,70360.8,1672617599999,89385.1304,264,58834.6,74752.5205,0
1672617600000,1.275,1.28,1.251,1.253,92060.3,1672624799999,116369.7179,550,29742.4,37478.5018,0
1672624800000,1.252,1.274,1.25,1.273,32169.7,1672631999999,40601.7416,228,25033.8,31603.7711,0
1672632000000,1.273,1.273,1.265,1.268,39694.9,1672639199999,50370.9594,164,17790.8,22577.422,0
1672639200000,1.269,1.291,1.267,1.282,140643.9,1672646399999,180205.6732,676,70561.7,90469.6838,0
1672646400000,1.283,1.293,1.283,1.288,108088.7,1672653599999,139254.8868,517,52541.1,67715.0725,0
1672653600000,1.287,1.299,1.283,1.289,71365.6,1672660799999,92146.0985,372,36178.8,46724.001,0
1672660800000,1.289,1.294,1.283,1.286,56106.0,1672667999999,72312.1821,282,18629.0,24003.2804,0
1672668000000,1.285,1.295,1.283,1.291,59853.7,1672675199999,77063.5606,263,19137.9,24664.762,0
1672675200000,1.291,1.295,1.287,1.292,44022.4,1672682399999,56867.0818,259,17560.0,22696.6054,0
1672682400000,1.291,1.301,1.291,1.301,42179.9,1672689599999,54739.4049,257,28670.4,37226.7338,0
1672689600000,1.299,1.308,1.295,1.306,49189.8,1672696799999,63950.7388,307,19173.4,24941.2232,0
1672696800000,1.307,1.308,1.293,1.299,78913.0,1672703999999,102618.8064,387,24861.5,32363.4121,0
1672704000000,1.3,1.313,1.298,1.302,50021.8,1672711199999,65296.7759,311,17972.6,23475.3694,0
1672711200000,1.303,1.305,1.298,1.304,15620.0,1672718399999,20331.6332,99,8321.6,10835.02,0
1672718400000,1.304,1.312,1.303,1.311,55257.6,1672725599999,72207.5829,200,36289.9,47445.582,0
1672725600000,1.312,1.32,1.308,1.31,51829.0,1672732799999,68081.8541,251,21983.6,28923.0511,0
1672732800000,1.311,1.311,1.297,1.31,100476.0,1672739999999,130995.0588,468,52560.5,68515.4334,0
1672740000000,1.31,1.31,1.296,1.296,110062.7,1672747199999,143389.863,432,18065.1,23579.5525,0
1672747200000,1.296,1.301,1.294,1.299,77005.3,1672754399999,99868.6491,525,24242.2,31458.556,0
1672754400000,1.297,1.31,1.286,1.294,142236.1,1672761599999,184418.5057,825,56093.7,72804.4862,0
1672761600000,1.293,1.301,1.282,1.283,79413.4,1672768799999,102545.1899,465,29152.4,37658.4258,0
1672768800000,1.284,1.288,1.282,1.287,51382.5,1672775999999,66017.8065,238,21279.3,27361.3011,0
1672776000000,1.287,1.296,1.287,1.295,19707.9,1672783199999,25458.253,181,10624.7,13727.4085,0
1672783200000,1.295,1.308,1.294,1.305,60991.2,1672790399999,79442.1962,295,32991.7,42984.1243,0
1672790400000,1.305,1.334,1.305,1.321,91360.0,1672797599999,120717.4146,586,51850.8,68470.8493,0
1672797600000,1.322,1.341,1.319,1.34,79462.2,1672804799999,106112.9724,554,40839.5,54517.5727,0
1672804800000,1.341,1.353,1.336,1.346,105910.3,1672811999999,142546.6266,610,61316.9,82540.0247,0
1672812000000,1.348,1.352,1.343,1.345,74173.5,1672819199999,99930.8096,315,29693.0,40034.225,0
1672819200000,1.346,1.347,1.331,1.334,93755.7,1672826399999,125377.5874,667,25321.6,33840.6823,0
