open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1637539200000,0.1451,0.3649,0.1451,0.1695,2247475472.6,1638143999999,473464539.27924,1237795,1077666108.9,227379206.31676,0
1638144000000,0.1693,0.1868,0.09,0.1316,865633423.8,1638748799999,139942117.57447,244760,413708721.9,67093885.53157,0
1638748800000,0.1318,0.1334,0.09,0.0982,806051724.3,1639353599999,86859413.40742,205472,405182509.8,43753475.61388,0
1639353600000,0.0981,0.0981,0.0676,0.0708,1071884306.8,1639958399999,86999767.21389,194178,499316191.3,40527047.35859,0
1639958400000,0.0708,0.1215,0.0611,0.0877,4298388246.2,1640563199999,392231002.98172,976413,2169690458.0,197640619.33412,0
1640563200000,0.0877,0.0982,0.0701,0.0843,2213974803.3,1641167999999,188076840.1937,525890,1059519382.3,89945426.95066,0
1641168000000,0.0843,0.093,0.0691,0.0721,1095696577.2,1641772799999,86606461.48513,250112,523780776.7,41510060.16041,0
1641772800000,0.072,0.075,0.067,0.0706,771479863.6,1642377599999,54800767.05593,157971,352221665.3,25065727.44183,0
1642377600000,0.0706,0.0849,0.0459,0.0518,1723495661.0,1642982399999,111933467.7588,380990,830891164.2,54181357.71074,0
1642982400000,0.0518,0.0548,0.0439,0.047,1046778998.6,1643587199999,50803239.98054,159844,502294741.0,24440882.91516,0
1643587200000,0.047,0.0473,0.0383,0.0408,1606660607.7,1644191999999,67080358.38821,194788,748765587.7,31334708.19651,0
1644192000000,0.0408,0.0457,0.03,0.0306,3652934444.7,1644796799999,140145199.75172,302172,1688022298.2,65059461.37871,0
1644796800000,0.0307,0.0371,0.0202,0.0212,6205365136.5,1645401599999,176580925.6267,405459,2927202678.4,83874506.8889,0
1645401600000,0.0211,0.0257,0.0148,0.0161,10019968226.0,1646006399999,184456122.27943,395451,4786137823.4,88271367.82063,0
1646006400000,0.0161,0.0185,0.0118,0.0119,9680273189.0,1646611199999,149524399.52398,272802,4628676986.7,71738027.80986,0
1646611200000,0.0119,0.0178,0.0108,0.0127,20242238251.0,1647215999999,289777505.20655,501767,9921628233.6,142698635.36452,0
1647216000000,0.0128,0.0494,0.0122,0.0325,82338813776.0,1647820799999,2298020359.50679,3567103,41379771576.6,1152268451.73394,0
1647820800000,0.0325,0.0474,0.0312,0.0366,35112637831.3,1648425599999,1383090059.11516,2174697,17404566584.5,686814178.67621,0
1648425600000,0.0367,0.0407,0.0284,0.0299,20383512968.6,1649030399999,709469283.77792,1244794,9761597197.8,341212754.61729,0
1649030400000,0.03,0.0347,0.0248,0.025,23370005942.6,1649635199999,695258019.26175,1220406,11101128535.4,331611946.13559,0
1649635200000,0.0251,0.0253,0.0171,0.018,23602323529.9,1650239999999,470824917.36234,696368,11183786785.6,223518402.05576,0
1650240000000,0.018,0.0285,0.0171,0.025,71320987943.4,1650844799999,1688770968.11441,2015317,35780739281.7,847979265.65357,0
1650844800000,0.0249,0.025,0.0173,0.0188,31031259030.8,1651449599999,644213316.7545,851579,14820917063.7,308039726.17845,0
1651449600000,0.0188,0.0216,0.0153,0.0156,19240725605.9,1652054399999,348820365.64378,462866,9326772934.5,169591733.88946,0
1652054400000,0.0155,0.0172,0.0082,0.010999,44092320183.2,1652659199999,492661263.6369558,1156803,21225508229.4,235634928.5555113,0
1652659200000,0.011011,0.015996,0.010369,0.012751,43244762007.4,1653263999999,559860945.1772606,2218458,21504315838.9,278716249.6791398,0
1653264000000,0.01275,0.014217,0.010709,0.01241,17033042113.3,1653868799999,210813582.2437978,737529,8417730016.7,104255490.3653287,0
1653868800000,0.012412,0.014317,0.011242,0.012116,17183591742.5,1654473599999,216452255.1488739,675668,8628091698.9,108761366.0036685,0
1654473600000,0.012119,0.0129,0.009322,0.009447,14484591123.1,1655078399999,164509737.3372853,513242,7291438491.3,82903242.2034068,0
1655078400000,0.009461,0.010367,0.008076,0.009893,23016823485.8,1655683199999,210628294.8748129,675902,11658879366.7,106807577.2428389,0
1655683200000,0.00989,0.010864,0.009207,0.009809,14768878721.7,1656287999999,148233245.2123168,506110,7306141904.8,73421284.3057379,0
1656288000000,0.009809,0.010076,0.00867,0.009409,8000640559.1,1656892799999,74964150.671958,297061,3741670291.9,35057176.8757475,0
1656892800000,0.009409,0.01207,0.009194,0.010623,13256877724.3,1657497599999,141209727.4140741,486784,6667370809.3,71015384.2334573,0
1657497600000,0.010624,0.0107,0.008658,0.009098,13104931647.4,1658102399999,123428492.7223475,444287,6276010676.5,59260732.4606514,0
1658102400000,0.009105,0.010292,0.008672,0.008953,16966884099.6,1658707199999,160353517.5734344,562487,8012894317.4,75774804.7988017,0
1658707200000,0.008951,0.01168,0.00825,0.010307,23108411055.9,1659311999999,230144186.3791238,715418,11609373260.2,116040360.6438579,0
