open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1616068800000,0.085,1.0,0.085,0.2915,422704983.71,1616069699999,151927198.383579,336414,205806896.53,78795216.392287,0
1616069700000,0.2915,0.3078,0.2358,0.2542,149266286.53,1616070599999,39885594.109903,80183,66148439.05,17661319.805954,0
1616070600000,0.2542,0.2714,0.252,0.2671,90793188.8,1616071499999,23705618.41816,40104,46079783.21,12042410.243838,0
1616071500000,0.2673,0.2932,0.265,0.2735,96123425.21,1616072399999,26732700.648584,42894,46615567.89,12976139.234932,0
1616072400000,0.2731,0.2737,0.2603,0.266,39066415.88,1616073299999,10440999.245571,20998,19793795.4,5296687.793311,0
1616073300000,0.2659,0.2685,0.2414,0.2463,56186593.57,1616074199999,14183365.360916,25412,22776266.36,5755016.24862,0
1616074200000,0.2463,0.2547,0.2354,0.2367,67906848.83,1616075099999,16764942.434022,24748,31989148.92,7909236.887916,0
1616075100000,0.2367,0.2384,0.2235,0.2269,64882779.19,1616075999999,15038860.707613,26309,29910169.89,6936366.95963,0
1616076000000,0.2269,0.238,0.2232,0.233,44784526.94,1616076899999,10381475.264512,19175,22316485.36,5176576.761887,0
1616076900000,0.233,0.2426,0.2304,0.2309,36416827.4,1616077799999,8642414.653536,17068,18492298.07,4393396.739945,0
1616077800000,0.2306,0.2317,0.216,0.22,39379682.0,1616078699999,8737789.70127,18547,15645864.87,3475115.165742,0
1616078700000,0.22,0.2215,0.208,0.2165,37004866.93,1616079599999,7916399.723422,16267,16509446.33,3531987.713286,0
1616079600000,0.2168,0.221,0.2056,0.2083,31200237.58,1616080499999,6648801.947425,14193,14788525.56,3161240.704283,0
1616080500000,0.2082,0.217,0.2065,0.2104,25880873.52,1616081399999,5475065.271583,12433,11800195.2,2498290.13151,0
1616081400000,0.2101,0.2175,0.2085,0.2118,16009141.23,1616082299999,3411058.490986,8823,7440568.24,1586949.662467,0
1616082300000,0.2118,0.228,0.2111,0.2246,30520138.56,1616083199999,6749003.386572,12807,18022262.18,3983751.077698,0
1616083200000,0.2246,0.231,0.2068,0.2077,38213732.87,1616084099999,8425024.5991,14184,18274676.22,4053905.994418,0
1616084100000,0.2077,0.215,0.2062,0.2103,17411953.17,1616084999999,3663512.659824,8696,8428161.5,1775885.851477,0
1616085000000,0.2103,0.2157,0.207,0.2126,13074776.55,1616085899999,2766643.120123,6592,6396356.9,1354498.220212,0
1616085900000,0.2125,0.2138,0.2072,0.2088,13053431.41,1616086799999,2738404.673125,5535,5690501.13,1195601.979093,0
1616086800000,0.2088,0.2102,0.1952,0.2009,26818773.52,1616087699999,5390907.847368,12215,10320680.59,2074744.794038,0
1616087700000,0.2009,0.201,0.191,0.1973,23656339.18,1616088599999,4624206.016114,10170,9686128.99,1895755.140473,0
