open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577808000000,1.7854,1.7984,1.7842,1.795,42078.46,1577809799999,75381.568233,273,28157.52,50443.238744,0
1577809800000,1.795,1.798,1.7869,1.79,23914.42,1577811599999,42861.671089,115,2054.29,3687.376744,0
1577811600000,1.7904,1.791,1.7811,1.7828,77651.1,1577813399999,138549.291446,310,13052.29,23308.399484,0
1577813400000,1.7857,1.7862,1.7548,1.7619,203180.47,1577815199999,359367.890877,965,67168.11,119069.379081,0
1577815200000,1.7619,1.7697,1.754,1.7697,69144.49,1577816999999,121626.430249,408,31557.1,55563.410834,0
1577817000000,1.7656,1.7661,1.7554,1.7584,33811.0,1577818799999,59519.284797,217,14201.94,24997.417692,0
1577818800000,1.7578,1.763,1.7542,1.7594,30140.44,1577820599999,52999.929231,218,21343.44,37527.802314,0
1577820600000,1.7585,1.7723,1.7583,1.7676,19617.54,1577822399999,34660.499265,179,14702.76,25979.581049,0
1577822400000,1.7675,1.7675,1.7611,1.7647,11542.84,1577824199999,20352.652548,127,5686.79,10026.915593,0
1577824200000,1.7648,1.7716,1.7598,1.7629,21403.47,1577825999999,37764.026411,165,6290.18,11096.342001,0
1577826000000,1.7625,1.7655,1.7597,1.7641,15561.13,1577827799999,27418.285239,143,9065.66,15978.087295,0
1577827800000,1.7642,1.7689,1.763,1.7689,10253.45,1577829599999,18104.618348,58,7832.53,13829.353395,0
1577829600000,1.7668,1.774,1.7639,1.7722,52234.04,1577831399999,92485.899944,339,23853.73,42243.094439,0
1577831400000,1.7705,1.7708,1.7673,1.7693,11935.04,1577833199999,21121.625904,109,7174.12,12695.55956,0
1577833200000,1.7693,1.7729,1.7653,1.7656,25873.01,1577834999999,45788.413755,141,4403.42,7797.927196,0
1577835000000,1.7657,1.7704,1.7641,1.7673,10226.5,1577836799999,18062.629521,73,8502.12,15014.642838,0
1577836800000,1.7678,1.772,1.7606,1.7651,12972.87,1577838599999,22918.26469,126,8049.05,14224.826101,0
1577838600000,1.7677,1.7677,1.7638,1.7638,772.12,1577840399999,1362.905572,13,763.12,1347.030472,0
1577840400000,1.7639,1.7796,1.7639,1.7789,12481.99,1577842199999,22158.025913,130,4097.96,7262.134624,0
1577842200000,1.7809,1.7856,1.7789,1.7831,16269.67,1577843999999,29032.949229,121,5043.17,8996.771226,0
1577844000000,1.7853,1.7939,1.7839,1.7908,7519.72,1577845799999,13450.174158,123,2842.0,5078.619041,0
1577845800000,1.7907,1.8019,1.7887,1.8004,8499.11,1577847599999,15271.582026,121,6336.11,11381.654425,0
1577847600000,1.8007,1.8033,1.7931,1.8014,14174.95,1577849399999,25473.550328,126,8685.02,15618.165316,0
1577849400000,1.799,1.8005,1.7927,1.7932,2297.15,1577851199999,4122.672206,33,541.54,971.945127,0
1577851200000,1.794,1.7942,1.7865,1.7934,10697.39,1577852999999,19155.047451,93,3025.63,5420.733562,0
