open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640966400000,20.39,20.48,19.74,19.92,646200.33,1640973599999,13008060.6457,19053,303735.23,6110518.881,0
1640973600000,19.9,19.93,19.04,19.07,858873.76,1640980799999,16707449.0197,24564,404647.7,7872651.5246,0
1640980800000,19.08,19.64,19.04,19.63,489999.09,1640987999999,9434714.3237,13954,248566.28,4785454.8889,0
1640988000000,19.63,19.76,19.51,19.51,217623.99,1640995199999,4277931.8257,7155,104417.4,2052696.2615,0
1640995200000,19.52,20.21,19.5,19.98,420588.5,1641002399999,8384172.61,14103,215252.15,4290220.6886,0
1641002400000,19.99,20.12,19.74,19.77,259254.99,1641009599999,5156248.0997,6906,131324.83,2609789.6713,0
1641009600000,19.76,20.0,19.55,19.8,385170.79,1641016799999,7602581.4582,12005,187866.98,3710489.0897,0
1641016800000,19.81,19.89,19.63,19.8,207195.06,1641023999999,4094939.1501,5616,103097.09,2037118.6691,0
1641024000000,19.79,19.94,19.72,19.78,231907.96,1641031199999,4601756.2823,5610,116180.07,2305356.7312,0
1641031200000,19.77,19.88,19.54,19.61,262662.34,1641038399999,5172018.5044,7738,124535.07,2453256.4063,0
1641038400000,19.62,19.89,19.61,19.79,151271.99,1641045599999,2992409.836,5313,74489.22,1473230.759,0
1641045600000,19.8,20.11,19.77,20.04,317721.29,1641052799999,6340554.4517,8735,136138.67,2715984.2314,0
1641052800000,20.04,20.36,19.98,20.32,372363.53,1641059999999,7512190.3647,12027,196530.03,3965235.0413,0
1641060000000,20.33,20.39,20.18,20.21,248233.16,1641067199999,5038333.7323,6690,123071.63,2497824.715,0
1641067200000,20.22,20.44,20.2,20.38,236459.09,1641074399999,4812323.3078,6395,119779.21,2437383.1579,0
1641074400000,20.38,20.79,20.28,20.76,366645.68,1641081599999,7523390.6066,15096,177279.58,3640203.7456,0
1641081600000,20.75,21.3,20.57,20.98,587042.35,1641088799999,12316398.3253,26925,286299.57,6006386.9689,0
1641088800000,20.98,21.08,20.83,21.03,270828.3,1641095999999,5667413.9476,7532,129970.65,2720093.9631,0
1641096000000,21.04,21.15,20.64,20.89,389242.76,1641103199999,8126010.2007,12569,181787.04,3796116.9062,0
1641103200000,20.89,20.89,20.71,20.75,212585.7,1641110399999,4417669.6668,4888,93533.05,1943812.2682,0
1641110400000,20.74,21.12,20.7,21.06,292968.33,1641117599999,6138761.59,9442,166274.53,3485375.9279,0
1641117600000,21.05,21.17,20.93,21.07,167257.99,1641124799999,3520428.9011,5612,89939.69,1892681.4972,0
1641124800000,21.07,21.35,20.91,21.3,368032.82,1641131999999,7796157.5141,13075,189561.49,4016904.0178,0
1641132000000,21.3,21.45,21.17,21.41,461378.43,1641139199999,9830535.2364,13871,213243.28,4544113.0725,0
1641139200000,21.42,22.2,21.41,22.12,887129.24,1641146399999,19426754.823,42365,454428.55,9951172.0557,0
1641146400000,22.13,22.19,21.59,21.99,880080.04,1641153599999,19319366.9125,29024,401011.01,8804836.9659,0
1641153600000,21.98,22.09,21.82,21.86,323781.76,1641160799999,7108362.7495,8970,167539.24,3678967.5331,0
1641160800000,21.87,21.95,21.67,21.87,268459.12,1641167999999,5854179.512,8995,143578.48,3131465.6799,0
1641168000000,21.86,21.93,21.46,21.54,378822.86,1641175199999,8222797.1314,13050,173697.0,3770379.7528,0
1641175200000,21.54,21.54,21.25,21.37,362793.68,1641182399999,7767724.1395,12739,156986.29,3361212.1744,0
1641182400000,21.36,21.68,21.29,21.67,264948.25,1641189599999,5677994.7675,8180,142953.07,3064175.2381,0
1641189600000,21.66,21.7,21.5,21.67,175328.19,1641196799999,3787506.8985,6758,69669.39,1505419.8653,0
1641196800000,21.66,22.23,21.66,22.13,452709.14,1641203999999,9949854.5617,22857,225269.34,4951662.6597,0
1641204000000,22.14,22.72,22.08,22.46,606591.26,1641211199999,13611823.2966,36570,291205.41,6533630.1767,0
1641211200000,22.47,23.24,22.25,23.22,918754.56,1641218399999,20918028.849,48641,448472.58,10213789.9487,0
1641218400000,23.22,23.22,22.54,22.65,900669.66,1641225599999,20650153.9261,30811,397954.84,9123167.3368,0
1641225600000,22.66,23.18,22.08,23.08,1309056.35,1641232799999,29516202.9342,59144,642264.14,14500353.3042,0
1641232800000,23.07,23.4,22.86,22.88,806089.02,1641239999999,18650983.5191,40656,355528.65,8228192.1392,0
1641240000000,22.87,22.98,22.37,22.87,861179.56,1641247199999,19529931.9167,35806,427468.64,9696990.9717,0
1641247200000,22.88,23.75,22.8,23.72,945934.49,1641254399999,22136190.545,59823,473460.58,11082451.0009,0
1641254400000,23.72,23.89,23.11,23.2,920555.21,1641261599999,21623384.4155,44198,432454.39,10161507.4984,0
