open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,41.29,42.0,41.16,41.59,54524.33096,1577879999999,2270232.1767372,7033,26916.81427,1120574.0632581,0
1577880000000,41.59,42.08,41.32,41.62,55520.54349,1577923199999,2317960.7082053,7170,26843.71359,1121152.6841062,0
1577923200000,41.58,41.74,41.13,41.4,45582.05389,1577966399999,1886278.1671497,6736,21382.94109,884909.3924263,0
1577966400000,41.4,41.54,39.17,39.43,148904.16181,1578009599999,5950753.3890433,16822,69941.75066,2792084.9493935,0
1578009600000,39.44,42.02,38.77,41.86,258163.61756,1578052799999,10506805.5934632,27803,132366.84316,5387770.6222614,0
1578052800000,41.86,42.39,41.38,42.23,168607.3892,1578095999999,7050136.4227457,18551,88599.10474,3705028.0997139,0
1578096000000,42.23,42.88,41.77,42.51,123347.9894,1578139199999,5220388.9081292,12908,58978.43352,2496295.7613314,0
1578139200000,42.5,42.9,41.87,42.78,125466.63878,1578182399999,5315743.0290833,14700,61461.14416,2604972.28522,0
1578182400000,42.79,43.3,42.6,42.96,109898.42487,1578225599999,4721180.1566789,13091,56859.69485,2443161.4999328,0
1578225600000,42.98,44.61,42.91,43.3,182066.42471,1578268799999,7963112.5037587,21470,91481.50626,4001922.3880791,0
1578268800000,43.29,45.37,43.16,44.84,182338.10415,1578311999999,8095012.7183189,18729,94498.09715,4196295.7430887,0
1578312000000,44.86,46.08,43.95,45.8,202592.88675,1578355199999,9106983.9121011,22531,108053.87091,4859433.4958374,0
1578355200000,45.8,46.22,44.69,45.46,171318.97048,1578398399999,7785066.9789202,21108,87205.45224,3963664.2684717,0
1578398400000,45.46,47.03,44.48,46.3,322528.13484,1578441599999,14804498.803318,36859,159051.73366,7305576.3563796,0
1578441600000,46.3,48.54,46.28,47.68,225524.63991,1578484799999,10745036.4174414,29049,110440.01877,5261749.0927511,0
1578484800000,47.69,47.92,44.0,45.35,402526.04447,1578527999999,18448050.4434096,42492,195449.3784,8955584.9940033,0
1578528000000,45.35,45.79,44.85,45.01,115530.1375,1578571199999,5227278.743069,15975,60439.68705,2735030.9788224,0
1578571200000,45.0,45.44,43.9,44.74,180691.51942,1578614399999,8055813.5146525,23720,89274.89439,3980234.3349696,0
1578614400000,44.75,45.52,43.71,45.31,114506.84988,1578657599999,5109409.7286662,16434,58966.22508,2633124.227641,0
1578657600000,45.31,49.72,45.1,49.06,615296.27303,1578700799999,29530790.0177941,75387,314338.57685,15079178.7548727,0
1578700800000,49.06,49.9,47.77,48.19,295368.86366,1578743999999,14459377.9707434,39935,141291.66687,6918270.1048468,0
1578744000000,48.19,51.95,48.07,49.3,386615.60286,1578787199999,19522301.4695166,52823,190136.49918,9600673.7671566,0
1578787200000,49.32,51.75,48.78,50.17,318332.38666,1578830399999,16096177.8654606,40236,156823.08312,7928615.4014958,0
1578830400000,50.17,51.51,49.92,51.43,215251.07142,1578873599999,10894091.9334293,30654,106320.35109,5383223.9185551,0
1578873600000,51.44,51.6,49.5,50.05,218637.84682,1578916799999,10985679.7160513,28450,101062.51354,5078205.8634599,0
1578916800000,50.05,50.17,48.91,49.6,163455.10891,1578959999999,8102035.429177,22785,82332.72896,4080293.2747117,0
1578960000000,49.59,54.77,49.58,54.33,360890.27596,1579003199999,19115818.3572929,62790,179918.09691,9534402.1279656,0
1579003200000,54.32,60.8,53.6,58.39,871646.07768,1579046399999,49710703.4018097,150845,446384.92002,25471250.6629825,0
1579046400000,58.37,60.33,55.28,57.76,420827.51595,1579089599999,24495030.703561,79099,206807.6813,12048790.4505623,0
1579089600000,57.76,59.69,56.35,58.16,299542.12594,1579132799999,17362099.2727621,58095,145149.72638,8414115.6155283,0
1579132800000,58.17,58.5,54.5,56.59,241415.38561,1579175999999,13548389.2816569,44664,115487.44691,6486461.9771878,0
1579176000000,56.6,58.47,55.85,57.56,236575.81601,1579219199999,13546766.3932195,47895,117362.48267,6723342.0490145,0
1579219200000,57.56,60.66,56.72,59.6,344483.61154,1579262399999,20418317.648419,69119,166358.80004,9856067.2803656,0
1579262400000,59.6,63.26,58.07,61.02,423030.89169,1579305599999,25837676.7825363,76529,201022.29388,12284155.5460086,0
1579305600000,61.05,62.5,58.04,59.74,224976.29165,1579348799999,13565484.9182408,43269,106305.80052,6412473.2266711,0
1579348800000,59.75,61.78,57.9,59.32,273627.55738,1579391999999,16415091.715041,54727,132587.43427,7955500.8653116,0
1579392000000,59.29,62.55,56.68,57.4,316833.15216,1579435199999,19068908.8944789,55925,142253.89556,8569119.4570987,0
1579435200000,57.38,57.91,55.34,57.6,214083.25643,1579478399999,12104877.8967875,37401,101622.87911,5745437.0914666,0
1579478400000,57.59,57.95,56.36,56.5,99491.40907,1579521599999,5676010.6871591,18043,46245.33874,2638300.5871776,0
1579521600000,56.48,58.29,55.84,57.19,162825.26351,1579564799999,9316772.1879264,26872,80888.51166,4627984.2269669,0
1579564800000,57.19,58.09,56.95,57.69,81301.76524,1579607999999,4677903.0601011,15795,40548.77668,2333042.1290651,0
1579608000000,57.66,58.0,55.91,57.57,135241.95852,1579651199999,7733799.3257279,24391,67875.34306,3884604.6081426,0
1579651200000,57.6,59.33,57.18,58.23,153835.46834,1579694399999,8948128.1095958,27918,72213.17501,4202080.026353,0
1579694400000,58.21,58.66,57.63,58.33,64823.48643,1579737599999,3769061.3552902,14071,30068.57346,1748893.0071476,0
1579737600000,58.33,58.4,55.94,56.08,150898.09009,1579780799999,8559295.9435794,24145,70214.18681,3981533.349269,0
1579780800000,56.07,56.36,52.42,54.52,314084.34017,1579823999999,17057727.0376912,41905,142647.60526,7743086.4659718,0
1579824000000,54.52,54.62,50.64,53.92,325439.94107,1579867199999,17072530.8131505,39641,157222.68477,8259129.895771,0
1579867200000,53.9,55.41,53.56,54.38,225306.27316,1579910399999,12285741.288826,30038,111352.64675,6071107.7874542,0
1579910400000,54.41,54.41,51.9,53.04,180040.43076,1579953599999,9587412.7248419,26717,88665.61036,4720385.934703,0
1579953600000,53.05,54.19,52.72,53.25,101964.496,1579996799999,5447393.5132801,14447,48453.44314,2588660.569969,0
1579996800000,53.26,54.78,52.8,54.78,156235.18375,1580039999999,8407716.8225997,20244,78064.00203,4201308.8162543,0
1580040000000,54.76,56.68,54.01,56.24,192120.08119,1580083199999,10658973.4620855,25192,92178.74666,5113476.025072,0
1580083200000,56.29,58.21,55.87,57.97,223150.8238,1580126399999,12664520.4426356,27949,114339.38139,6492582.8582517,0
1580126400000,57.96,59.65,57.75,58.55,281574.85327,1580169599999,16580564.0072117,36110,136148.25246,8020373.8386162,0
1580169600000,58.55,61.61,58.54,60.08,327485.36368,1580212799999,19701682.6235506,40921,166856.39096,10036957.9423117,0
1580212800000,60.07,60.91,57.28,60.52,393055.3818,1580255999999,23256503.0181987,48122,194511.63659,11516097.5265603,0
1580256000000,60.54,62.56,59.87,60.52,383465.99148,1580299199999,23444285.3054482,48868,190026.65314,11627473.1063925,0
1580299200000,60.5,60.95,59.4,59.8,186613.37207,1580342399999,11254593.792425,22459,88076.8471,5313064.4152781,0
1580342400000,59.81,62.78,58.24,61.89,319232.48742,1580385599999,19363380.4111759,40394,160373.36623,9725577.1828676,0
1580385600000,61.91,70.22,61.87,67.98,967090.50934,1580428799999,64333232.2547851,112061,492879.59745,32792846.7992565,0
1580428800000,68.0,70.1,66.3,68.1,483200.10414,1580471999999,32885134.5493623,61931,235602.3893,16040753.4170284,0
1580472000000,68.08,68.8,65.37,68.0,455056.67932,1580515199999,30628556.9085201,58694,224091.48645,15088390.3182201,0
