open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1578268800000,43.29,51.95,43.16,51.43,3748421.48503,1578873599999,177879890.5168409,465932,1872289.53476,88800655.4388918,0
1578873600000,51.44,63.26,48.91,57.6,4610024.91373,1579478399999,264276880.4110339,831593,2244656.70007,128659615.4883348,0
1579478400000,57.59,59.33,50.64,56.24,2343608.1873,1580083199999,129198466.3318548,349419,1126638.64439,62113593.4293171,0
1580083200000,56.29,73.5,55.87,69.93,5791148.35484,1580687999999,379594348.8876673,727846,2876808.60151,188593620.0203763,0
1580688000000,69.93,78.43,66.62,77.0,4204095.83056,1581292799999,305711202.2137026,581783,2099322.19638,152613438.7937425,0
1581292800000,76.99,84.32,67.85,74.67,5315762.59902,1581897599999,413880324.6941789,821527,2647699.87252,206208454.1655678,0
1581897600000,74.66,80.0,66.1,79.52,4671762.10496,1582502399999,343448563.6350285,807287,2339071.93272,172080761.4691944,0
1582502400000,79.52,79.76,56.21,57.7,6559673.90043,1583107199999,425194998.7605503,994557,3205527.93266,207877196.839655,0
1583107200000,57.72,63.89,50.41,51.0,4141893.08021,1583711999999,247642375.4383744,575702,2034014.23746,121714639.9650137,0
1583712000000,51.02,52.27,24.0,36.38,10850711.45305,1584316799999,419184587.4644959,1458149,5335071.4272,206453904.8030935,0
1584316800000,36.37,43.69,29.29,35.4,7912262.53664,1584921599999,285143778.5937228,1035971,3946591.9321,142352760.906231,0
1584921600000,35.42,41.21,34.57,37.11,3954675.54027,1585526399999,152987588.7857953,590542,1995400.02915,77245340.4368825,0
1585526400000,37.11,42.92,37.1,40.31,3059672.31171,1586131199999,121230625.0680007,427380,1529531.15006,60582047.7127041,0
1586131200000,40.31,47.64,40.28,42.0,4097578.76905,1586735999999,180784114.0346695,525408,2019360.32078,89064063.7927659,0
1586736000000,41.99,44.43,37.91,42.23,3899301.14329,1587340799999,162116032.66486,488811,1902414.48026,79113596.3916448,0
1587340800000,42.23,45.58,39.55,44.52,3657869.04179,1587945599999,156928638.4502042,474328,1826540.88995,78329321.6750767,0
1587945600000,44.54,50.8,43.16,48.05,5110914.11414,1588550399999,241063661.8391337,632671,2545280.5096,120094071.9188018,0
1588550400000,48.07,49.1,39.4,42.06,5062891.76006,1589155199999,230935480.5198694,622361,2493090.35372,113772072.7503528,0
1589155200000,42.05,44.49,39.37,43.71,3715171.28713,1589759999999,158299513.0708776,476608,1827141.26982,77882206.0067505,0
1589760000000,43.7,46.59,41.66,42.08,3117634.07781,1590364799999,138210857.7323109,406494,1534493.11155,68058621.8597402,0
1590364800000,42.08,48.08,41.72,45.61,2426638.84111,1590969599999,108936289.7295761,358885,1195646.27703,53668569.3804654,0
1590969600000,45.6,49.96,44.0,46.63,3353469.9709,1591574399999,157774221.9901281,481707,1646841.73299,77521753.5928376,0
1591574400000,46.6,47.19,42.0,44.05,1856999.32672,1592179199999,84057356.3567685,297377,903282.12768,40933444.2576445,0
1592179200000,44.04,45.04,41.75,43.0,1756146.58185,1592783999999,76324197.1254034,255576,857148.64024,37264460.2785757,0
1592784000000,43.0,44.69,39.11,41.37,1920161.30016,1593388799999,82144105.7112511,270033,926571.01855,39661781.3494713,0
1593388800000,41.37,42.29,40.28,41.58,1622976.86261,1593993599999,67231622.8647934,218313,802622.99017,33258752.5122365,0
1593993600000,41.58,45.87,41.5,44.7,2315377.58908,1594598399999,102423795.0963897,290476,1146818.23345,50732240.8001867,0
1594598400000,44.72,45.59,40.85,42.64,1867503.44735,1595203199999,80349770.4448174,242716,911694.90141,39239905.2245546,0
1595203200000,42.65,50.79,41.37,48.1,3313704.87461,1595807999999,153329792.8287427,407289,1691502.59726,78300888.1276415,0
