open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609430400000,124.85,124.93,123.72,123.97,15384.40051,1609431299999,1912295.8110746,3776,7067.80159,878441.005956,0
1609431300000,123.98,124.91,123.5,124.57,12643.49284,1609432199999,1572066.1739069,2818,7255.33926,902303.6022519,0
1609432200000,124.59,124.64,123.75,123.79,8081.3798,1609433099999,1003233.4297175,2126,3892.75088,483270.3366147,0
1609433100000,123.8,123.98,122.77,122.99,18763.0152,1609433999999,2312915.7591807,4306,10848.20634,1337294.2498953,0
1609434000000,122.99,123.75,122.87,123.69,10046.3186,1609434899999,1237610.3571535,2962,4751.80804,585421.3025391,0
1609434900000,123.69,124.69,123.58,124.49,10729.19403,1609435799999,1331257.9588202,2840,4852.70814,602232.3258002,0
1609435800000,124.49,124.72,124.05,124.36,4610.04399,1609436699999,573606.2981937,1638,2886.8442,359239.5010777,0
1609436700000,124.36,124.44,123.61,123.88,4193.19212,1609437599999,520005.2412885,1460,1972.04802,244500.1325596,0
1609437600000,123.9,124.04,123.4,123.49,5521.4283,1609438499999,682827.3629232,1633,2791.08975,345215.2092254,0
1609438500000,123.49,123.84,123.12,123.66,9154.65206,1609439399999,1130720.953771,1815,3548.40185,438191.421213,0
1609439400000,123.67,124.08,123.65,124.06,5340.56414,1609440299999,661154.8150507,1400,2410.76805,298495.7408884,0
1609440300000,124.05,124.36,124.0,124.22,6019.2657,1609441199999,747653.4613267,1772,3287.20578,408339.1810215,0
1609441200000,124.2,124.48,123.81,124.19,6233.15974,1609442099999,774296.2989588,1686,2457.42582,305243.7359028,0
1609442100000,124.21,124.45,124.17,124.38,4400.02795,1609442999999,547010.3216977,1234,2701.44801,335854.100592,0
1609443000000,124.39,124.55,124.21,124.42,5311.39659,1609443899999,660468.076309,1310,2676.13131,332818.8245712,0
1609443900000,124.43,124.61,124.0,124.23,7217.04031,1609444799999,897520.2205578,1912,4044.68551,503131.917798,0
1609444800000,124.23,124.32,124.05,124.15,4266.89722,1609445699999,529903.966949,1377,2127.38359,264199.0010134,0
1609445700000,124.15,124.42,123.84,123.96,6643.95666,1609446599999,824559.4793018,1958,3162.28759,392430.0721012,0
1609446600000,123.95,124.14,123.87,123.96,4139.39281,1609447499999,513225.8506851,1264,2135.73961,264806.1953499,0
1609447500000,123.96,124.35,123.67,124.26,5446.40688,1609448399999,675665.7086622,1579,2577.43393,319762.1565014,0
1609448400000,124.31,124.62,123.75,124.38,7851.85652,1609449299999,975471.2075061,1843,4202.51731,522260.720497,0
1609449300000,124.4,124.55,123.83,123.96,4553.08913,1609450199999,565706.2269048,1395,1999.46015,248436.8118687,0
