open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672531200000,70.14,77.96,68.91,75.57,2280617.806,1672790399999,168262709.29117,362929,1106753.166,81669924.14027,0
1672790400000,75.57,77.99,72.42,75.91,2133103.936,1673049599999,160376015.40518,358649,1019796.267,76701951.77742,0
1673049600000,75.91,83.61,75.08,81.62,2194867.74,1673308799999,173915145.20119,390121,1114314.411,88220710.24841,0
1673308800000,81.61,87.7,79.43,86.09,3243877.502,1673567999999,268528355.25644,540162,1638779.622,135688051.89459,0
1673568000000,86.09,91.23,83.59,87.37,3225110.705,1673827199999,281820454.15816,546055,1570126.461,137297605.79488,0
1673827200000,87.37,89.39,82.11,82.62,2426585.559,1674086399999,209223558.39373,457245,1210554.711,104443187.914,0
1674086400000,82.62,92.1,81.67,87.91,1962369.785,1674345599999,170500716.54583,368010,1019491.667,88586965.50344,0
1674345600000,87.91,93.2,86.0,87.19,1692665.359,1674604799999,151400346.54137,348438,841783.851,75323801.72568,0
1674604800000,87.19,91.93,85.53,88.89,1424149.607,1674863999999,125479852.16245,312143,706512.452,62260256.07522,0
1674864000000,88.89,97.77,86.96,91.37,2647515.918,1675123199999,246223525.62145,497880,1330182.632,123683024.19382,0
1675123200000,91.36,102.53,91.31,98.64,3100865.188,1675382399999,300294555.15542,647050,1617756.222,156602963.28664,0
1675382400000,98.64,101.36,94.86,96.63,1343701.923,1675641599999,132423845.86577,304769,638033.232,62917812.50321,0
1675641600000,96.65,102.41,94.81,99.22,1603960.181,1675900799999,158631407.67853,355342,794883.895,78584753.42233,0
1675900800000,99.2,99.49,89.78,94.28,1931154.419,1676159999999,180994719.05257,407077,945428.632,88590349.39871,0
1676160000000,94.29,95.96,88.16,95.82,1668892.431,1676419199999,154141613.26532,412119,859514.744,79353487.09154,0
1676419200000,95.82,105.71,95.04,100.12,2021530.733,1676678399999,202098672.25242,496629,1045541.103,104494966.30103,0
1676678400000,100.12,101.94,94.39,95.9,1804032.875,1676937599999,177231204.68219,397341,777524.995,76489325.76273,0
1676937600000,95.9,96.81,91.42,94.59,1907038.853,1677196799999,179798548.55502,407069,930466.73,87738540.84048,0
1677196800000,94.6,95.54,90.0,95.27,1271379.61,1677455999999,117858611.46703,308225,625405.261,58020230.38969,0
1677456000000,95.26,98.37,92.4,97.78,1349463.704,1677715199999,128839149.15835,303720,690711.029,65985963.75572,0
1677715200000,97.77,98.33,85.3,89.34,1812745.071,1677974399999,165423328.49949,353018,859391.067,78538452.78475,0
1677974400000,89.34,91.78,84.0,86.29,1630163.694,1678233599999,143434300.31686,343472,781421.769,68785152.33853,0
1678233600000,86.3,86.71,67.97,71.37,3682390.881,1678492799999,280681612.02105,709966,1718261.601,130932031.05234,0
1678492800000,71.39,83.19,65.0,81.46,5134051.343,1678751999999,373188577.04569,939299,2562961.259,186634657.25412,0
1678752000000,81.45,88.24,75.0,78.86,3486062.985,1679011199999,282914721.13488,767839,1688178.13,137333465.87487,0
1679011200000,78.85,87.92,78.16,83.98,2538268.997,1679270399999,213573232.41222,551903,1260513.399,106050662.22668,0
1679270400000,83.99,88.31,76.71,87.27,3609932.02,1679529599999,295956047.72256,790502,1794532.729,147221508.53576,0
1679529600000,87.25,95.98,85.58,91.5,3878791.809,1679788799999,354715364.13531,793261,1947773.66,178146662.3198,0
1679788800000,91.49,94.81,85.56,89.13,2234215.877,1680047999999,200776239.71864,504819,1058025.362,95197500.05116,0
1680048000000,89.13,93.34,86.66,89.57,1950071.624,1680307199999,175830463.18117,445641,928935.089,83796602.85307,0
1680307200000,89.56,95.9,89.34,92.97,2237813.868,1680566399999,207414276.066,541055,1114596.423,103370483.07678,0
1680566400000,92.97,95.05,89.82,90.97,1580989.877,1680825599999,146516975.66571,384483,728826.437,67591120.37147,0
1680825600000,90.97,91.48,89.03,90.58,754464.223,1681084799999,68094423.67373,223454,364507.835,32900145.90118,0
1681084800000,90.56,97.0,89.84,92.06,1994841.043,1681343999999,186069527.6728,433099,975146.563,91008690.62778,0
1681344000000,92.07,99.27,91.66,96.68,1995327.365,1681603199999,190833806.17967,390373,969245.983,92628375.66231,0
1681603200000,96.69,103.44,95.1,101.95,2412969.445,1681862399999,240864766.86899,499793,1162976.768,116125139.53422,0
1681862400000,101.93,101.93,84.2,85.32,2993920.841,1682121599999,274330600.52471,651938,1438188.68,131917695.69974,0
1682121600000,85.32,89.03,84.11,88.31,1459664.188,1682380799999,126645375.46421,336429,707870.137,61411898.37642,0
1682380800000,88.32,93.96,84.21,89.73,2422598.594,1682639999999,217093622.04992,538492,1169530.258,104862416.46415,0
1682640000000,89.73,91.64,87.66,89.99,723673.027,1682899199999,64827651.95125,185060,374049.776,33512514.71407,0
