open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609430400000,0.6362,0.6475,0.6293,0.6473,500787.63,1609444799999,318991.734158,1482,257691.76,164175.25848,0
1609444800000,0.6474,0.6557,0.6392,0.654,426017.28,1609459199999,275181.458981,1214,213444.85,138189.078911,0
1609459200000,0.6539,0.665,0.6499,0.663,713736.2,1609473599999,469656.83975,2439,354264.76,233189.633541,0
1609473600000,0.6635,0.6638,0.6384,0.6431,456291.4,1609487999999,296761.638217,1538,176926.92,114874.029742,0
1609488000000,0.6431,0.654,0.6342,0.6362,459398.95,1609502399999,295764.561558,1741,173402.32,112002.322203,0
1609502400000,0.6363,0.6459,0.6298,0.6416,814032.53,1609516799999,519510.536655,2499,466049.39,297280.634325,0
1609516800000,0.6419,0.6422,0.6298,0.6354,406452.14,1609531199999,258365.840035,1362,190266.38,120941.158746,0
1609531200000,0.6344,0.6737,0.6309,0.648,1628813.03,1609545599999,1062641.358119,4737,863356.86,562240.828726,0
1609545600000,0.6477,0.6478,0.6282,0.6309,551998.54,1609559999999,350096.933024,2360,275542.3,174456.675538,0
1609560000000,0.6309,0.6388,0.6293,0.634,362172.04,1609574399999,229258.434857,1314,173731.58,109901.913894,0
1609574400000,0.634,0.6376,0.6269,0.6376,428028.95,1609588799999,270311.920777,1667,240210.67,151719.253673,0
1609588800000,0.6375,0.6434,0.6287,0.6302,798161.65,1609603199999,508499.948717,3205,345182.64,220055.352714,0
1609603200000,0.6302,0.6362,0.625,0.6305,960626.95,1609617599999,605299.794805,3245,486213.13,306461.080158,0
1609617600000,0.6305,0.6336,0.615,0.6299,1037800.33,1609631999999,649653.42664,3401,465875.98,291668.950193,0
1609632000000,0.6302,0.6519,0.6281,0.6492,516205.65,1609646399999,331573.198346,2030,272911.6,175304.806244,0
1609646400000,0.6497,0.6501,0.6393,0.6498,1004729.26,1609660799999,648005.965065,2503,504445.85,325430.039859,0
1609660800000,0.6499,0.6784,0.6471,0.6742,3143207.91,1609675199999,2098200.544705,6344,1119014.97,746918.815577,0
1609675200000,0.6749,0.6769,0.6653,0.6673,1476551.15,1609689599999,989655.402215,4651,803709.6,538788.897818,0
1609689600000,0.6676,0.6691,0.6245,0.6331,3372246.51,1609703999999,2173910.076006,7055,2299925.08,1485794.358132,0
1609704000000,0.6331,0.6657,0.6331,0.6583,977700.63,1609718399999,637779.541135,3640,557328.09,363690.559844,0
1609718400000,0.6586,0.705,0.6491,0.7039,3108918.27,1609732799999,2137401.285887,7030,1244452.8,852555.956758,0
1609732800000,0.7039,0.7221,0.6708,0.6807,4124825.78,1609747199999,2897536.80822,8348,1393550.0,978729.568039,0
1609747200000,0.6807,0.6853,0.6294,0.654,4527300.65,1609761599999,2984340.119473,10303,1697072.1,1117243.5641,0
1609761600000,0.6547,0.6703,0.6467,0.6703,2400851.7,1609775999999,1574210.63956,6445,1149948.17,753697.012816,0
1609776000000,0.6695,0.6742,0.6575,0.6585,909090.76,1609790399999,603659.964366,3458,500654.83,332520.531113,0
1609790400000,0.6587,0.6684,0.65,0.6672,1036176.74,1609804799999,681901.225592,2738,505819.82,333209.725019,0
1609804800000,0.6682,0.6687,0.6454,0.6587,2005578.39,1609819199999,1311654.031166,5170,824237.33,538873.754928,0
1609819200000,0.6587,0.6938,0.6521,0.6835,4301325.15,1609833599999,2900690.522451,8143,1348679.72,907325.681978,0
1609833600000,0.684,0.7185,0.6839,0.7108,4116662.86,1609847999999,2899764.976204,6509,1249146.68,879677.512324,0
1609848000000,0.7114,0.7123,0.6993,0.7003,1349860.55,1609862399999,955948.100655,4032,742096.91,526017.724587,0
1609862400000,0.7013,0.713,0.699,0.711,684447.01,1609876799999,484085.469583,2558,354346.05,250591.173453,0
1609876800000,0.7102,0.7172,0.7086,0.7143,504355.09,1609891199999,359946.243413,1815,227298.84,162330.446462,0
1609891200000,0.7144,0.7216,0.7084,0.7125,528431.79,1609905599999,376604.946477,1646,217207.52,155022.349801,0
1609905600000,0.7125,0.7193,0.709,0.714,677105.37,1609919999999,482944.427676,2297,280660.19,200466.176634,0
1609920000000,0.7138,0.716,0.6986,0.7014,914799.75,1609934399999,644382.216559,2855,372050.69,261994.777087,0
1609934400000,0.7011,0.7177,0.6997,0.7116,1273932.98,1609948799999,905020.318288,3289,609140.35,432758.365511,0
1609948800000,0.7116,0.7165,0.7093,0.7107,506142.95,1609963199999,360463.268152,1621,242208.08,172650.798431,0
1609963200000,0.7108,0.7148,0.699,0.7135,1467455.56,1609977599999,1038246.709123,3776,733049.83,518959.473991,0
1609977600000,0.7135,0.72,0.7075,0.72,1056785.86,1609991999999,754061.22464,2434,507379.01,362262.444355,0
1609992000000,0.7193,0.798,0.7172,0.7961,6300751.85,1610006399999,4681424.062181,9195,2541443.97,1896350.289424,0
1610006400000,0.796,0.9565,0.796,0.8856,13502986.76,1610020799999,11953990.824893,29492,5910465.51,5227580.533725,0
1610020800000,0.8856,0.906,0.8667,0.8726,1890212.77,1610035199999,1675165.260773,4355,730883.61,647708.66562,0
1610035200000,0.8726,0.8924,0.8471,0.8569,1737711.26,1610049599999,1509688.096951,4632,731843.37,637048.895941,0
1610049600000,0.8567,0.8666,0.8478,0.8572,1367977.02,1610063999999,1173494.652515,3471,590984.1,507046.404931,0
1610064000000,0.8572,0.8599,0.8286,0.8347,1626059.94,1610078399999,1370735.766335,4972,859559.5,724720.936674,0
1610078400000,0.8344,0.8601,0.828,0.8492,1923652.17,1610092799999,1621136.214143,4361,1184541.27,996866.81715,0
1610092800000,0.8491,0.897,0.8322,0.8686,4497429.39,1610107199999,3925101.324874,8656,1862660.36,1623711.364051,0
1610107200000,0.8686,0.8703,0.8396,0.8461,1629741.58,1610121599999,1390364.776557,4562,694606.67,591825.507021,0
1610121600000,0.8464,0.851,0.831,0.8394,1006449.1,1610135999999,846377.292073,3261,557464.37,468953.156696,0
1610136000000,0.8397,0.8499,0.825,0.8479,1103977.89,1610150399999,920776.026904,3378,639320.04,533763.695765,0
1610150400000,0.8484,0.85,0.8227,0.8276,818694.93,1610164799999,680468.273006,2846,375954.79,312235.34666,0
1610164800000,0.8276,0.8296,0.8124,0.819,839864.39,1610179199999,689348.162973,2762,421307.36,346078.513147,0
1610179200000,0.819,0.82,0.8115,0.8137,615263.44,1610193599999,501875.833607,2388,277891.29,226858.305033,0
1610193600000,0.8137,0.8336,0.8134,0.8328,854997.97,1610207999999,704856.726569,2539,505589.4,417158.889431,0
1610208000000,0.8332,0.8337,0.8192,0.8244,740552.85,1610222399999,611132.822342,2117,277757.09,229319.701962,0
1610222400000,0.8244,0.8386,0.798,0.8137,2113159.98,1610236799999,1730215.060889,4353,1018259.57,832056.283049,0
1610236800000,0.8136,0.8303,0.8134,0.8159,754401.84,1610251199999,620082.37329,2226,391510.73,321868.667069,0
1610251200000,0.8159,0.871,0.8108,0.8682,2529089.58,1610265599999,2142027.79729,5155,1294647.48,1093792.959273,0
1610265600000,0.8682,0.8871,0.8569,0.8592,3754255.1,1610279999999,3282820.868002,10222,1826868.67,1597836.644268,0
1610280000000,0.8593,0.8689,0.8569,0.86,1154685.42,1610294399999,994100.70255,3807,676862.01,582846.863377,0
1610294400000,0.86,0.8616,0.8245,0.8255,1280217.3,1610308799999,1073147.609654,4253,531243.46,445164.343552,0
1610308800000,0.8249,0.8546,0.8124,0.8435,1639833.66,1610323199999,1372179.188456,5679,848740.31,711185.029711,0
1610323200000,0.8436,0.8446,0.795,0.8023,2499089.94,1610337599999,2033833.588566,6837,1111687.6,904321.046427,0
1610337600000,0.8018,0.8078,0.7642,0.7696,2388864.01,1610351999999,1873602.330503,7432,1044610.51,819724.327315,0
1610352000000,0.7698,0.8285,0.7599,0.8029,3096594.28,1610366399999,2468644.321595,6721,1527679.79,1215997.022959,0
1610366400000,0.8029,0.8092,0.7555,0.7566,3502652.3,1610380799999,2744346.791882,9471,1624551.35,1275956.824897,0
1610380800000,0.7556,0.7593,0.7025,0.7036,3175430.95,1610395199999,2318009.089345,8765,1455649.23,1063744.691762,0
1610395200000,0.7037,0.7377,0.6974,0.7371,2186640.77,1610409599999,1570157.344355,4920,1197595.13,861444.704718,0
1610409600000,0.7374,0.7374,0.7123,0.721,908933.13,1610423999999,656192.340416,2826,396411.38,286209.570501,0
1610424000000,0.721,0.8239,0.7202,0.807,5097913.89,1610438399999,3970718.449718,7397,2522768.06,1957032.556276,0
1610438400000,0.8072,0.8393,0.7989,0.7997,2810455.44,1610452799999,2295970.433776,5729,1131261.81,924305.057854,0
1610452800000,0.7989,0.8001,0.7478,0.7515,1499754.02,1610467199999,1144868.966702,3787,507524.69,386907.563038,0
1610467200000,0.7518,0.7829,0.7518,0.7694,1195749.74,1610481599999,921502.89347,2791,681869.63,524937.975254,0
1610481600000,0.7687,0.7688,0.7409,0.7481,1283935.03,1610495999999,972514.465033,3174,528483.05,400479.069179,0
1610496000000,0.7472,0.7472,0.7218,0.7348,1245518.61,1610510399999,910317.287948,3429,612331.62,447175.144138,0
1610510400000,0.734,0.7878,0.7245,0.7876,2326152.86,1610524799999,1763759.451787,4933,1097655.66,829029.210602,0
