open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,85.51,91.72,85.46,91.69,2283952.54,1641081599999,202903035.5114,244227,1160058.88,103047240.932,0
1641081600000,91.69,92.54,87.88,89.45,1657501.37,1641167999999,149672527.092,196169,774422.06,69938746.7158,0
1641168000000,89.43,93.96,88.43,88.85,3044039.44,1641254399999,278390023.319,308124,1457666.23,133278234.7515,0
1641254400000,88.84,89.5,84.34,84.53,2917262.06,1641340799999,254994480.6027,258611,1546274.15,135188802.9085,0
1641340800000,84.53,87.41,73.28,78.47,4095970.46,1641427199999,333196135.7661,348182,1992734.2,162200878.584,0
1641427200000,78.45,80.35,74.0,78.41,4263502.51,1641513599999,327771934.9733,286115,2100411.19,161519871.3093,0
1641513600000,78.42,78.69,67.93,68.8,6781595.86,1641599999999,485266498.096,515399,3237873.18,231729104.1805,0
1641600000000,68.8,71.7,62.46,66.96,5301187.23,1641686399999,355264654.5644,350773,2603568.5,174467197.7513,0
1641686400000,66.95,75.67,65.61,74.47,5298915.12,1641772799999,379198013.145,374436,2615210.97,186824350.4804,0
1641772800000,74.46,74.7,65.1,69.44,6682838.66,1641859199999,466177033.8202,481345,3325915.06,232018810.1175,0
1641859200000,69.44,74.99,68.33,73.48,4259230.02,1641945599999,306901604.5927,294852,2217841.64,159612785.3694,0
1641945600000,73.48,82.97,72.46,81.88,5040378.35,1642031999999,391801488.4354,363755,2407580.4,187111440.1253,0
1642032000000,81.87,83.86,77.77,78.34,4840737.79,1642118399999,392043534.8702,429711,2354283.3,190640659.4637,0
1642118400000,78.34,83.06,76.35,81.49,3258489.38,1642204799999,259516256.8322,305211,1611641.76,128487549.1936,0
1642204800000,81.48,87.9,80.38,87.19,2611522.92,1642291199999,219342907.8737,294914,1282610.17,107867162.2192,0
1642291200000,87.19,87.59,84.32,87.1,2387141.6,1642377599999,205351910.5706,244788,1112932.16,95768375.5011,0
1642377600000,87.09,87.23,75.94,77.09,3918824.27,1642463999999,316551130.728,317582,1960203.39,158089813.4257,0
1642464000000,77.1,81.39,73.95,80.71,4406118.5,1642550399999,340427865.3499,320651,2248291.32,173813565.0116,0
1642550400000,80.7,82.08,75.74,81.1,4229941.9,1642636799999,335500380.8734,377221,2048596.89,162598252.77,0
1642636800000,81.09,84.95,76.24,77.33,4115722.22,1642723199999,334321970.6449,366486,2005905.91,163102773.9797,0
1642723200000,77.31,80.83,61.66,64.73,11813040.21,1642809599999,851330810.6616,889131,5535022.24,398460361.6865,0
1642809600000,64.72,65.98,53.03,62.87,13915696.02,1642895999999,847112456.1659,962899,6581176.09,401388314.1315,0
1642896000000,62.89,70.44,62.76,69.75,7698221.13,1642982399999,516851875.0264,545990,3838225.25,257699387.4835,0
1642982400000,69.75,69.81,59.13,66.0,11454255.53,1643068799999,733741363.7274,774429,5669027.68,363534776.5059,0
1643068800000,65.99,67.2,61.65,62.87,6101561.77,1643155199999,393695264.7201,421469,3043867.05,196424338.4606,0
1643155200000,62.87,66.76,57.55,58.75,7565436.07,1643241599999,473763617.3339,554949,3738500.56,234334154.2489,0
1643241600000,58.76,61.7,50.64,54.15,7972043.99,1643327999999,450071190.5118,499655,3897338.65,220089528.1227,0
1643328000000,54.15,55.62,47.44,50.39,12376951.82,1643414399999,627069630.872,736199,6252437.56,316752953.5532,0
1643414400000,50.35,53.68,50.05,50.94,6976347.37,1643500799999,361470075.2052,430415,3508884.52,181895438.4497,0
1643500800000,50.92,51.42,45.51,46.29,5214306.23,1643587199999,253345063.0986,338465,2582461.81,125399368.7057,0
1643587200000,46.29,52.62,43.44,52.16,9143537.66,1643673599999,440736455.9821,529064,4396701.75,211755728.9476,0
1643673600000,52.15,54.2,50.41,52.18,5975648.22,1643759999999,312526315.6445,369023,3017398.87,157935061.0652,0
1643760000000,52.17,53.45,47.25,47.56,5613387.93,1643846399999,284578899.3946,345079,2788800.56,141440641.5709,0
1643846400000,47.55,51.5,46.5,51.16,5596942.59,1643932799999,273286829.7216,347627,2760483.21,134830112.601,0
1643932800000,51.14,54.06,48.99,53.93,7313927.63,1644019199999,376422868.5516,383431,4036066.87,207779878.2413,0
1644019200000,53.93,58.15,53.42,55.36,5717585.39,1644105599999,320356287.039,381878,2928833.52,164124095.8617,0
1644105600000,55.36,57.21,53.08,56.08,3685761.85,1644191999999,202808297.3376,244141,1845445.29,101578814.2887,0
1644192000000,56.09,60.64,54.34,59.41,6282786.47,1644278399999,362713691.1863,404613,3283237.53,189634787.645,0
1644278400000,59.4,59.89,54.79,57.26,5410233.47,1644364799999,309359814.1313,357416,2688443.96,153752669.3706,0
1644364800000,57.26,57.96,54.26,57.52,3836282.21,1644451199999,216652135.6136,240706,1963296.78,110918720.9323,0
1644451200000,57.51,57.58,51.84,52.18,5313652.8,1644537599999,293848191.5752,347192,2536968.52,140433959.0918,0
1644537600000,52.22,54.8,49.79,50.35,4385944.27,1644623999999,231638871.9768,278668,2167024.0,114510774.7901,0
1644624000000,50.34,53.68,49.39,52.15,3414907.74,1644710399999,175932127.6599,232791,1700293.49,87617609.7058,0
1644710400000,52.14,53.77,51.02,51.65,2278930.44,1644796799999,119753509.7191,175088,1129716.22,59393526.7579,0
1644796800000,51.66,54.6,51.41,53.8,2983010.65,1644883199999,157963723.4773,216878,1536793.16,81381804.1063,0
1644883200000,53.8,57.1,53.76,56.82,2817207.29,1644969599999,157074754.135,211460,1507249.51,84044001.5896,0
1644969600000,56.84,58.28,55.12,56.04,2445821.58,1645055999999,138152061.6004,202326,1231367.72,69558782.6094,0
1645056000000,56.05,57.16,50.09,50.28,3034057.42,1645142399999,163862347.4376,229926,1385836.39,74938549.5053,0
1645142400000,50.29,51.85,48.86,50.59,3684907.93,1645228799999,185924878.1759,214836,1822083.77,91964919.5519,0
1645228800000,50.59,52.87,49.89,50.48,2388301.35,1645315199999,122285104.2498,165033,1132673.04,58011288.0465,0
1645315200000,50.48,50.7,47.29,49.34,3187659.69,1645401599999,156060698.3312,185636,1555841.5,76242650.9401,0
1645401600000,49.32,53.95,48.95,50.12,5984234.19,1645487999999,308899177.8466,366280,3016198.66,155751223.4139,0
1645488000000,50.11,56.05,48.43,54.74,6944791.71,1645574399999,360791338.94,419195,3604936.36,187384288.8368,0
1645574400000,54.74,65.21,54.54,59.58,8683554.96,1645660799999,513549758.7103,602730,4349437.15,257176902.4044,0
1645660800000,59.59,66.07,50.25,65.15,17905166.95,1645747199999,1019357742.4366,1137012,8828045.31,503110352.9789,0
1645747200000,65.15,73.83,63.84,73.13,9926669.56,1645833599999,667937058.2144,805928,4913698.06,330581137.1987,0
1645833600000,73.12,79.6,72.16,78.13,6362000.36,1645919999999,477575662.763,608918,3118146.72,234313402.0127,0
1645920000000,78.14,79.0,71.21,72.57,6577089.93,1646006399999,494953180.2993,621081,3119735.56,234830991.9711,0
1646006400000,72.57,95.38,70.44,91.35,9843336.91,1646092799999,788365756.5893,960467,5016636.65,402364506.3117,0
1646092800000,91.35,94.96,86.11,89.7,9042288.79,1646179199999,815038198.4917,911159,4506912.32,406259560.2909,0
1646179200000,89.69,97.29,88.12,92.29,8629130.94,1646265599999,802127148.5079,917465,4148347.93,385688645.1747,0
1646265600000,92.3,94.26,86.78,90.52,6006618.13,1646351999999,546341737.7318,651693,2888943.86,262967188.2837,0
1646352000000,90.52,93.51,82.76,83.44,7234521.75,1646438399999,647086055.9785,696674,3471887.7,310819593.7609,0
1646438400000,83.44,88.63,80.28,87.56,5341807.62,1646524799999,451464311.8001,517069,2623474.46,221844617.3206,0
1646524800000,87.55,88.38,78.5,79.2,5303792.4,1646611199999,441141813.0021,512571,2614944.43,217495446.0243,0
1646611200000,79.25,83.9,75.58,77.8,6096450.93,1646697599999,486316768.8116,488828,3009687.68,240308833.9766,0
1646697600000,77.78,86.97,77.28,85.28,5813319.13,1646783999999,478750197.2315,445087,2956826.66,243559099.7904,0
1646784000000,85.31,104.83,84.87,99.21,10598816.09,1646870399999,1030753268.963,1018582,5530595.29,537101360.0721,0
1646870400000,99.22,104.59,92.02,101.16,10144007.25,1646956799999,994803517.1801,943384,4992622.21,489972414.3753,0
1646956800000,101.19,101.78,87.83,88.42,7889590.53,1647043199999,752513121.0231,709285,3818624.05,364037522.7584,0
1647043200000,88.41,92.54,85.76,86.05,3269128.37,1647129599999,293542603.4865,298511,1583758.88,142302337.6816,0
1647129600000,86.04,92.78,85.34,87.38,3712189.26,1647215999999,328739180.213,361179,1854984.66,164368030.4834,0
1647216000000,87.37,94.98,86.63,94.87,5197090.94,1647302399999,476267919.9701,511119,2617742.99,239978659.2571,0
1647302400000,94.86,95.84,87.84,88.48,4400556.71,1647388799999,402484043.3607,405024,2121691.04,194100827.5308,0
1647388800000,88.49,90.7,86.0,89.15,4672933.49,1647475199999,413674487.9043,433335,2403412.37,212936371.5451,0
1647475200000,89.16,90.43,86.44,86.83,2847012.72,1647561599999,251006690.0394,240223,1399538.74,123440015.7189,0
1647561600000,86.84,88.75,82.57,88.54,4227993.24,1647647999999,360463592.3551,347665,2153070.42,183669629.171,0
1647648000000,88.52,93.58,87.38,92.11,3456523.12,1647734399999,312873597.5653,331048,1780015.67,161040141.2732,0
1647734400000,92.11,94.47,89.67,90.62,2521853.46,1647820799999,232001076.2347,281309,1155655.83,106370845.2434,0
1647820800000,90.63,97.77,90.33,95.76,4219640.26,1647907199999,400406895.7356,442438,2137950.06,202902349.1947,0
1647907200000,95.76,96.51,92.14,93.06,2883487.28,1647993599999,270520093.0067,293404,1400672.55,131426950.9846,0
1647993600000,93.05,96.64,92.34,94.86,2603281.86,1648079999999,245353098.7802,253169,1393613.28,131298583.5596,0
1648080000000,94.86,95.77,91.58,93.64,2869855.93,1648166399999,269402700.2039,259976,1453054.34,136449588.0345,0
1648166400000,93.64,94.9,88.8,90.39,3066849.02,1648252799999,283119138.7275,263936,1438204.37,132856994.2791,0
1648252800000,90.38,91.94,88.87,91.37,1798813.88,1648339199999,162391189.9402,156053,875729.74,79070703.7531,0
1648339200000,91.36,94.58,89.62,94.12,1654350.56,1648425599999,151437070.4433,155288,855851.65,78405338.4327,0
1648425600000,94.11,101.66,92.9,97.18,5302793.37,1648511999999,513404903.3076,489098,2783192.04,269402553.314,0
1648512000000,97.19,109.9,97.0,109.02,7575045.98,1648598399999,794164387.0609,783682,3827124.96,401102441.1476,0
1648598400000,109.03,111.52,103.49,106.04,4301211.711,1648684799999,461059749.9717,485147,2107494.971,225987411.0999,0
1648684800000,106.05,108.85,101.5,103.02,3103034.61,1648771199999,327429628.7976,330422,1498305.99,158206036.0836,0
1648771200000,103.02,108.0,98.51,105.9,3374194.4,1648857599999,349578410.5618,345004,1647841.86,171029146.9657,0
1648857600000,105.9,117.34,105.56,115.18,4530463.15,1648943999999,508213462.8086,570951,2296162.62,257390063.3309,0
1648944000000,115.16,118.09,111.62,112.87,3175771.4,1649030399999,363552609.1228,403849,1526993.93,174917867.3476,0
1649030400000,112.87,117.7,109.31,116.42,3521697.14,1649116799999,399306984.8764,425303,1710480.59,194144437.7699,0
1649116800000,116.43,119.55,113.69,116.27,3481840.59,1649203199999,406775017.93073,422990,1689082.91,197349666.04883,0
1649203200000,116.27,118.34,105.53,108.02,4785327.96,1649289599999,534482136.3496,543593,2299825.87,256993047.4453,0
1649289600000,108.02,109.64,100.31,103.52,3809536.78,1649375999999,401651820.3144,428707,1816297.99,191488470.582,0
1649376000000,103.5,106.66,93.16,94.55,4608717.21,1649462399999,459774435.4468,418740,2131816.03,213026051.1246,0
1649462400000,94.53,97.6,92.12,97.41,2477140.95,1649548799999,234176929.2377,249710,1249166.45,118109033.1943,0
1649548800000,97.41,97.56,91.43,91.85,2050962.84,1649635199999,193745291.2944,235189,1015628.71,95985607.333,0
1649635200000,91.85,92.18,80.61,82.52,5012294.63,1649721599999,432664677.0202,464704,2351657.15,202961933.5195,0
1649721600000,82.51,88.4,81.33,84.62,3614815.43,1649807999999,305552179.2043,383978,1780190.02,150606951.5155,0
1649808000000,84.62,88.1,82.77,87.92,2681723.11,1649894399999,230497389.2568,277422,1452204.26,124888906.882,0
1649894400000,87.91,89.84,79.58,81.57,2831445.02,1649980799999,239967376.6382,310302,1356798.78,115145443.3709,0
1649980800000,81.56,82.7,79.04,80.39,1768888.44,1650067199999,143245097.3763,196846,888955.07,72004699.2458,0
1650067200000,80.39,81.83,79.94,80.96,1177058.21,1650153599999,95102187.8853,100202,615218.26,49708724.6732,0
1650153600000,80.96,82.5,76.92,77.19,1860566.56,1650239999999,149717049.7209,168965,906637.39,73022082.4854,0
1650240000000,77.18,91.65,75.67,91.09,5392857.02,1650326399999,448936879.4618,521757,2760110.88,230343112.0107,0
1650326400000,91.09,95.99,88.42,95.46,3814030.83,1650412799999,350405163.7931,455792,1951329.89,179199752.3614,0
1650412800000,95.46,97.44,93.32,94.77,3304731.57,1650499199999,315120715.6988,361349,1673140.14,159561305.4205,0
1650499200000,94.76,99.43,89.94,90.8,3688069.76,1650585599999,352467230.4539,436000,1778917.65,170211404.0764,0
1650585600000,90.8,96.89,90.54,93.53,3914574.5,1650671999999,367262234.9941,451457,1937991.47,181860847.2682,0
1650672000000,93.52,94.06,88.79,89.28,1862239.48,1650758399999,170942414.6529,252275,949398.43,87163151.0958,0
1650758400000,89.27,92.34,88.45,90.52,1806697.09,1650844799999,163723714.5574,229703,896282.32,81230321.0834,0
1650844800000,90.52,97.5,87.26,96.93,4733212.32,1650931199999,433486788.6574,515275,2463185.91,225869314.0805,0
1650931200000,96.95,97.35,86.74,88.43,4455702.19,1651017599999,410835006.9607,445809,2152902.25,198784340.6356,0
