open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,1.2654,1.2694,1.2645,1.2692,15696.14,1672504199999,19890.122787,273,6191.0,7843.613018,0
1672504200000,1.2692,1.2694,1.2662,1.2667,50881.94,1672505999999,64504.62821,398,30659.17,38871.968527,0
1672506000000,1.2675,1.268,1.2579,1.2588,34367.82,1672507799999,43385.618483,448,12992.89,16406.092042,0
1672507800000,1.2586,1.2615,1.2581,1.2603,22445.57,1672509599999,28271.750571,310,10183.89,12828.270009,0
1672509600000,1.2606,1.2623,1.2583,1.2592,29384.13,1672511399999,37022.22708,249,10303.5,12985.655471,0
1672511400000,1.2596,1.26,1.258,1.258,29374.16,1672513199999,36959.707061,271,3258.01,4100.675505,0
1672513200000,1.2581,1.2619,1.258,1.2611,15179.9,1672514999999,19118.787426,188,8949.74,11276.990081,0
1672515000000,1.261,1.2639,1.2599,1.2613,18732.84,1672516799999,23635.437544,294,10592.16,13358.174574,0
1672516800000,1.2616,1.2709,1.2616,1.2645,43795.07,1672518599999,55513.273178,578,21573.85,27350.462944,0
1672518600000,1.2648,1.272,1.2631,1.2674,210389.71,1672520399999,266755.61991,740,132297.82,167704.391438,0
1672520400000,1.2676,1.2692,1.2643,1.2652,21939.97,1672522199999,27793.33355,280,6905.43,8745.721457,0
1672522200000,1.2655,1.2664,1.26,1.26,14802.29,1672523999999,18682.464806,223,6047.89,7632.273598,0
1672524000000,1.2599,1.2643,1.2589,1.2599,17914.06,1672525799999,22598.419755,211,6619.23,8348.011887,0
1672525800000,1.2603,1.2607,1.2537,1.2566,26699.19,1672527599999,33589.548815,261,8903.51,11197.66841,0
1672527600000,1.257,1.2576,1.253,1.2554,19771.13,1672529399999,24825.806582,270,8876.05,11147.011961,0
1672529400000,1.2558,1.2605,1.2558,1.2591,11324.53,1672531199999,14254.761303,174,4888.26,6153.060285,0
1672531200000,1.2597,1.265,1.2571,1.265,18613.65,1672532999999,23472.688668,264,7597.91,9581.183093,0
1672533000000,1.2652,1.2652,1.2562,1.2642,25544.01,1672534799999,32193.56881,374,11398.03,14363.987181,0
1672534800000,1.2642,1.2651,1.2571,1.2575,23394.44,1672536599999,29501.753826,359,11291.58,14243.515174,0
1672536600000,1.2571,1.2625,1.255,1.2617,15202.8,1672538399999,19126.500166,167,3799.73,4783.735606,0
1672538400000,1.2617,1.269,1.258,1.2668,48697.97,1672540199999,61589.234608,468,28465.93,35990.414612,0
1672540200000,1.2665,1.2707,1.2648,1.2688,23336.91,1672541999999,29599.388556,389,13898.45,17628.448956,0
1672542000000,1.2688,1.2688,1.2615,1.2618,29199.91,1672543799999,36950.73305,302,10495.78,13272.797216,0
1672543800000,1.2611,1.264,1.2611,1.2626,13428.61,1672545599999,16958.618488,149,8121.93,10256.502878,0
1672545600000,1.263,1.2658,1.2583,1.26,13525.25,1672547399999,17062.259258,165,7654.14,9659.125632,0
1672547400000,1.2606,1.2613,1.2547,1.2551,18640.73,1672549199999,23429.507264,209,4055.64,5098.186093,0
1672549200000,1.2561,1.2579,1.254,1.2559,52828.18,1672550999999,66319.253166,389,9154.86,11494.547672,0
1672551000000,1.2563,1.2616,1.2549,1.2608,35313.57,1672552799999,44435.256614,249,20600.41,25921.7453,0
1672552800000,1.2606,1.2661,1.2593,1.2641,28127.97,1672554599999,35530.632087,290,19966.49,25215.106513,0
