open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,0.00014575,0.00014606,0.00014496,0.00014606,2614956662.85,1672504199999,380344.92258853,1540,1013823547.91,147481.92940861,0
1672504200000,0.00014604,0.00014616,0.0001453,0.00014536,1543956688.46,1672505999999,225010.69956123,996,521240726.96,76004.41116716,0
1672506000000,0.0001453,0.00014563,0.00014406,0.00014428,2383362461.71,1672507799999,345297.61451761,1770,1100564115.46,159484.95415191,0
1672507800000,0.00014425,0.00014525,0.00014415,0.00014525,820987540.22,1672509599999,118742.65182201,810,466762953.56,67521.79055342,0
1672509600000,0.00014517,0.00014517,0.00014411,0.00014433,972552729.56,1672511399999,140521.75897265,1136,480730450.53,69460.69516524,0
1672511400000,0.00014432,0.0001448,0.00014419,0.0001445,491856712.61,1672513199999,71063.84554476,586,251286232.47,36308.3685398,0
1672513200000,0.0001445,0.00014595,0.00014443,0.00014589,802758604.22,1672514999999,116400.87892531,789,430423848.61,62477.03704654,0
1672515000000,0.00014587,0.00014631,0.00014543,0.00014575,1057739482.2,1672516799999,154365.93334896,878,535067042.77,78074.95162848,0
1672516800000,0.00014579,0.00014697,0.00014567,0.00014659,1255381173.64,1672518599999,183838.62284111,1070,699137077.76,102393.90073402,0
1672518600000,0.00014654,0.00014685,0.0001458,0.00014626,1536181702.21,1672520399999,224763.88795698,949,492232436.08,72037.61183464,0
1672520400000,0.00014606,0.00014626,0.00014524,0.00014583,711233802.31,1672522199999,103605.64890916,500,360522307.54,52504.40457951,0
1672522200000,0.00014578,0.00014578,0.00014465,0.00014502,765654021.05,1672523999999,111176.78415281,739,277403229.24,40275.57841613,0
1672524000000,0.00014497,0.00014576,0.00014496,0.00014519,523998760.39,1672525799999,76082.82662067,469,295871992.93,42954.52524698,0
1672525800000,0.00014526,0.00014586,0.00014402,0.00014533,942144034.93,1672527599999,136668.10809746,699,392372621.58,56870.89649136,0
1672527600000,0.00014536,0.00014536,0.000144,0.00014447,982720002.98,1672529399999,142061.43827297,751,423457056.83,61238.71137451,0
