open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,0.00014575,0.00014697,0.000144,0.00014497,17830822283.15,1672531199999,2591625.33825442,14131,7974565027.76,1158971.35593264,0
1672531200000,0.00014508,0.000149,0.00014471,0.00014702,41499924322.54,1672559999999,6092524.53017758,20806,20842499493.05,3057786.30924596,0
1672560000000,0.00014701,0.00015077,0.00014623,0.00014886,25429747169.41,1672588799999,3778910.5296072,20848,12294536254.71,1827844.94512408,0
1672588800000,0.00014886,0.00015062,0.00014783,0.00015051,18204411799.51,1672617599999,2718462.38041477,14854,9221607232.89,1377918.2760753,0
1672617600000,0.00015054,0.00015519,0.00014758,0.00015223,35326023702.72,1672646399999,5328406.7278018,29718,18352097182.12,2770713.27539112,0
1672646400000,0.00015223,0.00015597,0.00015175,0.00015309,47653425637.93,1672675199999,7325548.64878439,26346,22256699355.02,3421309.81459904,0
1672675200000,0.00015303,0.00016214,0.00015291,0.00015973,39419772606.61,1672703999999,6200800.06730796,28438,19403755185.23,3051406.8085573,0
1672704000000,0.00015974,0.00016896,0.0001576,0.0001607,60496929937.23,1672732799999,9937684.38838327,38232,25977584233.41,4264765.4702943,0
1672732800000,0.0001607,0.00016241,0.00015401,0.00015493,82331099785.5,1672761599999,13048152.61602519,49478,37785737560.62,5988275.4989028,0
1672761600000,0.00015494,0.00015883,0.00015046,0.00015614,64012497510.31,1672790399999,9882642.31066391,37212,30388950264.62,4692935.63849753,0
1672790400000,0.00015619,0.000162,0.00015588,0.00015927,42688134434.87,1672819199999,6781372.4545634,25625,21621640801.14,3434156.03950887,0
1672819200000,0.00015927,0.00015967,0.0001555,0.00015796,28901547527.9,1672847999999,4552253.60021502,24144,13581716536.47,2138912.41898475,0
1672848000000,0.00015802,0.00015895,0.00015497,0.00015825,21985021455.04,1672876799999,3461073.00087715,18963,9904429133.06,1559625.57674276,0
1672876800000,0.00015833,0.00016042,0.00015588,0.00015623,27684731275.87,1672905599999,4372614.60145262,18013,12398655529.54,1959318.70374879,0
1672905600000,0.00015629,0.00015655,0.00015128,0.00015386,30824459405.12,1672934399999,4743683.17527155,22207,14134486244.98,2175974.12824205,0
1672934400000,0.00015384,0.00015506,0.00015152,0.00015224,17586764048.56,1672963199999,2704105.17969283,12825,8340766183.34,1282476.05421462,0
1672963200000,0.0001523,0.00015447,0.0001485,0.00015065,19284852659.5,1672991999999,2921399.58442179,14037,8526792064.9,1292687.6194754,0
1672992000000,0.0001507,0.00015385,0.00014819,0.00015315,27361099111.23,1673020799999,4126349.55346896,18832,14204764093.42,2142548.81928076,0
1673020800000,0.00015315,0.00015685,0.00015187,0.00015609,23563962980.78,1673049599999,3640258.52816407,16922,12324393911.18,1905268.60013841,0
